id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2455734549,1,34,16,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2022-09-04T12:18:40.939Z,2022-09-04T13:11:08Z,3757525427,194,1lbgavu1rxlrfg14062suwyj9,3757525413,30,"3xpo0nc3hysdi41gupi7adot1, cujgdqrikyjt36scc23zcbkk5, 1e77it93nx78uu157mmksd71l, 84ikqi9s3lng1mo4lxwq210wl, 70ukveu4kwheeizg6x694krmx, i0pvdl0hx7idtfi0xymygmp5, 1lbgavu1rxlrfg14062suwyj9, 1czk5wkuu6ahu3ytu2or8276d, 5fvzbq3mstt7eatkjpodbvpm2, 2fa3vmp34mwrthdiehnaxnnqh, bi49lcldxz8jubp72kgeke2y2, 2hujd2bwvb0wtxdna6c0xb2z9, bm1utly0qt2kaexijsu2p2tw5, d3d1qks236pztzcqp3wdcc0l, da81277761mvu8idmy1ekqdw5, 1xxlgx6g07x3r0zwzywm26sq1, 9higgl848a37qflh0sts05tjp, 8wz2w0267i1845k87hxsgandh, 67q7ve9vse4m2nb82j2z1clhx, 91g10pv6w3bd0rw6p4t3hcui2",3757525419,130,2,3757525431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757525415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757525423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757525417,59,"1, 20, 3, 23, 25, 15, 5, 10, 18, 7, 27, 2, 6, 8, 9, 11, 14, 16, 21, 22",3757658869,197,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455737597,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-09-04T12:22:58.643Z,2022-09-04T12:56:00Z,3757541537,30,"6790uxmc1zs4emxtqf7vl6imt, 322sju1vi12p0r9a8048hnmxh, 538zux65h0l9028fpf4v1g0r9, 3hiehiu25aufrc0q9890haqc5, d8jdziu0arw1rcx5byxd7rj6d, 996i59930r3kd4xk48x9fsp2h, 2zvbw080n4yro1phgv39ri3qi, 44o5mjglkzqxctz07ust9bcru, 33jtnv5kyzyw1it7y9czhn4a2, 466ev7tumk8flx0gz9d0h15d6, dg4782hj9xdqg46w225kzph5g, cyz9jisw86vjjf85xxgbae0yy, 8n0560evn4ni29dw9xece45ey, 2abpo4w3jcxp1wzp50yypxsrt, 7cty3nkd7c84e16537v6y1djp, e32urdrdkp44zmnt6ptg0k12i, 38cotevgsirv0csora7bar3vu, e83sc1gnj31vgpo9u6fknmfvt, d45fs5pqxxq9nopbmeh6lpoet, 3cy6mfbd2vlj9fa1xz2ow3949",3757541543,130,4,3757658581,197,16104,3757541549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757541545,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757541547,194,3hiehiu25aufrc0q9890haqc5,3757541541,59,"38, 24, 25, 6, 15, 3, 37, 10, 13, 9, 11, 4, 29, 7, 8, 12, 18, 21, 27, 77",3757541539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762233,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-09-04T13:00:10.644Z,2022-09-04T13:00:10Z,3757669749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762245,2,32,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2022-09-04T13:00:10.644Z,2022-09-04T21:28:48Z,3757669803,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762271,3,1,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,50,50,2022-09-04T13:00:10.687Z,2022-09-04T22:35:02Z,3759643869,178,,3757669973,279,S,3757669965,141,37.3,3757669967,212,14.3,3757669961,56,Back,3757669969,213,3.8,3757669963,140,39.1,,,,44o5mjglkzqxctz07ust9bcru,E. Le Fée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762277,4,1,1,0,1,70nn27vgkt6l48lvv5e66q7ww,1,35.2,49,2022-09-04T13:00:11.974Z,2022-09-05T03:17:41Z,3759644083,178,,3757670003,212,5.4,3757669997,56,Back,3757670005,213,5.3,3757669999,140,38.0,3757670001,141,42.4,,,,,,,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762295,5,1,1,0,2,70nn27vgkt6l48lvv5e66q7ww,0,34.9,48.3,2022-09-04T13:00:13.564Z,2022-09-05T03:17:40Z,3757670105,213,6.2,3757670097,56,Center,3757670107,1,,3759644233,178,,3757670101,141,43.6,3757670095,157,,3757670103,212,38.5,3757670099,140,71.4,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762317,3,49,1,0,5,6xjy1q2m55iiwe8g1r1yffbc9,1,32.3,50.1,2022-09-04T13:00:16.199Z,2022-09-05T03:17:40Z,,,,,,,,,,,,,,,,,,,,,,,,,70ukveu4kwheeizg6x694krmx,O. Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762337,4,1,1,0,7,6xjy1q2m55iiwe8g1r1yffbc9,1,33,42.9,2022-09-04T13:00:17.797Z,2022-09-05T03:17:39Z,3757670351,56,Back,3757670357,212,21.0,3757670355,141,12.6,3757670359,213,4.5,3757670353,140,28.9,3759644505,178,,,,,,,,70ukveu4kwheeizg6x694krmx,O. Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762361,5,1,1,0,10,6xjy1q2m55iiwe8g1r1yffbc9,1,37.8,8,2022-09-04T13:00:20.863Z,2022-09-05T03:17:38Z,3759644639,178,,3757670493,56,Right,3757670499,212,29.5,3757670501,213,6.3,3757670495,140,65.9,3757670497,141,6.7,,,,,,,cujgdqrikyjt36scc23zcbkk5,M. Youssouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
