id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2455663213,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-09-04T10:18:22.758Z,2022-09-04T11:02:10Z,3757158705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757158697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3757158691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3757158689,30,"6ds6v3u0jyno9kzjkve3dp8mh, 859tcp8023r5cki7uju30l9t5, azcv772qzdbz1exafx3od6lt5, 7teasnynvwarky180hl6zvkk5, 3izhfm7i4afomephw07mp4nsa, f2wjw84p0ztxt636u2ibnoxxx, 230qvyk9dg4plwzobjj6thmqy, 7za8h1pgec0y2s1ihmkkfvpm2, 16idj1wxzcbvuaov5duvpqhyi, 6ir1z8c3o7t4kqx04kw24i415, 1yj1kt2cx24nn4zt5h1ma1olx, 8cawa8470beg2ce0as7hv5psl, cr1n1i96xlepbvk90nl87o4yc, 5w9g9gfeucuccwxd09o62f84p, yeqnier6uxsc3hcegcuethxw, 1k6t5y26ufw2e6gh33tni45ey, c9cz1c96qve4i4li6jjqhkcno, 88h5b1mjn92tuaqcoekzxqh3o, a065rtv2lfh0rso33dfuah4ut",3757158701,197,651,3757158693,59,"30, 77, 31, 12, 14, 75, 18, 13, 21, 7, 9, 2, 22, 27, 28, 29, 36, 37, 90",3757158699,194,7teasnynvwarky180hl6zvkk5,3757158695,130,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455664257,1,34,16,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2022-09-04T10:20:45.415Z,2022-09-04T10:45:36Z,3757165387,197,15943,3757165381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757165377,59,"1, 18, 31, 20, 6, 3, 23, 21, 9, 10, 7, 11, 4, 5, 8, 13, 15, 27, 28, 30",3757165375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757165389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757165383,194,e211nih87ou9t8crzjbbzhexh,3757165379,130,8,3757165373,30,"2ols4tslj83nkbztgkx9s92hh, 7c0b5fz3m1uw0fwpm051e6rfu, 5ixupu8etas04im7097qhb1ed, 7nivkfkngr374fx5totgektm1, e211nih87ou9t8crzjbbzhexh, 8jjep8bx1jpjuf8firxccc549, 4st4hurqbtyzw1tbkzuuk78fe, 31sljkjull0n7082fed26stzp, b8dd5q3n5irlkcv0ekzqhzc2x, 3pz4ro9b1u6u45gs7d6apmo5x, a35r6fa79ipqqktiff3uhz6j9, 4zg62bpjlxntoruzlk4qnzumt, avk0vktquq3oum9w6dyodlz6y, fij46jr9fq43444gr1y8tl9l, 17q3e6g2gvlnpwnzf9d6a9eqd, tca8ra7ew1b1uny96ku0ql05, 6q793p9lurdevqmetgoke54wk, efcz85z2tvggsucnvivkmsxyh, bfdco9clf3dwltaogfhv5v0et, 8h5jl1u3p8sr2pwdmyxl14416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455684187,2,32,1,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2022-09-04T11:00:08.416Z,2022-09-04T11:00:08Z,3757271701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455684191,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-09-04T11:00:08.416Z,2022-09-04T18:38:28Z,3757271719,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455684203,3,1,1,0,0,be2k34rut1lz79jxenabttqlc,1,50.1,50.1,2022-09-04T11:00:08.453Z,2022-09-04T18:47:06Z,3757271793,279,S,3757271787,141,39.7,3757271785,140,40.5,3757271783,56,Back,3757271789,212,12.3,3758993809,178,,3757271791,213,3.8,,,,b8dd5q3n5irlkcv0ekzqhzc2x,J. David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455684223,4,1,1,0,1,be2k34rut1lz79jxenabttqlc,1,40.8,42.6,2022-09-04T11:00:10.122Z,2022-09-04T21:59:00Z,3758994007,178,,3757271873,56,Back,3757271879,212,23.1,3757271875,140,45.3,3757271881,213,4.9,3757271877,141,9.4,,,,,,,31sljkjull0n7082fed26stzp,B. André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455684251,5,1,1,0,4,be2k34rut1lz79jxenabttqlc,1,49.2,6.1,2022-09-04T11:00:13.205Z,2022-09-04T21:58:59Z,3757272041,213,2.9,3757272037,141,12.5,3757272035,140,33.9,3757272039,212,16.6,3758994155,178,,3757272033,56,Back,,,,,,,4st4hurqbtyzw1tbkzuuk78fe,E. Zhegrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455684293,6,1,1,0,8,be2k34rut1lz79jxenabttqlc,1,38.2,20.5,2022-09-04T11:00:16.732Z,2022-09-04T21:58:58Z,3758994415,178,,3757272235,140,58.5,3757272239,212,23.2,3757272233,56,Right,3757272241,213,5.9,3757272237,141,7.1,,,,,,,7c0b5fz3m1uw0fwpm051e6rfu,B. Diakité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455684333,7,1,1,0,12,be2k34rut1lz79jxenabttqlc,1,72.2,3.4,2022-09-04T11:00:20.999Z,2022-09-04T21:58:58Z,3758994701,178,,3757272485,141,9.4,3757272483,140,85.1,3757272489,213,0.3,3757272481,56,Right,3757272487,212,14.1,,,,,,,4st4hurqbtyzw1tbkzuuk78fe,E. Zhegrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455684379,8,1,1,0,16,be2k34rut1lz79jxenabttqlc,1,83.9,1.7,2022-09-04T11:00:24.634Z,2022-09-04T21:58:57Z,3757272711,141,15.0,3758994993,178,,3757272709,140,58.5,3757272715,213,2.8,3757272713,212,28.2,3757272707,56,Right,,,,,,,3pz4ro9b1u6u45gs7d6apmo5x,R. Cabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
