id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/19/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value
2453874487,1,34,16,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2022-08-31T18:26:05.507Z,2022-08-31T19:24:48Z,3747649689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747649683,59,"30, 19, 3, 14, 4, 24, 26, 13, 7, 22, 20, 31, 34, 5, 10, 11, 16, 21, 23, 29",3747649679,30,"25cggz2egeqce47yijxadsslx, dk4bgvo6xobwtpiv2ysgu3jrp, 1ad3itgiwcnyw3o9wplhah2hh, br7zigajqee6fms35zhm1sb8p, 4ezld812zytvbokz97jwycgkp, 4t4u4725escxjm2gwz5e7lpsl, 5jrt4as7f9xt1i1enj2dxx65m, d49iskrm33kt3vlxy4q85m0ru, 7izciy79i6d6h7usfr8mcmh91, 7h28voyog9dhvitn6hj1omhh, bzmxjsk1tr4p2n7hwakvfomei, 4yxo8gwnou3m7jh6ph8lkuw44, 1xxehnjm665an65g5h9srtk44, ayx2iydekv69471d92zmpbbze, 9st3uc7fk98bjro2mndougzbp, 64ubq0xra74xaunooi8knyajt, 3ngai7brgwxmnx3c7dmmed5ud, qt2jl9zxkj4lxqzeydbb6hg5, d9pacjyllv546b9qe0arx2nvu, bt4yy465bb33u7phdhnlr6pcl",3747903903,194,7izciy79i6d6h7usfr8mcmh91,3747649681,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3747649685,130,13,3747649687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747767659,197,11899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453875269,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-08-31T18:28:27.107Z,2022-08-31T19:01:41Z,3747766785,197,16104,3747654901,194,3hiehiu25aufrc0q9890haqc5,3747654899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747654893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3747654895,59,"38, 24, 25, 6, 15, 3, 37, 10, 13, 7, 11, 33, 34, 8, 9, 12, 18, 21, 27, 77",3747654891,30,"6790uxmc1zs4emxtqf7vl6imt, 322sju1vi12p0r9a8048hnmxh, 538zux65h0l9028fpf4v1g0r9, 3hiehiu25aufrc0q9890haqc5, d8jdziu0arw1rcx5byxd7rj6d, 996i59930r3kd4xk48x9fsp2h, 2zvbw080n4yro1phgv39ri3qi, 44o5mjglkzqxctz07ust9bcru, 33jtnv5kyzyw1it7y9czhn4a2, 2abpo4w3jcxp1wzp50yypxsrt, dg4782hj9xdqg46w225kzph5g, 38esw2a90w2p1e1sldqi2431m, 82vd1yj7qfu886hun5t9ee4mh, 7cty3nkd7c84e16537v6y1djp, 466ev7tumk8flx0gz9d0h15d6, e32urdrdkp44zmnt6ptg0k12i, 38cotevgsirv0csora7bar3vu, e83sc1gnj31vgpo9u6fknmfvt, d45fs5pqxxq9nopbmeh6lpoet, 3cy6mfbd2vlj9fa1xz2ow3949",3747654903,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747654897,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896441,2,32,1,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2022-08-31T19:00:05.149Z,2022-09-01T02:07:20Z,3747770095,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896453,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-08-31T19:00:05.149Z,2022-08-31T19:00:08Z,3747770169,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896489,3,1,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,50,50,2022-08-31T19:00:05.167Z,2022-09-01T03:29:29Z,3747770337,213,3.1,3747770335,212,17.4,3747770331,140,33.4,3747770333,141,50.7,3747770329,56,Back,3748892265,178,,3747770339,279,S,,,,44o5mjglkzqxctz07ust9bcru,E. Le Fée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896497,4,1,1,0,1,70nn27vgkt6l48lvv5e66q7ww,1,35.6,51.5,2022-08-31T19:00:06.737Z,2022-09-01T08:06:19Z,3747770371,140,33.3,3747770375,212,3.1,3748892357,178,,3747770377,213,3.8,3747770369,56,Back,3747770373,141,48.7,,,,,,,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454113699,901,43,1,0,1,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-08-31T19:00:06.749Z,2022-09-01T04:51:45Z,3748962161,178,0,3748962201,144,82,,,,,,,,,,,,,,,,,,,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896563,5,1,1,0,2,70nn27vgkt6l48lvv5e66q7ww,1,34.8,50.1,2022-08-31T19:00:07.605Z,2022-09-01T08:06:18Z,3747770669,140,75.4,3747770673,212,53.3,3747770675,213,0.6,3748892425,178,,3747770671,141,97.1,3747770665,155,,3747770667,56,Left,3747770677,1,,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896569,6,44,1,0,5,70nn27vgkt6l48lvv5e66q7ww,1,74.1,93.7,2022-08-31T19:00:10.843Z,2022-09-01T08:06:18Z,3747770707,56,Left,3747770727,233,3,3747770709,286,,,,,,,,,,,,,,,,,dg4782hj9xdqg46w225kzph5g,D. Ouattara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896539,3,44,1,0,5,3xedluek08t2ka7oypwuullcn,0,25.9,6.3,2022-08-31T19:00:10.844Z,2022-09-01T08:06:17Z,3747770751,233,6,3747770587,56,Back,3747770589,285,,,,,,,,,,,,,,,,,dk4bgvo6xobwtpiv2ysgu3jrp,J. Cabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896581,7,1,1,0,5,70nn27vgkt6l48lvv5e66q7ww,0,74.9,97.8,2022-08-31T19:00:10.958Z,2022-09-01T08:06:17Z,3748892587,388,,3747770795,213,5.4,3747770791,141,76.1,3747770789,140,86.9,3747770787,56,Center,3747770785,3,,3747770793,212,19.4,,,,dg4782hj9xdqg46w225kzph5g,D. Ouattara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896559,4,49,1,0,8,3xedluek08t2ka7oypwuullcn,1,12.6,24.5,2022-08-31T19:00:13.577Z,2022-09-01T08:06:17Z,,,,,,,,,,,,,,,,,,,,,,,,,4t4u4725escxjm2gwz5e7lpsl,J. Gradit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
