id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/13/value
2496591515,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-01-11T19:12:42.655Z,2023-01-11T19:55:22Z,3973796591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3973796589,194,8s259ktv9j6ei0f8rh2msqfh1,3973796579,30,"26atxu4fr8f87oi8mt6z70mhh, 2p70qo9oxplufwnhlrl2b8v3e, 9j742o5vdc7d54x1xdz4t9ck5, 74edqcuzfzy7nswqzn0v3pe22, 8ni13k73i9xusj01utdmqk7h1, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, 5fbnkkf1saix4lonwx1i9k7o5, vl1b0gayryiqvl5dlukpmswl, cip5lla8zu8gru2m4popsstlh, asvqr3i5wcjiajxipt1qvldyh, bonc0a0byz3r1828si9ynmuei, 8vlfwoquq3v68mb9ax1pk5fkk, 4euxcqawlks4c56pqj8xvwbf9, ekm47qd8w1x0456lm1tmf5re1, 6723wh7azndl58fzn12ue8o6i, 4dbs7cgevy096gouv60eurh05, b8m3njge4ubxcj1zbxhvk5d9m, adkchwdsbosevyzmfoy60t82c",3973796587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3973796585,130,17,3973882621,197,17182,3973796581,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3973796583,59,"16, 29, 23, 5, 4, 99, 21, 27, 70, 17, 6, 1, 12, 18, 22, 32, 36, 47, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496592625,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-01-11T19:15:01.055Z,2023-01-11T19:57:03Z,3973802723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3973802733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3973802731,194,eznhm6o1jymvzaucjlngbaad,3973802721,30,"1bs4vwqye00mn2oaxrvfkkt7t, 4hns4p7a45kno60qqzlniycmi, e0tmfkagd1lmf2hw7gctbaqqd, 9nhlgi0k783bq8a2704bu6n6d, eznhm6o1jymvzaucjlngbaad, 7etm5qf3sonimtxllrw5xwkid, dj2f6zk2cd8u9lt6odoei9cdl, 3h3g7sne1jjevj0mwyliehm95, a7rdypucykxo0a9xmcuqzabpx, demp53kye0ium76t240vo8cet, bj37ny1s1gbbe4wrgyz1wag9h, 87gvtfqgn555sywr78abximsp, 900q6uo21i95co96snohqofyt, 5x4cp16m9z8vzgq1kkjvm71ed, 2190fr0h93harqz08la1ov4t0, ckcjk3zjpix288d6zihltlst0, 2smai2vq1r9xnemihvcq0doet, 8xdrtww8r5jbxuxtall0wh591, 1iawtsm8hqaczx4awpv9byz9w, 577j49ffrxuurraco9chy388a",3973802725,59,"1, 18, 12, 24, 17, 4, 19, 6, 20, 11, 7, 2, 9, 10, 14, 22, 23, 30, 31, 39",3973802727,130,8,3973802729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3973883499,197,15910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607681,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-01-11T20:00:10.908Z,2023-01-12T01:17:34Z,3973886139,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607687,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-01-11T20:00:10.908Z,2023-01-11T20:00:11Z,3973886161,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607701,3,1,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,50,50,2023-01-11T20:00:10.929Z,2023-01-12T02:18:07Z,3973886243,140,35.3,3973886241,56,Back,3973886245,141,62.0,3973886251,279,S,3973886247,212,17.5,3974249061,178,,3973886249,213,2.7,,,,a7rdypucykxo0a9xmcuqzabpx,R. Ripart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607725,4,1,1,0,3,3unkqo2g6ag99gd5ynz1j7vse,0,36.1,50.7,2023-01-11T20:00:14.095Z,2023-01-12T07:01:51Z,3973886375,141,0.0,3973886377,212,59.4,3973886379,213,5.6,3973886369,155,,3973886373,140,81.7,3973886371,56,Right,3973886381,1,,3974249109,178,,7etm5qf3sonimtxllrw5xwkid,E. Palmer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607783,3,5,1,0,7,27xvwccz8kpmqsefjv2b2sc0o,1,20.6,101.5,2023-01-11T20:00:18.340Z,2023-01-12T02:18:16Z,3973886613,347,,3973886627,233,5,3973886611,56,Back,,,,,,,,,,,,,,,,asvqr3i5wcjiajxipt1qvldyh,M. Guendouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607729,5,5,1,0,7,3unkqo2g6ag99gd5ynz1j7vse,0,79.4,-1.5,2023-01-11T20:00:18.340Z,2023-01-12T02:18:16Z,3973886395,56,Right,3973886397,347,,3973886651,233,3,,,,,,,,,,,,,,,,7etm5qf3sonimtxllrw5xwkid,E. Palmer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607833,4,1,1,0,14,27xvwccz8kpmqsefjv2b2sc0o,1,24.1,100,2023-01-11T20:00:25.154Z,2023-01-12T07:01:50Z,3973886847,212,19.7,3973886849,213,3.8,3973886845,141,84.4,3973886841,56,Back,3973886839,107,,3973886843,140,9.2,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607865,5,1,1,0,22,27xvwccz8kpmqsefjv2b2sc0o,1,17.6,53,2023-01-11T20:00:33.069Z,2023-01-12T07:01:48Z,3973887001,140,20.0,3974249265,178,,3973886999,56,Back,3973887003,141,23.3,3973887007,213,4.8,3973887005,212,20.4,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607873,6,1,1,0,27,27xvwccz8kpmqsefjv2b2sc0o,1,33,17.6,2023-01-11T20:00:37.953Z,2023-01-12T07:01:46Z,3973887033,140,32.9,3973887031,56,Back,3974249293,178,,3973887035,141,2.0,3973887037,212,10.6,3973887039,213,4.7,,,,,,,8ni13k73i9xusj01utdmqk7h1,S. Gigot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607895,7,1,1,0,28,27xvwccz8kpmqsefjv2b2sc0o,1,38.6,3.2,2023-01-11T20:00:39.804Z,2023-01-12T07:01:45Z,3973887179,141,25.5,3974249325,178,,3973887177,140,29.0,3973887175,56,Back,3973887181,212,18.2,3973887183,213,2.2,,,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607919,8,1,1,0,34,27xvwccz8kpmqsefjv2b2sc0o,1,39.7,53.7,2023-01-11T20:00:45.291Z,2023-01-12T07:01:42Z,3973887301,56,Back,3973887303,140,39.6,3973887307,212,15.8,3974249361,178,,3973887309,213,1.6,3973887305,141,77.0,,,,,,,8s259ktv9j6ei0f8rh2msqfh1,V. Rongier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607929,9,1,1,0,37,27xvwccz8kpmqsefjv2b2sc0o,1,50.7,80.9,2023-01-11T20:00:48.448Z,2023-01-12T07:01:41Z,3973887377,213,0.7,3973887375,212,15.9,3974249383,178,,3973887371,140,61.9,3973887373,141,96.6,3973887369,56,Left,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607943,10,1,1,0,40,27xvwccz8kpmqsefjv2b2sc0o,0,60.3,95.8,2023-01-11T20:00:51.264Z,2023-01-12T07:01:39Z,3974249441,178,,3973887443,141,69.6,3973887439,56,Center,3973887441,140,60.2,3973887445,212,17.8,3973887447,213,4.7,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607947,6,8,1,0,41,3unkqo2g6ag99gd5ynz1j7vse,1,41.1,29.3,2023-01-11T20:00:52.520Z,2023-01-12T07:01:38Z,3974249469,389,,3973887465,56,Back,3974164043,384,,,,,,,,,,,,,,,,,a7rdypucykxo0a9xmcuqzabpx,R. Ripart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607955,7,49,1,0,42,3unkqo2g6ag99gd5ynz1j7vse,1,35.8,34.8,2023-01-11T20:00:53.159Z,2023-01-12T07:01:38Z,,,,,,,,,,,,,,,,,,,,,,,,,9nhlgi0k783bq8a2704bu6n6d,X. Chavalerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607959,8,1,1,0,42,3unkqo2g6ag99gd5ynz1j7vse,1,35.6,34.8,2023-01-11T20:00:53.335Z,2023-01-12T07:01:37Z,3973887543,141,37.6,3973887541,140,37.7,3974249525,178,,3973887539,56,Back,3973887545,212,2.9,3973887547,213,0.7,,,,,,,9nhlgi0k783bq8a2704bu6n6d,X. Chavalerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607977,9,1,1,0,43,3unkqo2g6ag99gd5ynz1j7vse,1,35,29.3,2023-01-11T20:00:54.462Z,2023-01-12T07:01:37Z,3973887683,212,14.0,3973887681,141,49.7,3973887685,213,1.4,3973887677,56,Back,3974249589,178,,3973887679,140,36.8,,,,,,,3h3g7sne1jjevj0mwyliehm95,R. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496660221,606,3,1,0,45,3unkqo2g6ag99gd5ynz1j7vse,0,36.4,43.7,2023-01-11T20:00:56.501Z,2023-01-12T07:01:36Z,3974164065,56,Back,3974164071,467,8s259ktv9j6ei0f8rh2msqfh1,3974164067,286,,3974249641,178,,3974164069,465,,,,,,,,,,,9nhlgi0k783bq8a2704bu6n6d,X. Chavalerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607981,10,4,1,0,47,3unkqo2g6ag99gd5ynz1j7vse,1,40,42.1,2023-01-11T20:00:58.522Z,2023-01-12T07:01:35Z,3973887713,286,,3973887845,233,11,3973887711,152,,3973887707,295,,3973887709,56,Back,3973887705,13,,,,,,,,9nhlgi0k783bq8a2704bu6n6d,X. Chavalerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
