id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2501983467,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-01-29T13:26:39.465Z,2023-01-29T14:01:07Z,4002082279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002082271,30,"f0e5posm9z0oma2t3u9k1qy95, bf2yxiyhdyipaxxxobt9i1gq1, dzh403ofb9zatvornq0svb0gk, oc04nz0mrmzeqpcbql3rbhlh, 3g217lvxyrxlzsyp0rmlvglp1, crjrpkb5p430hludk5acmhjv9, 9yfnfwqog4y572aoe2iztnbv9, cg1j982govx2perwr3rv33t1x, d3y4csfpvhzcowlusw9xe32eh, 8zc2u2dfrokzg3domqmt30s0l, 6tedvat245ajkir9c4035i0np, 7k0r5crdh9blj3edt31zwy0dm, 9dzyrffyz77zqmptudhdrh8lx, adswn2xpomwsi7zh022787mne, ctygavkrblcxra880nwej0bf9, 1otm8rmlwrddxqeqelo6vhtec, bxb5trtzllty8eqteifyw4zit, 1n0y675l767w55pipq5lgj1zp, 5i6p36ywmaoj1i26fl54th5d6, 6i3zlo12dwcjy0tcnls1e35k9",4002082277,130,5,4002212585,197,654,4002082275,59,"1, 28, 26, 17, 21, 3, 10, 8, 31, 5, 27, 7, 11, 14, 16, 20, 24, 25, 38, 93",4002082281,194,f0e5posm9z0oma2t3u9k1qy95,4002082273,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002082283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501987023,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-01-29T13:32:41.355Z,2023-01-29T13:58:08Z,4002099905,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002099907,194,aflbpdgjm6huba3f9t848d4o9,4002099893,30,"c6u4h9wy88ymj6whiz93jknv9, bt2pm0it9f1o216uxo3abfpbd, 237j1qagaotsy5j9wo3xqfgtl, 6euu7oztc1jkxcgef0g75cq95, 1u990wv0bo82xqv2s0e8m8ic5, 7j0fv43b1dkuiqk71ym4mmw6i, 4elohf5kyq6i1jmywfuzhh2ol, aflbpdgjm6huba3f9t848d4o9, 757jd3kvmh2izb7q7k8if209h, 8s5u921me5pvsfyvysjgpu2qy, c8vsa9o761rsdy9l8xbtj3etx, 1jdd1cmzaqalgkkl9vj4dcy51, 3xbgtth9h7ywlkpdzy8rwkbth, 9bicv1fmrgltfrr726qrgio0k, 94fun5n4wygom9o27rptvscq2, bxdqxy4grh0ct3d8emys8qxw4, 5rd9832gct7uy0acodmor8b11, 7hn66gfq3xw08afo501l9x5as, 822pzsxxhxdofvitaabixgzu2, 16yp4b9n9a7dq2bld6qyt3oyc",4002099901,59,"99, 11, 3, 5, 4, 36, 10, 7, 95, 70, 18, 2, 9, 13, 16, 17, 21, 22, 31, 97",4002099909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002099903,130,17,4002099897,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002209895,197,8270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011493,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-01-29T14:00:04.504Z,2023-01-29T14:00:04Z,4002217099,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011503,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-01-29T14:00:04.504Z,2023-01-29T20:45:27Z,4002217161,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011551,3,1,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,50.4,49.9,2023-01-29T14:00:04.565Z,2023-01-30T04:02:15Z,4004008553,178,,4002217371,212,26.6,4002217375,279,S,4002217373,213,3.1,4002217369,141,51.6,4002217367,140,25.1,4002217365,56,Back,,,,8zc2u2dfrokzg3domqmt30s0l,Pedro Chirivella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011637,4,1,1,0,3,750ustvk4jfqmo8q4gnrcxy7z,1,34.3,48.5,2023-01-29T14:00:07.904Z,2023-01-30T08:45:03Z,4002217763,56,Left,4004008719,178,,4002217771,213,0.9,4002217773,1,,4002217769,212,38.8,4002217767,141,91.7,4002217765,140,58.5,,,,3g217lvxyrxlzsyp0rmlvglp1,J. Castelletto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011639,5,61,1,0,5,750ustvk4jfqmo8q4gnrcxy7z,0,66,93.6,2023-01-29T14:00:10.286Z,2023-01-30T08:45:03Z,4002217777,56,Left,4004008993,178,,,,,,,,,,,,,,,,,,,,oc04nz0mrmzeqpcbql3rbhlh,M. Sissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011661,3,4,1,0,7,17o35s8assv3kamxowzz77k4r,1,35.6,4.8,2023-01-29T14:00:11.867Z,2023-01-30T08:45:02Z,4002217873,152,,4002217869,13,,4002217981,233,6,4002217871,56,Back,4002217877,286,,4002217875,265,,,,,,,,bt2pm0it9f1o216uxo3abfpbd,J. Allevinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011675,6,4,1,0,7,750ustvk4jfqmo8q4gnrcxy7z,0,64.4,95.2,2023-01-29T14:00:11.868Z,2023-01-30T08:45:02Z,4004009015,178,,4002217925,13,,4002218003,233,3,4002217927,56,Left,4002217935,265,,4002217931,152,,4002217939,285,,,,,oc04nz0mrmzeqpcbql3rbhlh,M. Sissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502011817,4,1,1,0,19,17o35s8assv3kamxowzz77k4r,1,38.9,9.1,2023-01-29T14:00:23.846Z,2023-01-30T08:45:01Z,4002218583,5,,4002218593,212,20.6,4002218595,213,2.6,4002218587,56,Back,4002218591,141,25.6,4002218585,152,,4004009113,178,,4002218589,140,22.4,7j0fv43b1dkuiqk71ym4mmw6i,A. Seidu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
