id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2518331007,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-03-11T15:05:07.877Z,2023-03-11T18:32:39Z,4088296305,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088296301,59,"1, 13, 14, 95, 4, 97, 7, 80, 11, 12, 10, 6, 9, 16, 17, 24, 27, 29, 35, 77",4088296303,130,11,4088296307,194,7jj9gwpuk49bsm2ru06qb44wl,4088296309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088296297,30,"6wplm29z7qxxmujyc2ml19gix, tca8ra7ew1b1uny96ku0ql05, 512mx8ixg85cbefyan94g82y1, 5rh9yiue1qnabbwoyweyus5t6, 6ypo3vp0zupq6s1jbk8rbmq51, baogzi00mwdclwbvkd618evv9, co59rv08x22hk5itwibbwq191, 46vm60m1v8o9t0aesa0bpr42y, 9qk1hoxri8dee6yat0cateqxh, 7jj9gwpuk49bsm2ru06qb44wl, 6gdoxudvl1rgcn7d19e89p9ed, 3o7ktan6n28fn5fj7gel6qead, 7pv3n0vj8243p1di16regotsl, cglp4k40r1t672m7j0eb5ktsl, aujgya83jg4eylvm7hjjbbasq, dac9zcryfwbq3xdik69gkpadx, 8tesu8352jvqfvclei8hykjbp, doc6xdg2vumiyoamostngr36d, 4sjs5ktvkun9g96w6h5a39puc, b187awt0wdxh20fx1rn5vgewa",4088296299,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4088848323,197,4727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518340055,1,34,16,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2023-03-11T15:08:56.793Z,2023-03-11T16:07:05Z,4088342349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088342347,130,2,4088342345,59,"30, 90, 3, 21, 15, 5, 14, 8, 19, 9, 17, 1, 2, 6, 18, 20, 25, 27, 34, 41",4088342341,30,"cym4wbw14zw1jh4jsp3sbyk0l, 9irgn82qm11logbhup51rg5wp, 92qqdiryqd8juqdjq8585476y, 3hd9nxdb54zn4fhbf7qa7x0q1, ayx2iydekv69471d92zmpbbze, 8qlz4omhgfnzyb2cgeou7xn56, draibw1vui84ciizu30az81jp, 9br2z5cf6stmnidehwo5a8afp, 6u2ob6fv950r1qve8uejkq2uh, dw9fzixumboknmucqgqffurmy, 9mory3y7p8aku035r2kxtvz6d, 3o70kdbjt6w1aw7rkq3a4fecq, otan631zzfnq2sektkl3ywo9, 49vfeofafswzu1f6rekqjbjhm, 47bjfjrtjv3uv5lnguc2ycg0k, crn7i9243dnczl74jti8i5pzp, 2ubad2kxha6n1c8c8sr2ogmad, xrh2szvp5808no7zm1et2zf9, cxa3j4u8eh5w947p1iba47yfo, 6j7mbcwf5hxx0sdidf5mi61as",4088342353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088868869,197,665,4088342343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4088342351,194,draibw1vui84ciizu30az81jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518437217,2,32,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2023-03-11T16:00:09.106Z,2023-03-11T16:00:09Z,4088855473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518437227,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-03-11T16:00:09.106Z,2023-03-11T21:01:59Z,4088855503,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518437261,3,1,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,50,50,2023-03-11T16:00:09.249Z,2023-03-11T21:09:16Z,4088855637,56,Back,4088855645,213,3.8,4088855639,140,46.5,4088855641,141,46.0,4090414249,178,,4088855643,212,4.6,4088855647,279,S,,,,dw9fzixumboknmucqgqffurmy,A. Kalimuendo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518437289,4,1,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,50.6,47.8,2023-03-11T16:00:09.867Z,2023-03-12T01:41:25Z,4088855793,140,37.6,4088855795,141,45.2,4090414609,178,,4088855789,56,Back,4088855799,213,3.3,4088855797,212,13.8,,,,,,,draibw1vui84ciizu30az81jp,B. Bourigeaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518437299,5,1,1,0,2,z1wbqtd0fz5t5eezjvrbld3h,0,38.8,48.4,2023-03-11T16:00:12.067Z,2023-03-12T01:41:24Z,4088855839,212,43.7,4088855841,213,0.2,4088855837,141,64.2,4088855843,1,,4088855831,155,,4088855835,140,79.1,4090414811,178,,4088855833,56,Center,3hd9nxdb54zn4fhbf7qa7x0q1,L. Majer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518437317,3,1,1,0,5,9bxav814mkuhueiyivyive82d,0,23,34.6,2023-03-11T16:00:15.009Z,2023-03-12T01:41:23Z,4088855955,213,6.1,4088855951,141,29.4,4090415171,178,,4088855953,212,15.4,4088855945,3,,4088855949,140,37.3,4088855947,56,Back,,,,baogzi00mwdclwbvkd618evv9,R. Raveloson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518437373,6,1,1,0,7,z1wbqtd0fz5t5eezjvrbld3h,1,62.3,67.8,2023-03-11T16:00:16.309Z,2023-03-12T01:41:23Z,4090415777,178,,4088856215,3,,4088856227,213,1.1,4088856219,140,68.0,4088856217,56,Left,4088856221,141,87.0,4088856223,212,14.4,,,,9br2z5cf6stmnidehwo5a8afp,B. Santamaría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518745775,1490,67,1,0,9,z1wbqtd0fz5t5eezjvrbld3h,1,66.3,85.2,2023-03-11T16:00:18.514Z,2023-03-12T01:41:22Z,4090521451,233,859,,,,,,,,,,,,,,,,,,,,,,92qqdiryqd8juqdjq8585476y,A. Truffert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
