id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2531009025,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-04-09T12:12:24.927Z,2023-04-09T13:02:26Z,4176298105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176298115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176298107,59,"40, 27, 28, 20, 5, 3, 9, 7, 15, 45, 22, 1, 2, 4, 8, 10, 17, 29, 37, 99",4176298109,130,7,4176298103,30,"7h2icfuwy00ilm14dw5xyl5g5, ef2n7d6rysar49toiz2k3obth, 2ds26ub6ho0baamsjcmh7mmfo, dl4e5ojyhccj6w0vgksfzvmxh, 7xd54eb65lg7zldvnyd58bq39, 7mn6lue4zatldcxp0gd7kt8mh, e0hk5aepnpo7cne006zwahfx1, dom1dzrvk7y4sd8puf8iztn11, 5yg9ljo5pf1lo2xk74d0k240l, 36yupk7p1vks4dbguw53xhucp, 3imcuejzt9r6zvvv1xbn5jbl6, 1ixibe50te4j2gjhbufm72aui, bl4lretp33t0jj3icujkf45p1, c4yip4bf8il4gnxnhcb381b3e, 5lfki1zoxd4l96hjbr2rw3d2h, 32bc16sg6h58ajxigp7nl1ryt, aoe90w0oopw8h5ipktpmme9cl, 3ynh418z6f6bfjz674vs40f6x, 7mjc5a2k7wz4flem6upj5u1w4, 3r04y1fejoh9e8qbge3exy3u1",4176298111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176489727,197,17125,4176298113,194,7xd54eb65lg7zldvnyd58bq39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531009107,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-04-09T12:12:30.981Z,2023-04-09T13:00:56Z,4176298513,59,"94, 32, 25, 8, 24, 5, 39, 21, 29, 15, 70, 3, 4, 9, 10, 11, 19, 43, 49, 96",4176298511,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176490725,197,662,4176298509,30,"89sv092huj2obzdazmft854a1, 3sc349yey596xp2j6xlyt0frp, e1gq9zfwrm446r2tzmeiw6jmx, 2lvit204llltk13iglsa2tjah, 36h87ecgmpjdltk1epsbvmiju, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 96wcx761pzv5ub4sfwsynp51x, edti8t30h7ukwi3wqlzaczje1, 8qmm84tue6kuz8e5nhhdhmz8p, ccu7hw3wrcspl1a18g2ldnsh5, 8gkexxgf3pypshhqwg6ibp7o4, afymbx9eo87zau8mo99pakbu, 5ghvrbmlh0tqos9iohj8f7zzd, agwvouyocx93y39g7tmwaojx1, 18b0ti0bsq68842kgbczsbgmh, 7ty1wdxxnusgkl34k5raipbl5, 8zo4abj7d3ut3cry9tcsoglw, 6thbb2kineeyc4n6djxywl5as, 4scfsr0qvjnh8jxrdnld9b0lx",4176298515,130,8,4176298519,194,976riwm0dz0e74d4l28y3ttcl,4176298517,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176298521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048259,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-04-09T13:00:18.491Z,2023-04-09T13:00:18Z,4176488081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048455,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-04-09T13:00:18.491Z,2023-04-09T20:30:18Z,4176489049,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531097383,501,1,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,50.4,49.9,2023-04-09T13:00:18.502Z,2023-04-09T20:57:17Z,4176741603,56,Back,4176741611,213,3.6,4176741613,279,S,4178165767,178,,4176741605,140,32.8,4176741607,141,35.3,4176741609,212,21.0,,,,edti8t30h7ukwi3wqlzaczje1,F. Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531098369,503,1,1,0,3,3c3jcs7vc1t6vz5lev162jyv7,1,32.8,31.9,2023-04-09T13:00:21.814Z,2023-04-10T04:08:03Z,4176746865,56,Back,4176746871,212,16.2,4178165957,178,,4176746867,140,47.4,4176746873,213,6.0,4176746869,141,24.3,,,,,,,36h87ecgmpjdltk1epsbvmiju,E. Agbadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531098397,504,1,1,0,4,3c3jcs7vc1t6vz5lev162jyv7,1,49.8,23.2,2023-04-09T13:00:22.705Z,2023-04-10T04:08:02Z,4176747013,213,0.3,4176747011,212,10.5,4176747003,168,,4176747009,141,27.1,4176747007,140,59.5,4176747005,56,Center,4178166595,178,,,,,cmrdm4nnd62inlvsnc52vkicp,J. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531098659,505,1,1,0,5,3c3jcs7vc1t6vz5lev162jyv7,0,60,28.1,2023-04-09T13:00:23.905Z,2023-04-10T04:08:02Z,4176750319,233,3,4176748481,141,32.1,4176750317,236,,4176750323,286,,4176748485,213,1.3,4178167115,178,,4176748479,140,60.6,4176748477,56,Center,8qmm84tue6kuz8e5nhhdhmz8p,M. Munetsi,4176748483,212,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048381,3,74,1,0,5,3adj8hkws0z1al232bg2h6tk0,1,40.4,74.5,2023-04-09T13:00:23.948Z,2023-04-10T04:08:02Z,4176488677,56,Back,4178177831,178,,4176750341,233,505,4176750279,285,,,,,,,,,,,,,,2ds26ub6ho0baamsjcmh7mmfo,B. Locko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531100329,408,61,1,0,5,3adj8hkws0z1al232bg2h6tk0,1,40.3,71.5,2023-04-09T13:00:24.374Z,2023-04-10T04:08:01Z,4178178151,21,,4176757649,56,Back,4178178153,178,,,,,,,,,,,,,,,,,dl4e5ojyhccj6w0vgksfzvmxh,P. Lees-Melou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531372793,808,43,1,0,7,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-04-09T13:00:25.517Z,2023-04-10T02:08:44Z,4178699629,144,67,4178237727,233,995,,,,,,,,,,,,,,,,,,,2ds26ub6ho0baamsjcmh7mmfo,B. Locko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531372787,995,43,1,0,7,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-04-09T13:00:25.518Z,2023-04-10T02:08:43Z,4178237741,233,808,4178699615,144,67,,,,,,,,,,,,,,,,,,,8qmm84tue6kuz8e5nhhdhmz8p,M. Munetsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531100475,409,61,1,0,7,3adj8hkws0z1al232bg2h6tk0,1,41,71.8,2023-04-09T13:00:25.549Z,2023-04-10T04:08:01Z,4178178359,178,,4176758321,56,Back,,,,,,,,,,,,,,,,,,,2ds26ub6ho0baamsjcmh7mmfo,B. Locko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048443,4,49,1,0,8,3adj8hkws0z1al232bg2h6tk0,1,38.1,72.6,2023-04-09T13:00:26.533Z,2023-04-10T04:08:01Z,,,,,,,,,,,,,,,,,,,,,,,,,dl4e5ojyhccj6w0vgksfzvmxh,P. Lees-Melou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531100579,410,1,1,0,8,3adj8hkws0z1al232bg2h6tk0,1,38.2,72.4,2023-04-09T13:00:26.639Z,2023-04-10T04:08:00Z,4176758877,213,0.3,4176758875,212,8.4,4176758871,140,45.8,4178178767,178,,4176758873,141,76.3,4176758869,56,Back,,,,,,,dl4e5ojyhccj6w0vgksfzvmxh,P. Lees-Melou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048477,5,1,1,0,9,3adj8hkws0z1al232bg2h6tk0,1,46,77.8,2023-04-09T13:00:28.290Z,2023-04-10T04:08:00Z,4176489153,212,11.7,4178178873,178,,4176489151,141,95.0,4176489155,213,1.5,4176489149,140,47.0,4176489147,56,Back,,,,,,,36yupk7p1vks4dbguw53xhucp,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048493,6,3,1,0,11,3adj8hkws0z1al232bg2h6tk0,0,52,94.4,2023-04-09T13:00:29.700Z,2023-04-10T04:07:59Z,4176752989,286,,4177115403,465,,4178178977,178,,4176489225,56,Left,4176753319,233,506,,,,,,,,,,3imcuejzt9r6zvvv1xbn5jbl6,J. Le Douaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531099515,506,7,1,0,11,3c3jcs7vc1t6vz5lev162jyv7,1,48,5.6,2023-04-09T13:00:30.002Z,2023-04-10T04:07:59Z,4177116625,385,,4176753301,233,6,4176753283,285,,4176753279,167,,4176753281,56,Back,4178179131,178,,,,,,,,3sc349yey596xp2j6xlyt0frp,T. Foket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
