id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/12/value,keyPass,qualifier/13/value,qualifier/10/value,qualifier/14/value
2468443729,1,34,16,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2022-10-07T18:10:32.104Z,2022-10-07T19:01:12Z,3825134033,30,"3yk6n0wr6nc0dlm51gwvwi4t1, eu71261se8nv26xcd39nrdous, ccc0ytvrgtomxfunopwy2kij9, aa0888u38mjc1euhofseazb2t, 4c4ghf9zlkof83n5mnmva61d6, 2o5wwfsh5xhyatdfelh9dzqax, eswivc2a0iwwdly6ft8eh0ogl, 2rsqkarlkh6z8vrb0clfbz6xh, 1lnktjxx0mux4beo28cl54j1m, anr9qh585ctgk2d17zperhgix, 684cguhktvth28ql6qgvvmcyc, 98gymyp93rh6s57b50xq6fqax, 24n3hqbko2cyoxk4q84rzqvhl, ulqazti394q5bbzc4pblidat, 59knsm910b1ruk024rkksla3u, 3je152n5s5fjtbrxs9v8dn1lh, 2lyhi7j3id7emsh54ehdva3ca, b3xdln1shzyzwkhzdmbb2fqax, cphxr8p8dhc1qeqfgdt7is4ph, c44zop1hvob3cmgu2grj8m0yy",3825134041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825134045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825134037,59,"30, 31, 12, 17, 4, 2, 10, 8, 27, 6, 28, 24, 5, 7, 14, 16, 18, 19, 21, 23",3825134035,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3825342289,197,17172,3825134043,194,eswivc2a0iwwdly6ft8eh0ogl,3825134039,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468444583,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-10-07T18:11:31.993Z,2022-10-07T19:09:21Z,3825138725,59,"1, 27, 3, 88, 23, 4, 11, 24, 9, 10, 7, 2, 6, 8, 12, 17, 18, 21, 22, 35",3825138721,30,"d3mss0i879krqrk1owzmj2c45, 8jt4vsixxoqp4uvskyfl7k222, 40hu79d2a4k94nc52z7dblpsl, d68byfvk16giaur32gqwpwded, 3vu0c0j8n99wz6e2f7fmd2pxx, aaaskdins76bd0368sbpt7wq2, 79nno03ww57p02dz5o0g60rqi, 6ovea0xzg9yflmlbjdf1xcmlm, d9zax4y92d85x7j63kg7ckvkl, f4cykd65su8xbme6xdc1iw7o5, 9mory3y7p8aku035r2kxtvz6d, e9mtpmkb4qj2gqyv966g9ulpm, 79dz7zni5fcgh5e70spoj2j8p, 412hlm2edd05jd1ad597brcvd, 8rcole4a6y4fkamv87q3hqk0l, aftis8f2ahy7dhk5bp8co4q1h, 1ehcji0j9s8b0qsj8v5zinjvu, 46acb400oivj94jwu3i3lrxsl, 7ef73s1ryz38blmo3n9p9c82x, 7to9ns7mkuji0ciwh1ufkq3md",3825138727,130,8,3825138733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825138729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825343155,197,643,3825138731,194,f4cykd65su8xbme6xdc1iw7o5,3825138723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483959,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-10-07T19:00:33.407Z,2022-10-07T23:45:32Z,3825351759,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483955,2,32,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2022-10-07T19:00:33.407Z,2022-10-07T19:00:33Z,3825351735,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483993,3,1,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,50.1,50.3,2022-10-07T19:00:33.428Z,2022-10-07T23:52:11Z,3825351991,279,S,3825351983,140,32.1,3825869101,178,,3825351989,213,3.3,3825351965,56,Back,3825351987,212,19.1,3825351985,141,46.0,,,,2rsqkarlkh6z8vrb0clfbz6xh,B. van den Boomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484005,4,1,1,0,3,4aghw9tyi8ba3ju1ne83gmf9w,0,28.1,47.6,2022-10-07T19:00:36.576Z,2022-10-08T02:49:29Z,3825352033,212,47.4,3825352025,140,72.4,3825869119,178,,3825352029,141,61.1,3825352037,1,,3825352023,56,Center,3825812803,155,,3825352035,213,0.2,2o5wwfsh5xhyatdfelh9dzqax,R. Nicolaisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484035,3,1,1,0,6,121le8unjfzug3iu9pgkqa1c7,0,24.8,38.9,2022-10-07T19:00:39.784Z,2022-10-08T02:49:28Z,3825352235,212,20.7,3825352231,140,44.4,3825352237,213,6.2,3825869193,388,,3825352227,3,,3825352233,141,35.7,3825352229,56,Back,,,,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484069,5,1,1,0,8,4aghw9tyi8ba3ju1ne83gmf9w,1,55.1,64.1,2022-10-07T19:00:42.274Z,2022-10-08T02:49:28Z,3825352495,212,19.7,3825352491,140,70.2,3825352497,213,0.6,3825352489,56,Left,3825869277,388,,3825352487,3,,3825352493,141,81.4,,,,aa0888u38mjc1euhofseazb2t,S. Spierings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468485861,11,1,1,0,10,4aghw9tyi8ba3ju1ne83gmf9w,0,72,75.1,2022-10-07T19:00:43.686Z,2022-10-08T02:49:28Z,3825869347,388,,3825362033,56,Left,3825362041,213,0.3,3825812855,168,,3825362037,141,79.0,3825362035,140,79.7,3825362031,3,,3825362039,212,8.5,1lnktjxx0mux4beo28cl54j1m,T. Dallinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484103,4,1,1,0,11,121le8unjfzug3iu9pgkqa1c7,0,18.6,30.5,2022-10-07T19:00:45.193Z,2022-10-08T02:49:27Z,3825869367,388,,3825352697,56,Back,3825352695,3,,3825352703,212,8.8,3825352699,140,20.9,3825352701,141,18.0,3825352705,213,5.0,,,,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484081,6,43,1,0,11,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2022-10-07T19:00:45.357Z,2022-10-07T19:02:39Z,3825352569,212,12.3,3825352561,3,0,3825352565,140,81.9,3825359711,144,1,3825352567,141,72.6,3825352563,56,Center,3825352571,213,5.7,,,,1lnktjxx0mux4beo28cl54j1m,T. Dallinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484209,5,4,1,0,14,121le8unjfzug3iu9pgkqa1c7,1,14.7,9,2022-10-07T19:00:48.158Z,2022-10-08T02:49:27Z,3825353239,152,,3825353237,56,Back,3825353419,233,7,3825353235,10,,3825353241,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484239,7,4,1,0,14,4aghw9tyi8ba3ju1ne83gmf9w,0,85.3,91,2022-10-07T19:00:48.159Z,2022-10-08T02:49:26Z,3825353391,56,Left,3825353395,286,,3825353451,233,5,3825353393,152,,3825869431,178,,3825353389,10,,,,,,,,1lnktjxx0mux4beo28cl54j1m,T. Dallinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484293,6,1,1,0,24,121le8unjfzug3iu9pgkqa1c7,1,18,13.6,2022-10-07T19:00:57.644Z,2022-10-08T02:49:26Z,3825353647,212,15.5,3825353641,56,Back,3825353645,141,23.6,3825353649,213,0.5,3825353643,140,31.3,3825353639,152,,3825869495,178,,3825353637,5,,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484313,7,1,1,0,26,121le8unjfzug3iu9pgkqa1c7,1,25.5,20.7,2022-10-07T19:00:59.450Z,2022-10-08T02:49:26Z,3825353743,141,22.8,3825353739,56,Back,3825869555,178,,3825353747,213,2.9,3825353741,140,18.5,3825353745,212,7.5,,,,,,,6ovea0xzg9yflmlbjdf1xcmlm,J. Lepenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484345,8,1,1,0,27,121le8unjfzug3iu9pgkqa1c7,1,17.3,21.2,2022-10-07T19:01:01.166Z,2022-10-08T02:49:25Z,3825353917,56,Back,3825353921,141,72.7,3825353925,213,1.5,3825353927,1,,3825353919,140,19.4,3825869559,178,,3825353923,212,35.1,,,,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484379,9,1,1,0,32,121le8unjfzug3iu9pgkqa1c7,1,29.4,66.6,2022-10-07T19:01:06.362Z,2022-10-08T02:49:23Z,3825354101,212,9.7,3825869581,178,,3825354099,141,52.5,3825354097,140,28.0,3825354095,56,Back,3825354103,213,4.6,,,,,,,aaaskdins76bd0368sbpt7wq2,C. Lukeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484429,10,1,1,0,37,121le8unjfzug3iu9pgkqa1c7,1,37.8,39.7,2022-10-07T19:01:10.935Z,2022-10-08T02:49:22Z,3825869631,178,,3825354357,141,74.2,3825354351,56,Center,3825354353,140,70.7,3825354367,1,,3825354365,213,0.6,3825354361,212,41.8,3825354349,155,,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468484461,11,1,1,0,39,121le8unjfzug3iu9pgkqa1c7,1,71.8,65.2,2022-10-07T19:01:13.281Z,2022-10-08T02:49:22Z,3825354529,56,Left,3825354525,3,,3825354533,141,82.6,3825354527,168,,3825869705,388,,3825354531,140,91.2,3825354535,212,23.6,3825354537,213,0.5,d9zax4y92d85x7j63kg7ckvkl,M. Dembélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
