id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist
2494534813,1,34,16,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2023-01-01T19:00:13.758Z,2023-01-01T19:52:22Z,3962986479,197,11901,3962971855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962971843,30,"25cggz2egeqce47yijxadsslx, bt4yy465bb33u7phdhnlr6pcl, qt2jl9zxkj4lxqzeydbb6hg5, br7zigajqee6fms35zhm1sb8p, 4ezld812zytvbokz97jwycgkp, 4t4u4725escxjm2gwz5e7lpsl, 3h62hv3ksrnl7n7di2b080y51, 5jrt4as7f9xt1i1enj2dxx65m, 64ubq0xra74xaunooi8knyajt, 7izciy79i6d6h7usfr8mcmh91, eolso19u03zxw2pca2i95v4dl, 4yxo8gwnou3m7jh6ph8lkuw44, 1ad3itgiwcnyw3o9wplhah2hh, b4lc7czw7al6g7a7qzcqzya22, d49iskrm33kt3vlxy4q85m0ru, d53u1z2wzikqk2veuqag63utx, 3ngai7brgwxmnx3c7dmmed5ud, 7h28voyog9dhvitn6hj1omhh, d9pacjyllv546b9qe0arx2nvu, boeam163ur1t3ifq01px99xwp",3962971849,130,17,3962971847,59,"30, 29, 21, 14, 4, 24, 8, 26, 11, 7, 18, 36, 3, 6, 13, 15, 16, 22, 23, 25",3962971853,194,3h62hv3ksrnl7n7di2b080y51,3962971851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962971845,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494534901,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-01-01T19:01:27.964Z,2023-01-01T19:44:47Z,3962972217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962983967,197,15881,3962972215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962972209,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962972213,130,23,3962972207,30,"4cetkl0w2uq40ccti5ka6a4t1, cfg0ocm0b2icpagbtnzkrihn9, 1vr896w03yky9kmu8x5tjkicp, 5qg0coudjinnt978myh4n4n2t, 9adbv1dl7dp7vze3b9sarerbp, 8z0395s37qe2lqi9qsvyskgk5, f3v58fkymhrprt5gs0ccm29xx, dsmcqfl0e1be4ag7czbnolo15, 3vx94h32ahujciraspdayj9t6, 5e9ilgrz3tzg9kd1gk3yvrahh, 7fmhqt5geme4yv9cfnsp5lec5, 9sme7jykdv8msgfu0nxx6h39x, 54w62kh31qyyu7tipmjlt95g5, ckjcm9q26zd6q8tkq0go6oxcl, cionsifzpx5rhc8es29wv6i95, 4pyehox7p3z64c4l3k8yoyfv9, atlhc604ri3rr4w012otutyj8, 2s2fzli5c7h9dfcertq2dwxec, 59zam5h3noyxf84k3jv1ofy1g, 34z1r2585ifo6zdcfuu6xumfo",3962973601,194,8z0395s37qe2lqi9qsvyskgk5,3962972211,59,"99, 26, 2, 15, 4, 5, 8, 28, 44, 7, 6, 1, 14, 16, 17, 19, 31, 33, 37, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494537417,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-01-01T19:47:08.416Z,2023-01-01T19:47:08Z,3962984665,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494537421,2,32,1,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2023-01-01T19:47:08.416Z,2023-01-02T00:14:49Z,3962984671,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494537425,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,50.1,49.8,2023-01-01T19:47:08.475Z,2023-01-02T00:27:30Z,3962984679,56,Back,3962984689,213,2.8,3962984691,279,S,3963082139,178,,3962984685,212,14.0,3962984681,140,37.5,3962984683,141,56.5,,,,3vx94h32ahujciraspdayj9t6,H. Ekitike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494537429,4,1,1,0,1,2b3mar72yy8d6uvat1ka6tn3r,1,39.8,51.8,2023-01-01T19:47:10.336Z,2023-01-02T03:25:30Z,3962984717,213,1.8,3962984711,140,35.2,3962984713,141,81.3,3962984709,56,Back,3963082247,178,,3962984715,212,20.6,,,,,,,5qg0coudjinnt978myh4n4n2t,Danilo Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494537435,5,1,1,0,4,2b3mar72yy8d6uvat1ka6tn3r,1,38.6,77.7,2023-01-01T19:47:13.148Z,2023-01-02T03:25:29Z,3962984739,213,1.7,3962984737,212,10.3,3962984733,140,37.5,3962984731,56,Back,3962984735,141,92.8,3963082285,178,,,,,,,,7fmhqt5geme4yv9cfnsp5lec5,M. Verratti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494537439,6,1,1,0,7,2b3mar72yy8d6uvat1ka6tn3r,1,42.4,93.5,2023-01-01T19:47:15.747Z,2023-01-02T03:25:28Z,3962984751,56,Back,3962984753,140,28.2,3963082317,178,,3962984755,141,70.8,3962984759,213,3.9,3962984757,212,21.5,,,,,,,1vr896w03yky9kmu8x5tjkicp,A. Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494537443,7,1,1,0,10,2b3mar72yy8d6uvat1ka6tn3r,1,27.7,71.7,2023-01-01T19:47:18.417Z,2023-01-02T03:25:27Z,3962984775,212,20.7,3962984773,141,41.3,3962984771,140,26.5,3962984769,56,Back,3962984777,213,4.7,3963082357,178,,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494537447,8,1,1,0,13,2b3mar72yy8d6uvat1ka6tn3r,1,29.6,25.4,2023-01-01T19:47:21.971Z,2023-01-02T03:25:26Z,3963082391,178,,3962984803,212,10.5,3962984801,141,10.0,3962984797,56,Back,3962984805,213,4.6,3962984799,140,28.4,,,,,,,9adbv1dl7dp7vze3b9sarerbp,Sergio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
