id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/13/value,qualifier/16/value,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497684395,1,34,16,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-01-15T13:21:37.139Z,2023-01-15T13:58:18Z,3979557959,59,"30, 12, 23, 17, 4, 2, 10, 8, 7, 6, 21, 22, 11, 14, 16, 19, 26, 27, 28, 33",3979557967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979557963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979557955,30,"3yk6n0wr6nc0dlm51gwvwi4t1, ccc0ytvrgtomxfunopwy2kij9, c44zop1hvob3cmgu2grj8m0yy, aa0888u38mjc1euhofseazb2t, 4c4ghf9zlkof83n5mnmva61d6, 2o5wwfsh5xhyatdfelh9dzqax, eswivc2a0iwwdly6ft8eh0ogl, 2rsqkarlkh6z8vrb0clfbz6xh, ulqazti394q5bbzc4pblidat, anr9qh585ctgk2d17zperhgix, cphxr8p8dhc1qeqfgdt7is4ph, 3b2w1t6fsuazgtp4trwfyt9be, en42iersp8me42z7r4lzhwiga, 59knsm910b1ruk024rkksla3u, 3je152n5s5fjtbrxs9v8dn1lh, b3xdln1shzyzwkhzdmbb2fqax, 187ytd6guq9q9ruo3thez7ey2, 1lnktjxx0mux4beo28cl54j1m, 684cguhktvth28ql6qgvvmcyc, 4r5mejvmxk423kx5j3w4u3n6c",3979646883,197,15757,3979557961,130,4,3979557965,194,eswivc2a0iwwdly6ft8eh0ogl,3979557957,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497686141,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-01-15T13:25:54.359Z,2023-01-15T14:12:22Z,3979567159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3979567161,194,7xd54eb65lg7zldvnyd58bq39,3979567153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3979567151,30,"7h2icfuwy00ilm14dw5xyl5g5, 3r04y1fejoh9e8qbge3exy3u1, 7mn6lue4zatldcxp0gd7kt8mh, dl4e5ojyhccj6w0vgksfzvmxh, 7xd54eb65lg7zldvnyd58bq39, 3zyw4328iilwrttjoww1wctlh, e0hk5aepnpo7cne006zwahfx1, 36yupk7p1vks4dbguw53xhucp, 5yg9ljo5pf1lo2xk74d0k240l, 5lfki1zoxd4l96hjbr2rw3d2h, 3imcuejzt9r6zvvv1xbn5jbl6, 1ixibe50te4j2gjhbufm72aui, bl4lretp33t0jj3icujkf45p1, dom1dzrvk7y4sd8puf8iztn11, e6se9kft2lf9hs92rof2pnn6c, 9jiectkc8rk0ivxn80l87ic45, 7z8bpxyfd31hb5ehkaina1ap6, ef2n7d6rysar49toiz2k3obth, 7nlijkywjl13h3ks132026iok",3979567155,59,"40, 99, 3, 20, 5, 23, 9, 45, 15, 8, 22, 1, 2, 7, 11, 13, 18, 27, 97",3979567163,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979640519,197,4735,3979567157,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702343,2,32,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-01-15T14:00:24.117Z,2023-01-15T22:47:26Z,3979650289,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702337,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-01-15T14:00:24.117Z,2023-01-15T14:00:24Z,3979650261,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702375,3,1,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,50.2,49.9,2023-01-15T14:00:24.191Z,2023-01-16T04:37:06Z,3979650467,279,S,3980980709,178,,3979650459,140,31.4,3979650465,213,2.9,3979650461,141,56.1,3979650463,212,20.2,3979650457,56,Back,,,,36yupk7p1vks4dbguw53xhucp,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702443,4,1,1,0,3,3adj8hkws0z1al232bg2h6tk0,1,29.4,51.8,2023-01-15T14:00:27.326Z,2023-01-16T07:25:12Z,3979650813,213,0.2,3979650809,141,68.8,3979650803,155,,3980980733,178,,3979650805,56,Center,3979650811,212,47.8,3979650807,140,73.6,3979650815,1,,7xd54eb65lg7zldvnyd58bq39,B. Chardonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702445,5,4,1,0,8,3adj8hkws0z1al232bg2h6tk0,1,79.7,65.8,2023-01-15T14:00:32.243Z,2023-01-16T07:25:11Z,3979650831,265,,3979650907,233,3,3979650823,13,,3979650827,152,,3979650825,56,Center,3979650833,286,,,,,,,,3imcuejzt9r6zvvv1xbn5jbl6,J. Le Douaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702453,3,4,1,0,8,4aghw9tyi8ba3ju1ne83gmf9w,0,20.3,34.2,2023-01-15T14:00:32.244Z,2023-01-16T07:25:11Z,3980980825,178,,3979650873,265,,3979650867,56,Back,3979650871,152,,3979650921,233,5,3979650877,285,,3979650863,13,,,,,2o5wwfsh5xhyatdfelh9dzqax,R. Nicolaisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702891,6,15,1,1,3,3adj8hkws0z1al232bg2h6tk0,1,81.6,65.3,2023-01-15T14:01:27.501Z,2023-01-16T07:25:10Z,3979653807,147,49.3,3979653557,20,,3979653799,458,,3979653849,233,4,3979653249,26,,3979653795,103,20.9,3979653253,56,Center,3979653785,81,,dl4e5ojyhccj6w0vgksfzvmxh,P. Lees-Melou,3979655159,120,3979653803,146,99.1,3979653791,102,46.0,3979653251,18,3980980889,178,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702911,4,10,1,1,4,4aghw9tyi8ba3ju1ne83gmf9w,1,1.1,52.5,2023-01-15T14:01:28.311Z,2023-01-16T07:25:10Z,3980337235,378,,3979653385,56,Back,3979653675,233,6,3979653569,179,,3979653379,173,,3979653383,182,,,,,,,,3yk6n0wr6nc0dlm51gwvwi4t1,M. Dupé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
