id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value,assist
2461864513,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-09-18T12:14:41.005Z,2022-09-18T12:57:12Z,3790120199,194,8s259ktv9j6ei0f8rh2msqfh1,3790120187,59,"16, 7, 30, 23, 5, 99, 21, 27, 70, 6, 77, 4, 8, 10, 11, 17, 18, 22, 29, 36",3790120197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790120179,30,"26atxu4fr8f87oi8mt6z70mhh, c4w6l0ha9pvwljyh3aejqz3yt, dqsslq1iz1azubowq3anwws4q, 9j742o5vdc7d54x1xdz4t9ck5, 74edqcuzfzy7nswqzn0v3pe22, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, 5fbnkkf1saix4lonwx1i9k7o5, vl1b0gayryiqvl5dlukpmswl, asvqr3i5wcjiajxipt1qvldyh, bt2h27b7sfmsa5w6tnfp7lw4p, 8ni13k73i9xusj01utdmqk7h1, 290xjx3h327rl40wbn7hzrtg5, 26mggguhavwmnq1oak12ket, d1d3v27d4r6vme6n2w5umaacp, cip5lla8zu8gru2m4popsstlh, 5rh9yiue1qnabbwoyweyus5t6, ekm47qd8w1x0456lm1tmf5re1, 2p70qo9oxplufwnhlrl2b8v3e, 4dbs7cgevy096gouv60eurh05",3790120181,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790120201,197,15909,3790120193,130,17,3790120203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461865971,1,34,16,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-09-18T12:16:02.777Z,2022-09-18T13:19:10Z,3790128445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790128451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790128441,59,"30, 27, 3, 20, 2, 5, 14, 6, 19, 33, 7, 1, 9, 10, 11, 15, 21, 22, 25, 28",3790128437,30,"cym4wbw14zw1jh4jsp3sbyk0l, xrh2szvp5808no7zm1et2zf9, 92qqdiryqd8juqdjq8585476y, crn7i9243dnczl74jti8i5pzp, otan631zzfnq2sektkl3ywo9, 8qlz4omhgfnzyb2cgeou7xn56, draibw1vui84ciizu30az81jp, 49vfeofafswzu1f6rekqjbjhm, 6u2ob6fv950r1qve8uejkq2uh, dzv5f93w5fsnfzohaev6e3rx0, 9b7iei751ersl6ny0o0k8gn3d, 3o70kdbjt6w1aw7rkq3a4fecq, dw9fzixumboknmucqgqffurmy, 448wxnlqhqqf2hcecwut90n6y, 85gmjxvy1g5aj1lcizegwuaui, ayx2iydekv69471d92zmpbbze, 3hd9nxdb54zn4fhbf7qa7x0q1, 6n54br4iwdggqvid7oirzfn8q, 2ubad2kxha6n1c8c8sr2ogmad, 1py4bk2ik16w8lil31bghq99m",3790128439,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790128443,130,8,3790128449,197,665,3790128447,194,xrh2szvp5808no7zm1et2zf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906537,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-09-18T13:00:16.949Z,2022-09-18T18:04:07Z,3790331099,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906517,2,32,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-09-18T13:00:16.949Z,2022-09-18T13:00:17Z,3790331023,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906543,3,1,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,50.1,50.1,2022-09-18T13:00:16.964Z,2022-09-18T18:52:04Z,3790331141,279,S,3790331139,213,2.6,3790331137,212,13.9,3792020779,178,,3790331135,141,60.2,3790331131,56,Back,3790331133,140,38.6,,,,6u2ob6fv950r1qve8uejkq2uh,A. Gouiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906587,4,1,1,0,1,z1wbqtd0fz5t5eezjvrbld3h,1,40,51.2,2022-09-18T13:00:18.789Z,2022-09-18T23:48:39Z,3792021005,178,,3790331363,140,37.8,3790331371,212,25.1,3790331359,56,Back,3790331377,213,4.6,3790331367,141,14.4,,,,,,,crn7i9243dnczl74jti8i5pzp,F. Tait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906645,5,1,1,0,5,z1wbqtd0fz5t5eezjvrbld3h,1,37.8,11.6,2022-09-18T13:00:21.981Z,2022-09-18T23:48:39Z,3790331609,141,21.0,3790331607,140,68.4,3790331613,213,0.2,3790331605,56,Right,3792021343,178,,3790331611,212,32.8,3792819377,1,,3790331603,155,,xrh2szvp5808no7zm1et2zf9,H. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906669,6,1,1,0,7,z1wbqtd0fz5t5eezjvrbld3h,1,67.2,29.1,2022-09-18T13:00:24.022Z,2022-09-18T23:48:38Z,3790331709,140,64.8,3791704655,3,,3790331707,56,Right,3792021891,388,,3790331711,141,16.7,3790331715,213,4.4,3790331713,212,8.8,3790331765,156,,6u2ob6fv950r1qve8uejkq2uh,A. Gouiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906715,7,1,1,0,8,z1wbqtd0fz5t5eezjvrbld3h,0,60.6,18.3,2022-09-18T13:00:25.460Z,2022-09-18T23:48:38Z,3790331879,141,18.6,3790331877,140,81.7,3790331873,155,,3790331883,213,0.0,3792022421,178,,3790331881,212,22.2,3790331875,56,Right,,,,draibw1vui84ciizu30az81jp,B. Bourigeaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906735,3,49,1,0,11,27xvwccz8kpmqsefjv2b2sc0o,1,16.2,78,2022-09-18T13:00:28.859Z,2022-09-18T23:48:37Z,,,,,,,,,,,,,,,,,,,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
