id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/13/value,assist,qualifier/17/value
2503601511,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2023-02-04T12:00:18.380Z,2023-02-04T12:44:41Z,4010607935,130,8,4010607937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4010607929,30,"7iuwrwcupehj978vpf8sep591, 3w9nqzmvm6df5becqtvypo5w5, 3o5f01ay5uqzeb3xunhguvsyy, q195fj3dlx9i3r0zno98nhuc, 2to7qgaomc72knk6y1689ihka, 3edubak34lsocvkirgryo8vd, ero1axtkr33y6yetn4uti2oyx, 9r0t3f2nw0d1a17c9onvjgd05, 58zv1pd350niecmu275p4xyqc, b062pdmskviwqwzf5dckoffmd, aeoazf90glk79a2puhpm06pyh, 1vj4sunehr71tbbpu6zsp6dw5, ds4tjev271co53fycw64y4kfe, 6oxe2vmgkxzl4dfz5cdqbajmd, e9e2sdrwd5g6m8kfpxpe8ml79, a52izyii7s44qihbp4upbukiy, es2n7ru62e3o5w19jndi83pxw, 5b3esi4e6l86aqvprt9l16uqc",4010607939,194,9r0t3f2nw0d1a17c9onvjgd05,4010607931,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4010607943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010607933,59,"30, 14, 11, 15, 4, 5, 3, 22, 13, 17, 26, 7, 8, 9, 10, 12, 16, 19",4010607941,197,8429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503601713,1,34,16,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-02-04T12:00:55.601Z,2023-02-04T12:46:50Z,4010608961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4010608959,130,8,4010608953,30,"7ei82jx0voz3m7g64d9ewmggl, 552lzdgzrbb27bech7ow3v9hx, 7mehuya25b282lf1aqllzc3px, 8lqbmqjrc7ikjm0me2fsdej11, 3taxlkn9lb7otwvgbx9gyo82x, cf88cbpwlbfw6ampeklh3kcbu, et3yygjf96h7sgd43lb5t1yj8, akldj20vfqfopuvurujsgtsd1, 1jlc387u7fdpnnus9nlsb179w, 3o1we6pb4axflmhkn1r0b01xx, 8ls23zdsn7vn3bsx8o3gzwrh0, aeflx5i3gxg18wch6cjj7nw9g, arw9e50in9zw8e9eoul9x8rje, coj9nvuorcm7rvvotheguc5hx, 6lv8fv1zdz9wt9l485nmz9otl, 7drwwysuo9wwjrun0u3gp8r85, 996uvthtn0ho4doic5mcty6z9, 9k44thez31exd8pbq7i5wdbs9",4010608963,194,akldj20vfqfopuvurujsgtsd1,4010608967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010608965,197,8452,4010608955,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4010608957,59,"1, 20, 12, 21, 25, 4, 19, 10, 13, 8, 9, 6, 2, 14, 16, 26, 27, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503632487,2,32,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-02-04T12:45:28.609Z,2023-02-04T12:45:30Z,4010759083,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503632471,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2023-02-04T12:45:28.609Z,2023-02-04T12:45:28Z,4010759011,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503632569,3,1,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,50.1,49.7,2023-02-04T12:45:28.709Z,2023-02-04T12:45:33Z,4010759385,140,29.4,4010759391,213,3.0,4010759387,141,53.4,4010759393,279,S,4010759389,212,21.9,4010759383,56,Back,,,,,,,58zv1pd350niecmu275p4xyqc,S. Tapé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503632605,4,1,1,0,5,dgpni8xwxjhgekjmg0m8bb6nv,1,30.5,51,2023-02-04T12:45:33.670Z,2023-02-04T12:45:36Z,4010759635,141,13.1,4010759637,212,27.1,4010759639,213,4.4,4010759631,56,Back,4010759633,140,22.5,,,,,,,,,,q195fj3dlx9i3r0zno98nhuc,A. Donnary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503632609,5,1,1,0,8,dgpni8xwxjhgekjmg0m8bb6nv,0,19.6,14.4,2023-02-04T12:45:36.820Z,2023-02-04T12:45:44Z,4010759651,141,20.0,4010759647,56,Right,4010759653,212,57.1,4010759649,140,73.9,4010759657,1,,4010759655,213,0.1,,,,,,,2to7qgaomc72knk6y1689ihka,C. Collin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503632641,3,1,1,0,9,97jxqfbi28yoeedjbbw5xqhyi,0,42.1,89.6,2023-02-04T12:45:38.347Z,2023-02-04T12:46:08Z,4010759831,141,77.2,4010759833,212,34.5,4010759827,56,Center,4010759835,213,6.0,4010759837,1,,4010759829,140,74.0,,,,,,,7mehuya25b282lf1aqllzc3px,C. Meffometou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503632703,6,1,1,0,11,dgpni8xwxjhgekjmg0m8bb6nv,0,27.3,25.2,2023-02-04T12:45:40.319Z,2023-02-04T12:45:41Z,4010760151,141,0.0,4010760145,155,,4010760147,56,Right,4010760153,212,50.0,4010760155,213,5.9,4010760157,1,,4010760149,140,71.6,,,,2to7qgaomc72knk6y1689ihka,C. Collin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503632843,4,5,1,0,13,97jxqfbi28yoeedjbbw5xqhyi,1,32.2,101.9,2023-02-04T12:45:41.642Z,2023-02-04T12:47:35Z,4010762733,233,7,4010760867,347,,4010760865,56,Back,,,,,,,,,,,,,,,,552lzdgzrbb27bech7ow3v9hx,C. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
