id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2488757553,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-12-03T12:54:02.602Z,2022-12-03T13:40:29Z,3932314883,30,"alr6k5xokhqe1xi6a5kdyj7x1, cz9o6yad9c8s2potdvqau5slw, bgywqsemj5lsfro2hc77q532t, 80dr0hzhre13aaavd0r4udpl, b0badx1gx15s9wo6ly8z1rl61, 5mcszf3yuxwxcggl8ds2v1a7d, 9mo419gtk6dy5lhcvatcllkyy, jpx6k0db4qnb9akskhcwco2d, 9gugnyggxqnc9fijivw8fvq39, en70ces933pdy4dbgq0lgjhsl, 38jzj5l4s56u8pbiutq2qa7f8, 2j31jm5dsj1v91eofxzdzpa1g, bc1b4tkrsx8xsdqtoj198tg16, 1ekzotehyunn1wrvfrwckrr4k, 84qomd74wlfrd9lpost35p4wk, aqmo5o52e5mhbbzgdquivsm50, ae68tqogc2yplitpd1yixky22, c03fkophg1op7oov8hj7egx78",3932314885,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3932314891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3932314889,130,2,3932314895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932314893,194,b0badx1gx15s9wo6ly8z1rl61,3932314887,59,"1, 26, 17, 6, 23, 3, 29, 8, 10, 9, 25, 30, 11, 13, 14, 15, 19, 21",3932315651,197,9264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488759169,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-12-03T12:56:49.529Z,2022-12-03T13:32:59Z,3932323803,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3932323815,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932323809,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3932323813,197,14734,3932323805,59,"30, 21, 23, 15, 14, 4, 22, 10, 9, 8, 24, 11, 1, 20, 7, 13, 18, 26",3932323801,30,"dtl2shnzdg739pkag6fplb42y, 6xu7shoi00qiogo7akqo1xsrt, 5orsug2d4b7zzjat6eh9ks2qd, 9rab5estxnvvhj8evql7j68rt, 8ra0s724ht9u3luvku2ytnrze, 5es3kc7x38rotmzzcs46kb3hm, 9mq9unf2aecualxxm9gvnppl, 2cp4j91pqwjvy7as74ckhc4wl, ewogcy2itdu7e8vujgkitc0h6, 56n1erg5gb7fq7ab8hz42bug9, 2avvvwtcdl6hmzxei5qhjo4ph, 50ph0tkxvrb3syo76y5bjbcut, a27580ah1idvwqjbscx0l4x78, 1nyb823fkrzfuu4wczhgog7ah, dsm8r3i2k45d7vlqkmzaog9w4, dhmjb5r24tlk47urk93o5kj1m, 1fcucvr07kupgc9ivux6cf76c, 50k8dmb17hvqbq37ae3p90aju",3932323811,194,2cp4j91pqwjvy7as74ckhc4wl,3932323807,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779221,2,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-12-03T13:30:15.281Z,2022-12-03T13:30:16Z,3932431739,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779225,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-12-03T13:30:15.281Z,2022-12-03T13:30:18Z,3932431757,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779247,3,1,1,0,0,9s9jvki6htleffykj88qcpwpy,1,50,50,2022-12-03T13:30:15.381Z,2022-12-03T13:31:42Z,3932431883,279,S,3932431873,56,Back,3932431879,212,8.4,3932431875,140,42.0,3932431881,213,3.1,3932431877,141,49.9,,,,,,,5orsug2d4b7zzjat6eh9ks2qd,C. Bornes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779289,4,1,1,0,3,9s9jvki6htleffykj88qcpwpy,1,42,49.9,2022-12-03T13:30:19.126Z,2022-12-03T13:30:22Z,3932432129,141,77.9,3932432135,212,30.8,3932432123,140,65.1,3932432111,155,,3932432137,213,0.7,3932432117,56,Center,,,,,,,2cp4j91pqwjvy7as74ckhc4wl,L. Cance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779323,5,1,1,0,7,9s9jvki6htleffykj88qcpwpy,1,60.9,70.2,2022-12-03T13:30:22.775Z,2022-12-03T13:30:26Z,3932432339,140,50.5,3932432337,56,Center,3932432343,212,17.6,3932432341,141,49.9,3932432345,213,4.0,,,,,,,,,,2avvvwtcdl6hmzxei5qhjo4ph,S. Barbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779341,6,1,1,0,11,9s9jvki6htleffykj88qcpwpy,1,53.1,52.4,2022-12-03T13:30:26.853Z,2022-12-03T13:30:28Z,3932432445,213,2.6,3932432441,141,73.3,3932432443,212,25.5,3932432437,56,Back,3932432439,140,32.9,,,,,,,,,,9rab5estxnvvhj8evql7j68rt,O. Saunier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779365,7,1,1,0,13,9s9jvki6htleffykj88qcpwpy,1,33.8,64.8,2022-12-03T13:30:28.742Z,2022-12-03T13:30:31Z,3932432583,140,27.4,3932432581,56,Back,3932432595,213,4.3,3932432591,212,16.5,3932432587,141,42.7,,,,,,,,,,5es3kc7x38rotmzzcs46kb3hm,É. Sévenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779395,8,1,1,0,16,9s9jvki6htleffykj88qcpwpy,1,30,31.5,2022-12-03T13:30:31.333Z,2022-12-03T13:30:34Z,3932432703,56,Back,3932432709,212,16.6,3932432705,140,45.3,3932432711,213,6.0,3932432707,141,25.3,,,,,,,,,,8ra0s724ht9u3luvku2ytnrze,F. Bogi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
