id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2473791797,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-10-18T10:50:44.326Z,2022-10-18T12:38:33Z,3853562799,30,"dtl2shnzdg739pkag6fplb42y, 1fcucvr07kupgc9ivux6cf76c, 5orsug2d4b7zzjat6eh9ks2qd, 5es3kc7x38rotmzzcs46kb3hm, 8ra0s724ht9u3luvku2ytnrze, dhmjb5r24tlk47urk93o5kj1m, 2avvvwtcdl6hmzxei5qhjo4ph, 9rab5estxnvvhj8evql7j68rt, 56n1erg5gb7fq7ab8hz42bug9, dsm8r3i2k45d7vlqkmzaog9w4, 2cp4j91pqwjvy7as74ckhc4wl, a27580ah1idvwqjbscx0l4x78, 8q7yvvg7c3uth4j25m162qq5l, ewogcy2itdu7e8vujgkitc0h6, b0a55g6cu6u3fl9vbuvynx05, 6xu7shoi00qiogo7akqo1xsrt, 9mq9unf2aecualxxm9gvnppl, 50k8dmb17hvqbq37ae3p90aju",3853562813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3853562801,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3853562805,130,10,3853562809,194,2cp4j91pqwjvy7as74ckhc4wl,3853562807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3853562803,59,"30, 18, 23, 4, 14, 13, 24, 15, 8, 7, 10, 1, 6, 9, 12, 21, 22, 26",3853562811,197,14734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473801067,1,34,16,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2022-10-18T11:12:03.691Z,2022-10-18T11:31:56Z,3853603963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3853603967,197,8452,3853603969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3853603965,194,3taxlkn9lb7otwvgbx9gyo82x,3853603961,130,2,3853603959,59,"1, 20, 7, 2, 29, 25, 27, 18, 13, 8, 21, 4, 9, 12, 15, 16, 19, 22",3853603955,30,"7ei82jx0voz3m7g64d9ewmggl, 552lzdgzrbb27bech7ow3v9hx, ejzz3wi6gxujl6idun7k9wmvp, arw9e50in9zw8e9eoul9x8rje, 9k44thez31exd8pbq7i5wdbs9, 3taxlkn9lb7otwvgbx9gyo82x, 996uvthtn0ho4doic5mcty6z9, 11249ix42zyb89ipxrymbb2tw, 1jlc387u7fdpnnus9nlsb179w, 3o1we6pb4axflmhkn1r0b01xx, 8lqbmqjrc7ikjm0me2fsdej11, cf88cbpwlbfw6ampeklh3kcbu, 8ls23zdsn7vn3bsx8o3gzwrh0, 7mehuya25b282lf1aqllzc3px, ctcrlz7c9s8wibhvt47dy6hw4, 6lv8fv1zdz9wt9l485nmz9otl, et3yygjf96h7sgd43lb5t1yj8, 63atfboq056luh7gzplxooyui",3853603957,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473803093,2,32,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2022-10-18T11:16:50.205Z,2022-10-18T11:16:50Z,3853612129,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473803097,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-10-18T11:16:50.205Z,2022-10-18T11:16:52Z,3853612135,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473803125,3,1,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,50,50,2022-10-18T11:16:50.305Z,2022-10-18T11:16:53Z,3853612227,279,S,3853612223,212,13.7,3853612217,56,Back,3853612221,141,52.8,3853612225,213,3.0,3853612219,140,37.1,,,,,,,996uvthtn0ho4doic5mcty6z9,B. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473803163,4,1,1,0,2,97jxqfbi28yoeedjbbw5xqhyi,1,37.1,53.1,2022-10-18T11:16:52.964Z,2022-10-18T11:16:57Z,3853612365,141,3.4,3853612361,56,Back,3853612369,213,4.5,3853612367,212,34.9,3853612363,140,28.8,3853612371,1,,3853612359,155,,,,,11249ix42zyb89ipxrymbb2tw,L. Baga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473803179,5,1,1,0,7,97jxqfbi28yoeedjbbw5xqhyi,0,36.6,2.8,2022-10-18T11:16:57.717Z,2022-10-18T11:16:58Z,3853612429,213,0.3,3853612421,56,Right,3853612425,141,13.8,3853612419,155,,3853612423,140,59.8,3853612427,212,25.5,,,,,,,552lzdgzrbb27bech7ow3v9hx,C. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473803215,3,1,1,0,9,9s9jvki6htleffykj88qcpwpy,1,29.5,78.4,2022-10-18T11:17:00.185Z,2022-10-18T11:17:01Z,3853612547,56,Back,3853612549,140,40.1,3853612545,3,,3853612555,213,0.3,3853612551,141,84.2,3853612553,212,11.8,,,,,,,9rab5estxnvvhj8evql7j68rt,O. Saunier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473803219,4,49,1,0,11,9s9jvki6htleffykj88qcpwpy,1,39.3,80.9,2022-10-18T11:17:01.779Z,2022-10-18T11:17:02Z,,,,,,,,,,,,,,,,,,,,,,,,,2cp4j91pqwjvy7as74ckhc4wl,L. Cance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473803267,5,1,1,0,12,9s9jvki6htleffykj88qcpwpy,1,39.6,80.3,2022-10-18T11:17:02.486Z,2022-10-18T11:17:05Z,3853612783,213,2.7,3853612777,140,23.3,3853612779,141,91.7,3853612781,212,18.8,3853612775,56,Back,,,,,,,,,,2cp4j91pqwjvy7as74ckhc4wl,L. Cance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
