id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/16/value
2480240295,1,34,16,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-11-01T10:18:46.791Z,2022-11-01T12:31:25Z,3887709617,197,8444,3887709607,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3887709615,194,eblfqwhpxhw6775m134ov2e0a,3887709611,130,4,3887709605,30,"dwjgtp47ky7v5as2a2jradihh, 6rcnj96do9ermnza1covi9ujt, 5kg2obqjcypb3d2yt4d4xoo2x, 7h91cdyjl0cpxj5lpzdsto3it, eblfqwhpxhw6775m134ov2e0a, 2mo6msido3zv2vk24hed9rs9h, cjgr7t23bk1l43hegrkmtslih, 5x0qvm5o4qbijkh8r8vs2ys45, 88n7oswbclrfxt277vp6vpgd0, ah7sbrjt4lz1t4zww2l4sf1ex, 2pd1juglwcvhspyva4soomyy2, 9214qm6nuq4zwnnvzmugrfutx, eihtktc0tfia1tsqydg7pvil1, 664ior41q0qf71vnhq0tp1j9x, bly2raemyl0xp39jiktm4u5sl, ik5uqc55sdiwjjzh28c21byt, 87fq93e9x1yy4thmeituciycq, 79u53wc88br80qmqpdumqlct0",3887709619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887709609,59,"16, 18, 14, 8, 29, 27, 22, 10, 9, 20, 19, 1, 2, 3, 6, 7, 23, 26",3887709613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480248597,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-11-01T10:49:22.926Z,2022-11-01T10:49:23Z,3887741699,59,"30, 18, 23, 4, 14, 13, 24, 15, 8, 7, 10, 1, 20, 9, 21, 22, 26",3887741709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887741697,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3887741701,130,10,3887741705,194,2cp4j91pqwjvy7as74ckhc4wl,3887741695,30,"dtl2shnzdg739pkag6fplb42y, 1fcucvr07kupgc9ivux6cf76c, 5orsug2d4b7zzjat6eh9ks2qd, 5es3kc7x38rotmzzcs46kb3hm, 8ra0s724ht9u3luvku2ytnrze, dhmjb5r24tlk47urk93o5kj1m, 2avvvwtcdl6hmzxei5qhjo4ph, 9rab5estxnvvhj8evql7j68rt, 56n1erg5gb7fq7ab8hz42bug9, dsm8r3i2k45d7vlqkmzaog9w4, 2cp4j91pqwjvy7as74ckhc4wl, a27580ah1idvwqjbscx0l4x78, 1nyb823fkrzfuu4wczhgog7ah, ewogcy2itdu7e8vujgkitc0h6, 6xu7shoi00qiogo7akqo1xsrt, 9mq9unf2aecualxxm9gvnppl, 50k8dmb17hvqbq37ae3p90aju",3887741707,197,17016,3887741703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480249407,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-11-01T10:53:52.401Z,2022-11-01T10:53:52Z,3887745433,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480249409,2,32,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-11-01T10:53:52.401Z,2022-11-01T10:53:54Z,3887745437,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480249417,3,79,1,0,3,9s9jvki6htleffykj88qcpwpy,0,0,0,2022-11-01T10:53:55.420Z,2022-11-01T10:53:55Z,3887745465,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480249441,4,79,1,0,13,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-11-01T10:54:05.823Z,2022-11-01T10:54:05Z,3887745577,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480262787,448,1,1,0,16,2gmv49xieg3zee2hx0lhcp17u,1,50.1,50.3,2022-11-01T10:54:08.401Z,2022-11-01T12:01:45Z,3887811981,279,S,3887811773,140,40.9,3887811779,213,3.7,3887811849,189,,3887811771,56,Back,3887811775,141,42.3,3887811777,212,11.1,,,,88n7oswbclrfxt277vp6vpgd0,Kelsey Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480249465,5,43,1,0,16,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-11-01T10:54:09.280Z,2022-11-01T12:01:01Z,3887745673,141,55.1,3887745811,189,0,3887745669,56,Back,3887747085,279,S,3887745677,213,2.9,3887745675,212,13.6,3887745671,140,37.6,3887811663,144,1,56n1erg5gb7fq7ab8hz42bug9,A. Lamontagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480249471,6,43,1,0,19,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-11-01T10:54:12.223Z,2022-11-01T12:01:50Z,3887745713,140,57.7,3887812213,144,1,3887745711,56,Center,3887745715,141,65.4,3887745717,212,24.1,3887745719,213,0.4,3887745745,189,0,,,,9rab5estxnvvhj8evql7j68rt,O. Saunier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480249483,3,1,1,0,21,2gmv49xieg3zee2hx0lhcp17u,1,40.1,39.7,2022-11-01T10:54:13.899Z,2022-11-01T10:54:15Z,3887745769,140,38.6,3887745773,212,9.4,3887745775,213,1.7,3887745771,141,53.4,3887745767,56,Back,,,,,,,,,,5x0qvm5o4qbijkh8r8vs2ys45,E. Sumo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
