id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,qualifier/13/value
2526344039,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-04-01T10:42:50.439Z,2023-04-01T12:09:29Z,4151559989,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151559979,59,"1, 4, 25, 21, 5, 6, 10, 8, 14, 7, 11, 3, 9, 13, 16, 17, 22, 24",4151559981,130,4,4151559977,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4151559987,197,12664,4151559983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151559985,194,7lqdu42zczlrnowx70hu12sb9,4151559975,30,"dfcxvz3flh0w54vhso9xpk1d5, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, 8jc8ndxlodfrhxxao3k1fknbo, f3thho84or4rhnubxrhit9zhl, eko9p1p9gjg7gxjla6chb6i95, 792nmu21pzzd6eak34jk1qlwq, 7lqdu42zczlrnowx70hu12sb9, epgsg9k2x61xgkksj1kzdum6t, 9k4n3testzamjmqoda5g4k3x1, 7ouo3qztrs5lytmtji95oesph, eaxf4zra7v3sknq7wrdlk7g0l, dz7lkt8gh069vrkmoflcm0fkl, 3yjqr9srzz3p1xjgdgckqvtre, cc9j8gbv04g55nbv83rgckf84, desenv3bwtw96iiwqb1gnvth, 4x3fxr67fofstbqjpkoxra7rp, jzfnrsd8aixhycspwias4tii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526345475,1,34,16,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-04-01T10:47:21.672Z,2023-04-01T11:57:57Z,4151567777,30,"7ei82jx0voz3m7g64d9ewmggl, 9k44thez31exd8pbq7i5wdbs9, 7mehuya25b282lf1aqllzc3px, akldj20vfqfopuvurujsgtsd1, 3taxlkn9lb7otwvgbx9gyo82x, cf88cbpwlbfw6ampeklh3kcbu, 996uvthtn0ho4doic5mcty6z9, 8lqbmqjrc7ikjm0me2fsdej11, 1jlc387u7fdpnnus9nlsb179w, 3o1we6pb4axflmhkn1r0b01xx, 8ls23zdsn7vn3bsx8o3gzwrh0, 7g2yfrxvbhrvf8wgdkyu989ud, arw9e50in9zw8e9eoul9x8rje, ejzz3wi6gxujl6idun7k9wmvp, aeflx5i3gxg18wch6cjj7nw9g, et3yygjf96h7sgd43lb5t1yj8, 7drwwysuo9wwjrun0u3gp8r85, 2zxnm6bkhkjolx1esz593wk45",4151567787,194,akldj20vfqfopuvurujsgtsd1,4151567781,59,"1, 29, 12, 10, 25, 4, 27, 21, 13, 8, 9, 11, 2, 7, 6, 19, 26, 30",4151567791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151567779,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4151567789,197,13554,4151567785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151567783,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526376911,2,43,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-04-01T11:44:38Z,2023-04-01T11:44:52Z,4151721085,144,32,4151720153,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526376903,2,43,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-04-01T11:44:38.265Z,2023-04-01T11:44:51Z,4151720997,144,32,4151720121,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526376941,3,43,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-04-01T11:44:38.365Z,2023-04-01T11:44:45Z,4151720279,212,0,4151720277,141,50.1,4151720281,213,3.1,4151720657,144,1,4151720275,140,50.2,4151720273,56,Center,4151720283,279,S,,,,3o1we6pb4axflmhkn1r0b01xx,E. Kamczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526378295,3,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-04-01T11:46:28.021Z,2023-04-01T11:46:28Z,4151726983,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526378303,4,32,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-04-01T11:46:28.021Z,2023-04-01T11:46:30Z,4151727025,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526378333,5,1,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,50.6,50.1,2023-04-01T11:46:28.121Z,2023-04-01T12:19:38Z,4151727193,212,10.8,4151727195,213,3.1,4151727183,56,Back,4151727191,141,50.1,4151727197,279,S,4151727187,140,40.3,,,,,,,3o1we6pb4axflmhkn1r0b01xx,E. Kamczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526378415,6,1,1,0,3,97jxqfbi28yoeedjbbw5xqhyi,1,36.9,52.1,2023-04-01T11:46:31.565Z,2023-04-01T11:46:34Z,4151727535,56,Back,4151727541,212,22.2,4151727537,140,27.8,4151727543,213,4.3,4151727539,141,22.7,,,,,,,,,,8lqbmqjrc7ikjm0me2fsdej11,M. Dafeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526378475,7,1,1,0,6,97jxqfbi28yoeedjbbw5xqhyi,1,27.7,22.8,2023-04-01T11:46:34.820Z,2023-04-01T11:46:38Z,4151727821,140,26.1,4151727825,212,26.0,4151727823,141,60.9,4151727827,213,1.6,4151727817,56,Back,,,,,,,,,,3taxlkn9lb7otwvgbx9gyo82x,J. Piga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
