id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2481368805,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-11-04T19:13:39.518Z,2022-11-04T19:59:59Z,3893605685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893605673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3893605683,197,8449,3893605675,59,"16, 23, 26, 6, 3, 5, 14, 10, 11, 12, 29, 1, 9, 13, 15, 19, 21, 25",3893605677,130,3,3893605679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3893605671,30,"3eb2tx4nx4etwvuo3bnnl3lk9, b0badx1gx15s9wo6ly8z1rl61, cz9o6yad9c8s2potdvqau5slw, 80dr0hzhre13aaavd0r4udpl, 5mcszf3yuxwxcggl8ds2v1a7d, elbn5tbmbvbk8x7oxl2maia6s, 84qomd74wlfrd9lpost35p4wk, 9gugnyggxqnc9fijivw8fvq39, bc1b4tkrsx8xsdqtoj198tg16, 4y78x1atris45m06oqr7axbzd, 9mo419gtk6dy5lhcvatcllkyy, alr6k5xokhqe1xi6a5kdyj7x1, en70ces933pdy4dbgq0lgjhsl, 1ekzotehyunn1wrvfrwckrr4k, aqmo5o52e5mhbbzgdquivsm50, ae68tqogc2yplitpd1yixky22, c03fkophg1op7oov8hj7egx78, 38jzj5l4s56u8pbiutq2qa7f8",3893605681,194,b0badx1gx15s9wo6ly8z1rl61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481369907,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-11-04T19:15:03.928Z,2022-11-04T20:00:10Z,3893611303,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3893611305,59,"16, 7, 27, 17, 10, 19, 22, 18, 9, 11, 28, 1, 2, 15, 20, 24, 25, 31",3893611307,130,4,3893611311,194,1ck8f8510t6ei80haqe2vqbpx,3893611315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893611313,197,13251,3893611309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3893611301,30,"2f1e295qn6s9l5d6v1degrizt, 94pv0j29t5jrfdc36o6791wp, dx5okwmzef2p09vgp02i1ucph, 1ck8f8510t6ei80haqe2vqbpx, 8iblvy7aw7kdghvke6s5gisid, 1mhjq24kq1fapaoib7lzb6b4l, 7l931hwm1tajvf6r717biyw2d, 7ak0q2t9ex8rcov81012amuad, 2n3sv3vt7ano86i5j9j3f8a95, 3uxijnhp1ibbqm6e4lfivq8k5, cg4yqx0lth6d27oxlgwcuvdn9, 8yebzwn5wynngu33kqcsh1fbp, byu5qg9zlu5w1e234xl2058iy, aos03ja9xr5jr2w3e6t20p94a, 9qidpdp5vlw8ma2z9synky6ms, 1ph6w6q8t75mov5fnnc8hda8k, afbretep8sws6f9hrnpghk416, 2q1tt2u2h3q1hb3uz28rofzmc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402015,2,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-11-04T20:00:45.005Z,2022-11-04T20:00:45Z,3893784577,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402031,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-11-04T20:00:45.005Z,2022-11-04T20:00:46Z,3893784659,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402045,3,1,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,49.7,50.3,2022-11-04T20:00:45.105Z,2022-11-04T20:02:35Z,3893784749,213,1.6,3893784741,56,Back,3893784743,140,49.6,3893784745,141,55.4,3893784747,212,3.5,3893784751,279,S,,,,,,,2n3sv3vt7ano86i5j9j3f8a95,M. Bourdieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402071,4,1,1,0,3,bdfjkux9o0vtsdig5zsbhtysq,1,49.6,55.4,2022-11-04T20:00:48.273Z,2022-11-04T20:02:32Z,3893784847,56,Back,3893784849,140,38.5,3893784851,141,11.4,3893784855,213,4.3,3893784853,212,32.1,3893784857,1,,,,,,,,1ck8f8510t6ei80haqe2vqbpx,G. Thiney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402121,5,1,1,0,4,bdfjkux9o0vtsdig5zsbhtysq,1,38.5,11.4,2022-11-04T20:00:49.993Z,2022-11-04T20:00:54Z,3893785059,56,Back,3893785067,141,32.8,3893785063,140,30.9,3893785073,213,2.1,3893785069,212,16.6,,,,,,,,,,94pv0j29t5jrfdc36o6791wp,T. Laplacette,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402141,6,1,1,0,9,bdfjkux9o0vtsdig5zsbhtysq,1,26.6,31.3,2022-11-04T20:00:54.112Z,2022-11-04T20:00:56Z,3893785227,212,25.3,3893785223,140,10.7,3893785225,141,59.3,3893785217,56,Back,3893785229,213,2.3,,,,,,,,,,8iblvy7aw7kdghvke6s5gisid,A. Butel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402165,7,1,1,0,11,bdfjkux9o0vtsdig5zsbhtysq,1,10.7,59.3,2022-11-04T20:00:56.353Z,2022-11-04T20:01:00Z,3893785351,140,28.6,3893785355,212,28.4,3893785353,141,90.6,3893785357,213,0.8,3893785347,56,Back,3893785343,155,,,,,,,,2f1e295qn6s9l5d6v1degrizt,C. Nnadozie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402187,8,1,1,0,15,bdfjkux9o0vtsdig5zsbhtysq,1,28.6,90.6,2022-11-04T20:01:00.064Z,2022-11-04T20:01:02Z,3893785481,141,95.6,3893785479,140,44.9,3893785477,56,Back,3893785475,3,,3893785483,212,17.4,3893785485,213,0.2,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
