id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2486892453,1,34,16,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-11-20T12:23:52.150Z,2022-11-20T13:03:20Z,3922456499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3922456487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3922456485,30,"77eg5tabeeeyays2pilyq5jo5, ehmzgi988h8g6rgekp3qivkr9, 7add1fkvvxb1v573fobgh1ryt, dl1znxod6ohbi1zwq4iiu4qfp, dz2s92nqmnrw691jia8e6phw5, 7eq281s0sa083qvx8tfwp7pat, 1j5u2majmm2vnsgxscl9kjzyt, eihksc6tdooqw7ref4nt520a, dp5zny5ls8ys3ml75himru4et, dm9vc2mqtbb982sx6kkd992ax, c7yhj2xdx8l773wfswykl9hat, 6epceurq8iss0r3wkr93jyfah, 53okfybfibe34k6hm6qzm9591, e7y7c4srymaidxozrurjct71l, aeflx5i3gxg18wch6cjj7nw9g, 7oxif0j9hg9lpvrmqj8ocdnmd, 25b3sxqo1ujqqc2pef3iwqnoq, 1ps0l5kcm7pfv34szf08j9h7u",3922456493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3922456491,130,4,3922456489,59,"50, 12, 7, 24, 13, 19, 8, 6, 11, 21, 10, 2, 14, 16, 25, 26, 28, 29",3922456497,197,17069,3922456495,194,dp5zny5ls8ys3ml75himru4et,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486892757,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-11-20T12:25:13.257Z,2022-11-20T13:10:55Z,3922458245,197,8449,3922458247,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3922458241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3922458233,30,"alr6k5xokhqe1xi6a5kdyj7x1, ae68tqogc2yplitpd1yixky22, cz9o6yad9c8s2potdvqau5slw, b0badx1gx15s9wo6ly8z1rl61, elbn5tbmbvbk8x7oxl2maia6s, 5mcszf3yuxwxcggl8ds2v1a7d, 4y78x1atris45m06oqr7axbzd, aqmo5o52e5mhbbzgdquivsm50, bc1b4tkrsx8xsdqtoj198tg16, 9gugnyggxqnc9fijivw8fvq39, 9mo419gtk6dy5lhcvatcllkyy, en70ces933pdy4dbgq0lgjhsl, 1ekzotehyunn1wrvfrwckrr4k, 84qomd74wlfrd9lpost35p4wk, bgywqsemj5lsfro2hc77q532t, c03fkophg1op7oov8hj7egx78, 38jzj5l4s56u8pbiutq2qa7f8, 1bycdhtwwynyhmqgwvvmgns44",3922458243,194,b0badx1gx15s9wo6ly8z1rl61,3922458239,130,7,3922458237,59,"1, 19, 26, 23, 5, 3, 12, 15, 11, 10, 29, 9, 13, 14, 17, 21, 25, 30",3922458235,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486900139,2,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-11-20T13:00:51.775Z,2022-11-20T13:00:53Z,3922499447,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486900131,3,32,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-11-20T13:00:51.775Z,2022-11-20T13:00:51Z,3922499439,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486900171,4,1,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,49.9,50.3,2022-11-20T13:00:51.875Z,2022-11-20T13:00:55Z,3922499583,141,57.9,3922499579,56,Back,3922499589,279,S,3922499585,212,14.5,3922499587,213,2.8,3922499581,140,37.0,,,,,,,dp5zny5ls8ys3ml75himru4et,K. Diani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486900175,5,1,1,0,3,ad9ip2f3tijbv4nqaayyqqkee,1,37.2,63.7,2022-11-20T13:00:55.679Z,2022-11-20T13:01:12Z,3922499599,140,36.3,3922499597,56,Back,3922499603,212,15.3,3922499601,141,86.2,3922499605,213,1.6,,,,,,,,,,dl1znxod6ohbi1zwq4iiu4qfp,J. Groenen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486900183,6,1,1,0,4,ad9ip2f3tijbv4nqaayyqqkee,1,37.6,90.5,2022-11-20T13:00:56.506Z,2022-11-20T13:00:58Z,3922499651,212,21.6,3922499649,141,81.7,3922499653,213,6.0,3922499647,140,57.4,3922499645,56,Left,,,,,,,,,,7add1fkvvxb1v573fobgh1ryt,S. Karchaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486900193,7,1,1,0,6,ad9ip2f3tijbv4nqaayyqqkee,1,55.8,83,2022-11-20T13:00:57.934Z,2022-11-20T13:01:00Z,3922499717,56,Center,3922499721,141,73.2,3922499725,213,4.5,3922499723,212,6.8,3922499719,140,54.4,,,,,,,,,,c7yhj2xdx8l773wfswykl9hat,R. Bachmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486900195,8,50,1,0,7,ad9ip2f3tijbv4nqaayyqqkee,1,58.8,63.3,2022-11-20T13:00:59.729Z,2022-11-20T13:01:01Z,3922499763,233,3,3922499733,286,,3922499731,56,Center,,,,,,,,,,,,,,,,dl1znxod6ohbi1zwq4iiu4qfp,J. Groenen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486900197,3,7,1,0,7,114h4h9ekimxmk95iypp478kk,0,41.2,36.7,2022-11-20T13:00:59.730Z,2022-11-20T13:01:01Z,3922499741,285,,3922499759,233,8,3922499739,56,Back,,,,,,,,,,,,,,,,9gugnyggxqnc9fijivw8fvq39,M. Garbino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486900201,4,1,1,0,9,114h4h9ekimxmk95iypp478kk,0,38.4,42.4,2022-11-20T13:01:01.097Z,2022-11-20T13:01:01Z,3922499775,213,3.3,3922499771,141,40.6,3922499769,140,32.5,3922499773,212,6.3,3922499767,56,Back,,,,,,,,,,9gugnyggxqnc9fijivw8fvq39,M. Garbino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
