id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,qualifier/14/value,assist
2466306859,1,34,16,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-10-02T09:55:52.770Z,2022-10-02T10:52:20Z,3813696919,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3813696913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3813696905,30,"dwjgtp47ky7v5as2a2jradihh, 6rcnj96do9ermnza1covi9ujt, 5kg2obqjcypb3d2yt4d4xoo2x, 664ior41q0qf71vnhq0tp1j9x, 2mo6msido3zv2vk24hed9rs9h, eblfqwhpxhw6775m134ov2e0a, 7h91cdyjl0cpxj5lpzdsto3it, 5x0qvm5o4qbijkh8r8vs2ys45, ah7sbrjt4lz1t4zww2l4sf1ex, 2pd1juglwcvhspyva4soomyy2, cjgr7t23bk1l43hegrkmtslih, 9214qm6nuq4zwnnvzmugrfutx, eihtktc0tfia1tsqydg7pvil1, bly2raemyl0xp39jiktm4u5sl, ik5uqc55sdiwjjzh28c21byt, 88n7oswbclrfxt277vp6vpgd0, 30w3iibq6nd3ocidgfkdqv190, bdy7qt72his7vubbamqgultec",3813696907,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3813696911,130,10,3813696915,194,eblfqwhpxhw6775m134ov2e0a,3813696917,197,9552,3813696909,59,"16, 18, 14, 3, 27, 29, 8, 10, 20, 19, 22, 1, 2, 6, 7, 9, 15, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466307157,1,34,16,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-10-02T09:57:32.481Z,2022-10-02T10:46:44Z,3813698195,59,"50, 26, 19, 6, 13, 5, 18, 24, 10, 11, 21, 1, 8, 17, 22, 23, 28",3813698197,130,4,3813698201,194,dp5zny5ls8ys3ml75himru4et,3813698203,197,17069,3813698199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3813698205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3813698193,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",3813698191,30,"77eg5tabeeeyays2pilyq5jo5, 7oxif0j9hg9lpvrmqj8ocdnmd, 7eq281s0sa083qvx8tfwp7pat, eihksc6tdooqw7ref4nt520a, dz2s92nqmnrw691jia8e6phw5, d7ajth6q3ebg8yrf65uqc8xrd, 1s08dn7n3b5ctyion3u61hisq, dl1znxod6ohbi1zwq4iiu4qfp, c7yhj2xdx8l773wfswykl9hat, dp5zny5ls8ys3ml75himru4et, dm9vc2mqtbb982sx6kkd992ax, 88k3tmpcg5ov13cd8b9rxyggl, 1j5u2majmm2vnsgxscl9kjzyt, 1gnms5n3jetky1njccmauh785, ayu3raszdeuo9vif7i2nfl7md, 1cboloxf323a7iw605eq4yjth, 25b3sxqo1ujqqc2pef3iwqnoq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466328299,2,43,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-10-02T10:43:54.566Z,2022-10-02T10:44:08Z,3813799697,144,32,3813798957,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466328477,2,32,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-10-02T10:44:10.195Z,2022-10-02T10:44:11Z,3813799835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466328471,3,32,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-10-02T10:44:10.195Z,2022-10-02T10:44:10Z,3813799821,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466328515,4,1,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,50.4,50.3,2022-10-02T10:44:10.295Z,2022-10-02T10:44:13Z,3813800051,279,S,3813800041,56,Back,3813800043,140,38.2,3813800047,212,13.2,3813800049,213,2.9,3813800045,141,55.1,,,,,,,c7yhj2xdx8l773wfswykl9hat,R. Bachmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466328539,5,1,1,0,3,ad9ip2f3tijbv4nqaayyqqkee,1,45,51.2,2022-10-02T10:44:13.563Z,2022-10-02T10:44:15Z,3813800165,140,69.8,3813800167,141,20.7,3813800171,213,5.6,3813800173,1,,3813800169,212,33.3,3813800163,56,Right,3813800161,155,,,,,eihksc6tdooqw7ref4nt520a,O. Jean-François,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466328543,6,1,1,0,5,ad9ip2f3tijbv4nqaayyqqkee,0,69.8,20.7,2022-10-02T10:44:15.451Z,2022-10-02T10:44:16Z,3813800201,213,0.7,3813800195,140,77.6,3813800197,141,31.9,3813800193,56,Center,3813800191,155,,3813800199,212,11.2,,,,,,,dp5zny5ls8ys3ml75himru4et,K. Diani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466328699,3,12,1,0,8,2gmv49xieg3zee2hx0lhcp17u,1,23.3,67.3,2022-10-02T10:44:19.129Z,2022-10-02T10:44:28Z,3813801021,140,26.3,3813801027,212,11.5,3813801015,56,Back,3813801025,141,83.5,3813801029,213,1.3,,,,,,,,,,eblfqwhpxhw6775m134ov2e0a,D. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466328601,7,1,1,0,8,ad9ip2f3tijbv4nqaayyqqkee,0,71,13.8,2022-10-02T10:44:19.148Z,2022-10-02T10:44:45Z,3813800559,141,15.5,3813800555,56,Right,3813800557,140,89.1,3813800553,3,,3813800563,213,0.1,3813800561,212,19.0,,,,,,,7oxif0j9hg9lpvrmqj8ocdnmd,Li Mengwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
