id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist
2503601155,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2023-02-04T11:59:19.024Z,2023-02-04T12:42:42Z,4010606129,30,"2f1e295qn6s9l5d6v1degrizt, dx5okwmzef2p09vgp02i1ucph, ehchjemv9fwcnwomosua92qqd, 7d4y77nkrn4w4dht1c4vr28yx, 8iblvy7aw7kdghvke6s5gisid, 1mhjq24kq1fapaoib7lzb6b4l, 3uxijnhp1ibbqm6e4lfivq8k5, 7l931hwm1tajvf6r717biyw2d, 2n3sv3vt7ano86i5j9j3f8a95, 1ck8f8510t6ei80haqe2vqbpx, cg4yqx0lth6d27oxlgwcuvdn9, 8yebzwn5wynngu33kqcsh1fbp, byu5qg9zlu5w1e234xl2058iy, 94pv0j29t5jrfdc36o6791wp, aos03ja9xr5jr2w3e6t20p94a, 1rsg1y7lx0ruqcwgj6c6oovdh, 1ph6w6q8t75mov5fnnc8hda8k, 2q1tt2u2h3q1hb3uz28rofzmc",4010606143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010606133,59,"16, 27, 23, 8, 10, 19, 11, 22, 9, 17, 28, 1, 2, 7, 15, 21, 24, 31",4010606139,194,1ck8f8510t6ei80haqe2vqbpx,4010606135,130,8,4010606131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4010606137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4010606141,197,13251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503602035,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-02-04T12:01:36.187Z,2023-02-04T12:49:39Z,4010610469,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4010610477,194,7lqdu42zczlrnowx70hu12sb9,4010610467,30,"dfcxvz3flh0w54vhso9xpk1d5, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, eko9p1p9gjg7gxjla6chb6i95, f3thho84or4rhnubxrhit9zhl, 8jc8ndxlodfrhxxao3k1fknbo, 9k4n3testzamjmqoda5g4k3x1, desenv3bwtw96iiwqb1gnvth, 792nmu21pzzd6eak34jk1qlwq, 7lqdu42zczlrnowx70hu12sb9, 3ck9n7pb3d1dc8qcdgkxm5m, eaxf4zra7v3sknq7wrdlk7g0l, dz7lkt8gh069vrkmoflcm0fkl, 7ouo3qztrs5lytmtji95oesph, 3yjqr9srzz3p1xjgdgckqvtre, cc9j8gbv04g55nbv83rgckf84, 4x3fxr67fofstbqjpkoxra7rp, jzfnrsd8aixhycspwias4tii",4010610475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4010610481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4010610479,197,12664,4010610471,59,"1, 4, 25, 6, 5, 21, 7, 17, 10, 8, 23, 3, 9, 11, 13, 16, 22, 24",4010610473,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503633551,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2023-02-04T12:46:34.594Z,2023-02-04T12:46:34Z,4010764693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503633563,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-02-04T12:46:34.594Z,2023-02-04T12:46:36Z,4010764719,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503633589,3,1,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,50.1,50.3,2023-02-04T12:46:34.694Z,2023-02-04T12:57:49Z,4010764863,213,4.1,4010764861,212,2.5,4010764865,279,S,4010764857,140,48.8,4010764859,141,47.2,4010764855,56,Back,,,,,,,7l931hwm1tajvf6r717biyw2d,S. Vaysse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503633619,4,1,1,0,1,bdfjkux9o0vtsdig5zsbhtysq,1,48.8,47.2,2023-02-04T12:46:36.361Z,2023-02-04T12:46:38Z,4010765023,141,50.7,4010765019,56,Back,4010765027,213,2.7,4010765025,212,6.1,4010765021,140,43.5,,,,,,,,,,2n3sv3vt7ano86i5j9j3f8a95,M. Bourdieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503633681,5,1,1,0,4,bdfjkux9o0vtsdig5zsbhtysq,0,43.5,50.7,2023-02-04T12:46:38.805Z,2023-02-04T12:46:43Z,4010765321,157,,4010765329,212,55.0,4010765325,140,91.2,4010765327,141,17.3,4010765333,1,,4010765331,213,5.9,4010765323,56,Right,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503633689,3,12,1,0,8,axvm5zg0mk4bp06wpec9vw27e,1,4.2,82.6,2023-02-04T12:46:42.766Z,2023-02-04T12:46:44Z,4010765371,141,100.0,4010765375,213,1.4,4010765413,167,,4010765367,56,Back,4010765373,212,13.4,4010765369,140,6.7,,,,,,,e5b9w1hq610saxvevecb6zzl5,Morgane Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503633695,4,5,1,0,8,axvm5zg0mk4bp06wpec9vw27e,0,7.4,102,2023-02-04T12:46:43.452Z,2023-02-04T12:46:46Z,4010765559,233,6,4010765391,347,,4010765389,56,Back,,,,,,,,,,,,,,,,e5b9w1hq610saxvevecb6zzl5,Morgane Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503633725,6,5,1,0,8,bdfjkux9o0vtsdig5zsbhtysq,1,92.6,-2,2023-02-04T12:46:43.452Z,2023-02-04T13:21:36Z,4010765533,347,,4010765531,56,Right,4010765551,233,4,,,,,,,,,,,,,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
