id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2483512025,1,34,16,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-11-09T06:40:48.307Z,2022-11-09T06:40:48Z,3904824179,197,8444,3904824171,59,"16, 20, 14, 2, 29, 18, 10, 8, 23, 22, 9, 1, 3, 7, 19, 21, 26, 31",3904824175,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3904824177,194,eblfqwhpxhw6775m134ov2e0a,3904824173,130,13,3904824169,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3904824167,30,"dwjgtp47ky7v5as2a2jradihh, ah7sbrjt4lz1t4zww2l4sf1ex, 5kg2obqjcypb3d2yt4d4xoo2x, eihtktc0tfia1tsqydg7pvil1, eblfqwhpxhw6775m134ov2e0a, 6rcnj96do9ermnza1covi9ujt, 5x0qvm5o4qbijkh8r8vs2ys45, 7h91cdyjl0cpxj5lpzdsto3it, 87fq93e9x1yy4thmeituciycq, cjgr7t23bk1l43hegrkmtslih, 88n7oswbclrfxt277vp6vpgd0, 9214qm6nuq4zwnnvzmugrfutx, 664ior41q0qf71vnhq0tp1j9x, ik5uqc55sdiwjjzh28c21byt, 2pd1juglwcvhspyva4soomyy2, vbbjswuih75z7771voxd7bbo, 79u53wc88br80qmqpdumqlct0, 192oro0tnb86liwe8z576lpg4",3904824181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483512165,1,34,16,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2022-11-09T06:41:44.069Z,2022-11-09T06:41:44Z,3904824743,197,8452,3904824745,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3904824741,194,akldj20vfqfopuvurujsgtsd1,3904824735,59,"1, 12, 7, 10, 25, 4, 27, 21, 22, 8, 9, 2, 5, 16, 17, 18, 19, 29",3904824739,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3904824731,30,"7ei82jx0voz3m7g64d9ewmggl, 7mehuya25b282lf1aqllzc3px, ejzz3wi6gxujl6idun7k9wmvp, akldj20vfqfopuvurujsgtsd1, 3taxlkn9lb7otwvgbx9gyo82x, cf88cbpwlbfw6ampeklh3kcbu, 996uvthtn0ho4doic5mcty6z9, 8lqbmqjrc7ikjm0me2fsdej11, 63atfboq056luh7gzplxooyui, 3o1we6pb4axflmhkn1r0b01xx, 8ls23zdsn7vn3bsx8o3gzwrh0, arw9e50in9zw8e9eoul9x8rje, 7nogrzsn8zm4vsomb6ontb4k5, 6lv8fv1zdz9wt9l485nmz9otl, 53h7svpak7gxkotf27l15ibpx, 11249ix42zyb89ipxrymbb2tw, et3yygjf96h7sgd43lb5t1yj8, 9k44thez31exd8pbq7i5wdbs9",3904824737,130,2,3904824733,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483516241,2,32,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-11-09T07:09:59.633Z,2022-11-09T07:09:59Z,3904843203,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483516247,2,32,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2022-11-09T07:09:59.633Z,2022-11-09T07:10:01Z,3904843241,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483516257,3,1,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,50,50,2022-11-09T07:09:59.733Z,2022-11-09T07:10:03Z,3904843297,56,Back,3904843299,140,37.4,3904843307,279,S,3904843305,213,3.1,3904843301,141,50.9,3904843303,212,13.2,,,,,,,87fq93e9x1yy4thmeituciycq,S. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483516269,4,1,1,0,3,2gmv49xieg3zee2hx0lhcp17u,0,39.8,47.2,2022-11-09T07:10:03.553Z,2022-11-09T07:10:05Z,3904843371,140,71.4,3904843375,212,39.0,3904843379,1,,3904843377,213,5.7,3904843373,141,17.0,3904843369,56,Right,3904843367,157,,,,,5x0qvm5o4qbijkh8r8vs2ys45,E. Sumo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483516279,3,1,1,0,6,97jxqfbi28yoeedjbbw5xqhyi,1,24.9,92.1,2022-11-09T07:10:06.062Z,2022-11-09T07:10:07Z,3904843433,140,14.4,3904843429,3,,3904843437,212,16.0,3904843439,213,4.0,3904843435,141,75.1,3904843431,56,Back,,,,,,,ejzz3wi6gxujl6idun7k9wmvp,M. Levasseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483516281,4,49,1,0,7,97jxqfbi28yoeedjbbw5xqhyi,1,14.4,74.8,2022-11-09T07:10:07.326Z,2022-11-09T07:10:07Z,,,,,,,,,,,,,,,,,,,,,,,,,cf88cbpwlbfw6ampeklh3kcbu,C. Swaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483516297,5,1,1,0,8,97jxqfbi28yoeedjbbw5xqhyi,1,14.4,74.8,2022-11-09T07:10:07.661Z,2022-11-09T07:10:09Z,3904843529,140,5.4,3904843533,212,14.0,3904843527,56,Back,3904843535,213,4.0,3904843531,141,59.7,,,,,,,,,,cf88cbpwlbfw6ampeklh3kcbu,C. Swaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483516317,6,1,1,0,9,97jxqfbi28yoeedjbbw5xqhyi,1,5,60.3,2022-11-09T07:10:09.566Z,2022-11-09T07:10:13Z,3904843653,212,25.2,3904843651,141,96.6,3904843655,213,1.4,3904843645,155,,3904843649,140,9.6,3904843647,56,Back,,,,,,,7ei82jx0voz3m7g64d9ewmggl,M. Heil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
