id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId
2483508285,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-11-09T06:18:12.365Z,2022-11-09T06:18:12Z,3904807511,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3904807521,197,9974,3904807515,130,8,3904807509,30,"dfcxvz3flh0w54vhso9xpk1d5, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, eko9p1p9gjg7gxjla6chb6i95, 3yjqr9srzz3p1xjgdgckqvtre, eaxf4zra7v3sknq7wrdlk7g0l, dz7lkt8gh069vrkmoflcm0fkl, 4x3fxr67fofstbqjpkoxra7rp, 792nmu21pzzd6eak34jk1qlwq, dvd7yfrkq6wl6de389go6r7ro, desenv3bwtw96iiwqb1gnvth, f3thho84or4rhnubxrhit9zhl, epgsg9k2x61xgkksj1kzdum6t, cc9j8gbv04g55nbv83rgckf84, ujjsxo0eqoad5gi3q52ohogk, 5rk18n26jpnvcmaavaz2uw7x0, 1z1h7y606nt8pofw0tbupkx78, jzfnrsd8aixhycspwias4tii",3904807517,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3904807513,59,"1, 4, 25, 6, 13, 3, 9, 22, 10, 27, 17, 5, 14, 16, 19, 32, 33, 24",3904807519,194,eko9p1p9gjg7gxjla6chb6i95,3904807523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483511027,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-11-09T06:34:09.886Z,2022-11-09T08:43:03Z,3904820271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3904820267,194,2cp4j91pqwjvy7as74ckhc4wl,3904820261,59,"30, 22, 23, 4, 14, 21, 10, 24, 8, 7, 26, 1, 20, 9, 12, 13, 15, 18",3904820257,30,"dtl2shnzdg739pkag6fplb42y, 9mq9unf2aecualxxm9gvnppl, 5orsug2d4b7zzjat6eh9ks2qd, 5es3kc7x38rotmzzcs46kb3hm, 8ra0s724ht9u3luvku2ytnrze, 6xu7shoi00qiogo7akqo1xsrt, 2cp4j91pqwjvy7as74ckhc4wl, 2avvvwtcdl6hmzxei5qhjo4ph, 56n1erg5gb7fq7ab8hz42bug9, dsm8r3i2k45d7vlqkmzaog9w4, 50k8dmb17hvqbq37ae3p90aju, a27580ah1idvwqjbscx0l4x78, 1nyb823fkrzfuu4wczhgog7ah, ewogcy2itdu7e8vujgkitc0h6, b0a55g6cu6u3fl9vbuvynx05, dhmjb5r24tlk47urk93o5kj1m, 9rab5estxnvvhj8evql7j68rt, 1fcucvr07kupgc9ivux6cf76c",3904820269,197,14734,3904820263,130,12,3904820265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3904820259,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483512679,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-11-09T06:50:12.738Z,2022-11-09T06:50:14Z,3904827439,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483512673,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-11-09T06:50:12.738Z,2022-11-09T06:50:12Z,3904827419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483512683,3,1,1,0,0,9s9jvki6htleffykj88qcpwpy,1,50.4,50.9,2022-11-09T06:50:12.838Z,2022-11-09T07:51:42Z,3904827457,56,Back,3904827461,141,52.8,3904827467,279,S,3904827459,140,40.0,3904827465,213,3.0,3904827463,212,11.0,,,,,,,dsm8r3i2k45d7vlqkmzaog9w4,Z. Stiévenart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483512693,4,1,1,0,1,9s9jvki6htleffykj88qcpwpy,1,43,50.7,2022-11-09T06:50:14.704Z,2022-11-09T06:50:17Z,3904827503,140,61.6,3904827505,141,92.0,3904827509,213,1.0,3904827511,1,,3904827501,56,Left,3904827507,212,34.2,,,,,,,2cp4j91pqwjvy7as74ckhc4wl,L. Cance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483512699,5,1,1,0,4,9s9jvki6htleffykj88qcpwpy,0,61.6,92,2022-11-09T06:50:17.050Z,2022-11-09T06:50:19Z,3904827529,140,78.1,3904827531,141,92.9,3904827527,56,Left,3904827535,213,0.0,3904827533,212,17.3,,,,,,,,,,56n1erg5gb7fq7ab8hz42bug9,A. Lamontagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483512701,3,49,1,0,6,axvm5zg0mk4bp06wpec9vw27e,1,23.8,8.8,2022-11-09T06:50:19.450Z,2022-11-09T06:50:19Z,,,,,,,,,,,,,,,,,,,,,,,,,2iu88022lwj2uxr1hn0og7qax,L. Goetsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483512711,4,1,1,0,7,axvm5zg0mk4bp06wpec9vw27e,1,23.8,8.8,2022-11-09T06:50:19.977Z,2022-11-09T06:50:21Z,3904827585,213,0.5,3904827583,212,11.5,3904827579,140,33.3,3904827581,141,17.3,3904827577,56,Back,,,,,,,,,,2iu88022lwj2uxr1hn0og7qax,L. Goetsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483512715,5,1,1,0,8,axvm5zg0mk4bp06wpec9vw27e,1,33.3,17.3,2022-11-09T06:50:21.208Z,2022-11-09T06:50:22Z,3904827609,213,2.6,3904827605,141,25.9,3904827603,140,23.6,3904827607,212,11.7,3904827601,56,Back,,,,,,,,,,dz7lkt8gh069vrkmoflcm0fkl,R. Borgella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
