id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,assist
2552263765,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2023-05-21T09:52:24.661Z,2023-05-21T10:36:54Z,4296449857,59,"30, 12, 24, 4, 2, 20, 25, 13, 22, 6, 11, 3, 14, 15, 33, 34, 35, 40",4296449853,30,"a6x0w263q3g772n9qk4u22rc9, 1n48nxf4v6reoxuyai88haw6i, 19awb0feelm6k12ooavqb5621, 6yh4l888isxggjgd4a6p4ss0l, 7n7ebty9p63lyd49l0jcs1z9x, 757os3ykn2cuocj7tr4dqnw89, 1iy47sqcjh4x0w7bvvno90xxx, ao9cgwud5le6r07itko3j4y51, 9gk2t1276n9yt0nvgakzr82c5, dll89ri6yl7ufipj37pyfmzmd, 7xb0niqg08hrxk8i2nq8zvfth, cwudro7behcx3pta4l4na4a5m, cn165lpk9jgpw5wf40gwquymt, 4lj04oct1utmn4skdpqmnfn8q, cyobo9opjbd532a2wx1di9aay, eh2jgxy3h28cs4cjv0urp41lg, 9jsgojivfuxkhspaabplv0pw4, kwlrohrhnn0dwmuxhguh3o5w",4296449855,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4296449865,197,9034,4296449867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296449863,194,6yh4l888isxggjgd4a6p4ss0l,4296449861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4296449859,130,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552264761,1,34,16,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2023-05-21T09:59:05.614Z,2023-05-21T10:33:26Z,4296457139,194,eblfqwhpxhw6775m134ov2e0a,4296457141,197,8444,4296457143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296457135,130,2,4296457129,30,"dwjgtp47ky7v5as2a2jradihh, 5kg2obqjcypb3d2yt4d4xoo2x, 664ior41q0qf71vnhq0tp1j9x, 5x0qvm5o4qbijkh8r8vs2ys45, 2mo6msido3zv2vk24hed9rs9h, eblfqwhpxhw6775m134ov2e0a, cjgr7t23bk1l43hegrkmtslih, 7h91cdyjl0cpxj5lpzdsto3it, 87fq93e9x1yy4thmeituciycq, 2pd1juglwcvhspyva4soomyy2, bly2raemyl0xp39jiktm4u5sl, 9214qm6nuq4zwnnvzmugrfutx, ik5uqc55sdiwjjzh28c21byt, 55m2s1hr0yoxyec1lqooi03ys, 6rcnj96do9ermnza1covi9ujt, bdy7qt72his7vubbamqgultec, 91toyaeebwt0fcujt1pw7e4no, 8fa8q4mp4b7vc633a0bba11xw",4296457133,59,"16, 14, 3, 10, 27, 29, 22, 8, 23, 19, 6, 1, 7, 12, 18, 31, 32, 33",4296457137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4296457131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271751,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2023-05-21T10:30:19.758Z,2023-05-21T10:30:19Z,4296493941,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271755,2,32,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2023-05-21T10:30:19.758Z,2023-05-21T10:30:21Z,4296493947,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271779,3,1,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,50,50,2023-05-21T10:30:19.858Z,2023-05-21T10:49:48Z,4296494061,279,S,4296494059,213,3.1,4296494055,141,49.9,4296494051,56,Back,4296494053,140,41.5,4296494057,212,8.9,,,,,,,9gk2t1276n9yt0nvgakzr82c5,L. Petermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271785,4,1,1,0,3,2w4xxgpg4t4h5b3yl74egastz,0,43.7,50.7,2023-05-21T10:30:23.537Z,2023-05-21T10:30:25Z,4296494111,212,35.0,4296494113,213,0.9,4296494109,141,91.8,4296494115,1,,4296494105,56,Left,4296494103,155,,4296494107,140,63.7,,,,dll89ri6yl7ufipj37pyfmzmd,C. Bilbault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271799,3,1,1,0,5,2gmv49xieg3zee2hx0lhcp17u,0,31,8,2023-05-21T10:30:25.607Z,2023-05-21T10:37:08Z,4296494153,140,47.7,4296494157,212,17.6,4296494151,56,Back,4296494155,141,6.4,4296494149,3,,4296494159,213,6.2,,,,,,,5kg2obqjcypb3d2yt4d4xoo2x,R. Enguehard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271843,5,1,1,0,8,2w4xxgpg4t4h5b3yl74egastz,1,51.8,91.4,2023-05-21T10:30:28.025Z,2023-05-21T10:30:34Z,4296494419,140,33.2,4296494425,213,3.2,4296494421,141,90.3,4296494423,212,19.5,4296494417,56,Back,,,,,,,,,,ao9cgwud5le6r07itko3j4y51,C. Boureille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271861,6,1,1,0,14,2w4xxgpg4t4h5b3yl74egastz,1,32.7,89.6,2023-05-21T10:30:34.617Z,2023-05-21T10:30:38Z,4296494537,140,28.8,4296494535,56,Back,4296494539,141,63.7,4296494543,213,4.5,4296494541,212,18.1,,,,,,,,,,19awb0feelm6k12ooavqb5621,O. Deslandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271881,7,1,1,0,18,2w4xxgpg4t4h5b3yl74egastz,1,30.3,55.7,2023-05-21T10:30:38.090Z,2023-05-21T10:30:41Z,4296494637,56,Back,4296494643,212,14.8,4296494641,141,34.5,4296494639,140,33.6,4296494645,213,4.9,,,,,,,,,,7n7ebty9p63lyd49l0jcs1z9x,L. Gevitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
