id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value
2471921167,1,34,16,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-10-15T11:45:18.300Z,2022-10-17T06:53:35Z,3843696943,30,"3h1cw632st7suexo3fo6aremt, 24w5egwdnqme3z091t0e71c2y, 9i6rsrclokuoxbbepiw0xehre, eafhhlki76tgbbrwgeof4spyi, c59ms3k7ezd0x0qgmmq734lqs, 5d6w6h4s9rfioy07y1rqrmgyy, 7gisthugglsa8l3wah7gw2klx, 3vpsxb6kzdffwgumf9mfcmms5, 5vvgnuyaxp4x7hvzmgkku3pm2, 3nahmpoi0glxeu95ip8hx8odm, 1eo54huy053pgofiws2n36s16, jbxmumw5e6sad0zo1hljqnl5, 85cmw667ykiku1pzcj07jreg9, 2k7qjez21ghq91378ecc585w5, 7alrgsdv6ycykqgigqizax39x, bskf1il58p43z2gv68wwtmivo, 69myhtj81ne76e2j247op1qms",3843696955,197,9258,3843696947,59,"1, 13, 15, 19, 5, 17, 8, 7, 14, 11, 23, 9, 10, 20, 25, 30, 33",3843696949,130,10,3843696951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3843696957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843696945,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3843696953,194,7gisthugglsa8l3wah7gw2klx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471927583,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-10-15T11:53:30.978Z,2022-10-17T06:53:41Z,3843729007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3843729001,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3843729009,194,6yh4l888isxggjgd4a6p4ss0l,3843729003,59,"1, 25, 18, 24, 2, 20, 6, 4, 11, 10, 13, 3, 7, 12, 15, 17, 33, 40",3843728999,30,"eysw04bv1brzlph7v3w06sm39, 1iy47sqcjh4x0w7bvvno90xxx, 2by52fw1zojghjkbe3cj1yjmd, 19awb0feelm6k12ooavqb5621, 7n7ebty9p63lyd49l0jcs1z9x, 757os3ykn2cuocj7tr4dqnw89, dll89ri6yl7ufipj37pyfmzmd, 6yh4l888isxggjgd4a6p4ss0l, 7xb0niqg08hrxk8i2nq8zvfth, bff3wb6l4epccig9p8zxewx9m, ao9cgwud5le6r07itko3j4y51, cwudro7behcx3pta4l4na4a5m, eku11vja5c7dk4ijb1kzjjeuh, 1n48nxf4v6reoxuyai88haw6i, 4lj04oct1utmn4skdpqmnfn8q, 6o0xf7vl4enney4rtwerkb5k9, cyobo9opjbd532a2wx1di9aay, kwlrohrhnn0dwmuxhguh3o5w",3843729013,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3843729005,130,12,3843729011,197,9452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471961509,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-10-15T12:30:24.924Z,2022-10-15T12:58:30Z,3843898587,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471961473,2,32,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-10-15T12:30:24.924Z,2022-10-17T06:35:47Z,3843898451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471961895,3,1,1,0,0,drnln5nhp7dqype6j3upkoiqp,0,50.3,50.1,2022-10-15T12:30:25.024Z,2022-10-17T06:53:57Z,3843900563,141,33.0,3843900559,56,Center,3843900569,279,S,3843900565,212,24.5,3843900567,213,5.8,3843900561,140,70.8,,,,,,,3nahmpoi0glxeu95ip8hx8odm,A. Péniguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471961901,4,43,1,0,1,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-10-15T12:30:26.725Z,2022-10-17T06:54:05Z,3843900583,344,0,3851738259,144,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473434145,498,1,1,0,3,drnln5nhp7dqype6j3upkoiqp,1,33.5,42.1,2022-10-15T12:30:28.103Z,2022-10-17T06:54:18Z,3851738549,141,18.2,3851738547,140,37.8,3851738551,212,16.9,3851738553,213,5.0,3851738545,56,Back,,,,,,,,,,7gisthugglsa8l3wah7gw2klx,H. Mansuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473434187,499,1,1,0,5,drnln5nhp7dqype6j3upkoiqp,1,37.8,18.2,2022-10-15T12:30:30.357Z,2022-10-17T06:54:24Z,3851738735,56,Back,3851738743,213,3.7,3851738739,141,9.5,3851738741,212,12.1,3851738737,140,27.7,,,,,,,,,,5d6w6h4s9rfioy07y1rqrmgyy,G. Kazadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473434237,500,1,1,0,7,drnln5nhp7dqype6j3upkoiqp,1,27.7,9.5,2022-10-15T12:30:32.353Z,2022-10-17T06:54:28Z,3851738915,213,1.8,3851738907,56,Back,3851738909,140,23.5,3851738911,141,41.2,3851738913,212,22.0,,,,,,,,,,24w5egwdnqme3z091t0e71c2y,M. Revelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473434389,501,1,1,0,9,drnln5nhp7dqype6j3upkoiqp,0,23.5,41.2,2022-10-15T12:30:34.103Z,2022-10-17T08:53:51Z,3851739373,212,16.3,3851739365,155,,3851739371,141,28.5,3851739369,140,36.7,3851739367,56,Back,3851739375,213,5.7,,,,,,,c59ms3k7ezd0x0qgmmq734lqs,M. Renard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
