id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,assist,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2534486479,1,34,16,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2023-04-16T12:09:47.980Z,2023-04-16T13:01:34Z,4194840899,30,"8f25wup5nyqxwx27pmtxth51x, 8dfe78e3mslilgxw4efeu295, 3x6baiktcpcjxxh258a5uebpx, b9mxbxkxacng270g0cs3w1jh1, cma46vvprpduachdlb2ruakx6, 3bo8lbyohd3djey9pbd08fvf9, 28yvc8jmyyfavb0hetafjdadx, pugk29yysi9369f969l2o1qt, 7jux9gpb11yfbl8jj32n0zil1, 3gu9gaz6w7eq79qnaqj3b7jdh, f30p9xqwupzhhiitqubpi79bd, 407696aey55f3v0iy9xcr9plh, el2jrhon9i915qbjdgi96uru2, 15ueea8j21zale5d23rifkct1, 2fg7mgljmrqedc61uiff36ytx, e92r83de4v94lcbngexwe2oes, 41gek0vcr4hcrc5hg6zk4am3u, dbcmdwdf4iu39ztbwcxkbff9w",4194840911,130,4,4194840925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194840915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4194840921,194,3bo8lbyohd3djey9pbd08fvf9,4194840901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4194840923,197,4764,4194840905,59,"1, 12, 5, 10, 21, 3, 17, 7, 9, 20, 4, 8, 18, 23, 24, 25, 27, 50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534503823,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2023-04-16T12:27:53.543Z,2023-04-16T13:39:14Z,4194931735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4194931739,197,13251,4194931731,59,"16, 27, 23, 17, 10, 19, 22, 8, 9, 11, 28, 1, 2, 7, 15, 20, 21, 31",4194931729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4194931737,194,1ck8f8510t6ei80haqe2vqbpx,4194931727,30,"2f1e295qn6s9l5d6v1degrizt, dx5okwmzef2p09vgp02i1ucph, ehchjemv9fwcnwomosua92qqd, 1ck8f8510t6ei80haqe2vqbpx, 8iblvy7aw7kdghvke6s5gisid, 1mhjq24kq1fapaoib7lzb6b4l, 7l931hwm1tajvf6r717biyw2d, 7d4y77nkrn4w4dht1c4vr28yx, 2n3sv3vt7ano86i5j9j3f8a95, 3uxijnhp1ibbqm6e4lfivq8k5, cg4yqx0lth6d27oxlgwcuvdn9, 8yebzwn5wynngu33kqcsh1fbp, byu5qg9zlu5w1e234xl2058iy, 94pv0j29t5jrfdc36o6791wp, aos03ja9xr5jr2w3e6t20p94a, 9qidpdp5vlw8ma2z9synky6ms, 1rsg1y7lx0ruqcwgj6c6oovdh, 2q1tt2u2h3q1hb3uz28rofzmc",4194931741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194931733,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534391,2,32,1,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2023-04-16T13:00:19.759Z,2023-04-16T13:00:21Z,4195083513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534387,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2023-04-16T13:00:19.759Z,2023-04-16T13:00:19Z,4195083495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534445,3,1,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,50.1,50,2023-04-16T13:00:19.859Z,2023-04-16T13:00:23Z,4195083763,279,S,4195083759,212,9.8,4195083753,56,Back,4195083761,213,3.9,4195083757,141,40.3,4195083755,140,43.2,,,,,,,7l931hwm1tajvf6r717biyw2d,S. Vaysse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534479,4,1,1,0,3,bdfjkux9o0vtsdig5zsbhtysq,1,43.2,40.3,2023-04-16T13:00:23.446Z,2023-04-16T13:10:28Z,4195083933,141,50.4,4195083937,213,1.2,4195083935,212,7.5,4195083931,140,46.0,4195083929,56,Back,,,,,,,,,,7d4y77nkrn4w4dht1c4vr28yx,D. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534537,5,1,1,0,5,bdfjkux9o0vtsdig5zsbhtysq,1,45,48.2,2023-04-16T13:00:24.966Z,2023-04-16T13:11:02Z,4195084139,140,63.1,4195084143,212,31.7,4195084135,155,,4195084145,213,5.4,4195084137,56,Right,4195084141,141,10.8,,,,,,,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534549731,100,1,1,0,6,bdfjkux9o0vtsdig5zsbhtysq,0,64.2,8.9,2023-04-16T13:00:26.002Z,2023-04-16T13:11:29Z,4195163809,140,70.1,4195163811,141,25.8,4195163815,213,1.1,4195163807,56,Center,4195163813,212,13.1,,,,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534533,3,49,1,0,7,e5hsx8fzufp57tv4oehbz0qht,1,33.2,58.1,2023-04-16T13:00:26.798Z,2023-04-16T13:00:26Z,,,,,,,,,,,,,,,,,,,,,,,,,b9mxbxkxacng270g0cs3w1jh1,D. Marozsán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534613,4,1,1,0,7,e5hsx8fzufp57tv4oehbz0qht,1,33.2,58.1,2023-04-16T13:00:27.549Z,2023-04-16T13:00:30Z,4195084545,213,0.1,4195084537,140,37.4,4195084541,212,4.4,4195084539,141,58.8,4195084535,56,Back,,,,,,,,,,b9mxbxkxacng270g0cs3w1jh1,D. Marozsán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
