id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,assist,qualifier/13/value,qualifier/15/value,qualifier/14/value
2497103021,1,34,16,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2023-01-14T12:00:20.424Z,2023-01-14T12:44:52Z,3976454877,197,4764,3976454865,130,4,3976454881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976454861,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3976454863,59,"1, 18, 4, 11, 21, 3, 6, 8, 10, 9, 28, 5, 7, 17, 23, 24, 27, 40",3976454869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976454873,194,3bo8lbyohd3djey9pbd08fvf9,3976454859,30,"8f25wup5nyqxwx27pmtxth51x, el2jrhon9i915qbjdgi96uru2, f30p9xqwupzhhiitqubpi79bd, 1loi315glota15qd57q6e0xrd, cma46vvprpduachdlb2ruakx6, 3bo8lbyohd3djey9pbd08fvf9, 3c765kc3b4cmgie0qf84jh1hx, 407696aey55f3v0iy9xcr9plh, b9mxbxkxacng270g0cs3w1jh1, 7jux9gpb11yfbl8jj32n0zil1, ct4fyrkcvk3i01xiz1wpsyuw9, 3x6baiktcpcjxxh258a5uebpx, pugk29yysi9369f969l2o1qt, 28yvc8jmyyfavb0hetafjdadx, 15ueea8j21zale5d23rifkct1, 2fg7mgljmrqedc61uiff36ytx, 41gek0vcr4hcrc5hg6zk4am3u, 2mgpfhn8c4e7gt4oce452j7x1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497106453,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2023-01-14T12:08:35.192Z,2023-01-14T12:51:08Z,3976473035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976473027,130,8,3976473029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976473025,59,"30, 24, 11, 15, 14, 4, 3, 7, 13, 17, 26, 12, 5, 8, 9, 16, 10, 22",3976473033,197,8429,3976473021,30,"7iuwrwcupehj978vpf8sep591, a36nwipwjfluk0rjfjzdiflk9, 3o5f01ay5uqzeb3xunhguvsyy, q195fj3dlx9i3r0zno98nhuc, 3w9nqzmvm6df5becqtvypo5w5, 2to7qgaomc72knk6y1689ihka, ero1axtkr33y6yetn4uti2oyx, 1vj4sunehr71tbbpu6zsp6dw5, 58zv1pd350niecmu275p4xyqc, b062pdmskviwqwzf5dckoffmd, aeoazf90glk79a2puhpm06pyh, a52izyii7s44qihbp4upbukiy, 3edubak34lsocvkirgryo8vd, ds4tjev271co53fycw64y4kfe, 6oxe2vmgkxzl4dfz5cdqbajmd, es2n7ru62e3o5w19jndi83pxw, e9e2sdrwd5g6m8kfpxpe8ml79, 9r0t3f2nw0d1a17c9onvjgd05",3976473031,194,b062pdmskviwqwzf5dckoffmd,3976473023,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120515,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2023-01-14T12:45:28.183Z,2023-01-14T12:45:28Z,3976547839,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120521,2,32,1,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2023-01-14T12:45:28.183Z,2023-01-14T12:45:29Z,3976547845,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120551,3,1,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,50,50,2023-01-14T12:45:28.283Z,2023-01-14T12:45:31Z,3976548025,212,20.8,3976548023,141,53.3,3976548021,140,30.3,3976548027,213,3.0,3976548029,279,S,3976548019,56,Back,,,,,,,58zv1pd350niecmu275p4xyqc,S. Tapé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120577,4,1,1,0,3,dgpni8xwxjhgekjmg0m8bb6nv,1,26.1,52.4,2023-01-14T12:45:31.444Z,2023-01-14T12:45:35Z,3976548145,212,56.8,3976548143,141,5.8,3976548141,140,71.0,3976548139,56,Right,3976548137,155,,3976548149,1,,3976548147,213,5.7,,,,1vj4sunehr71tbbpu6zsp6dw5,A. Clérac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120581,5,61,1,0,6,dgpni8xwxjhgekjmg0m8bb6nv,0,71.2,5.9,2023-01-14T12:45:35.075Z,2023-01-14T12:45:35Z,3976548169,56,Right,,,,,,,,,,,,,,,,,,,,,,ero1axtkr33y6yetn4uti2oyx,M. Belkhiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120589,3,49,1,0,7,e5hsx8fzufp57tv4oehbz0qht,1,43.7,63.4,2023-01-14T12:45:35.997Z,2023-01-14T12:45:36Z,,,,,,,,,,,,,,,,,,,,,,,,,1loi315glota15qd57q6e0xrd,D. Egurrola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120605,4,1,1,0,8,e5hsx8fzufp57tv4oehbz0qht,1,45.3,63.4,2023-01-14T12:45:36.581Z,2023-01-14T12:45:39Z,3976548305,212,19.7,3976548301,140,61.2,3976548303,141,47.9,3976548307,213,5.7,3976548299,56,Center,,,,,,,,,,1loi315glota15qd57q6e0xrd,D. Egurrola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120635,5,1,1,0,11,e5hsx8fzufp57tv4oehbz0qht,1,56.5,46.4,2023-01-14T12:45:39.381Z,2023-01-14T12:45:42Z,3976548455,213,4.6,3976548449,140,53.2,3976548451,141,12.3,3976548447,56,Right,3976548453,212,23.4,,,,,,,,,,b9mxbxkxacng270g0cs3w1jh1,D. Marozsán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
