id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,keyPass,qualifier/12/value,qualifier/11/value,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2490304423,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-12-11T11:19:49.576Z,2022-12-11T11:56:48Z,3940504709,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3940504713,130,12,3940504707,30,"eysw04bv1brzlph7v3w06sm39, 1iy47sqcjh4x0w7bvvno90xxx, 2by52fw1zojghjkbe3cj1yjmd, 757os3ykn2cuocj7tr4dqnw89, 7n7ebty9p63lyd49l0jcs1z9x, 1n48nxf4v6reoxuyai88haw6i, 6yh4l888isxggjgd4a6p4ss0l, ao9cgwud5le6r07itko3j4y51, 7xb0niqg08hrxk8i2nq8zvfth, bff3wb6l4epccig9p8zxewx9m, 4lj04oct1utmn4skdpqmnfn8q, cwudro7behcx3pta4l4na4a5m, eku11vja5c7dk4ijb1kzjjeuh, 6o0xf7vl4enney4rtwerkb5k9, 19awb0feelm6k12ooavqb5621, a6x0w263q3g772n9qk4u22rc9, cyobo9opjbd532a2wx1di9aay",3940504711,59,"1, 25, 18, 20, 2, 12, 4, 13, 11, 10, 15, 3, 7, 17, 24, 30, 33",3940504721,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940504719,197,9034,3940504715,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3940504717,194,6yh4l888isxggjgd4a6p4ss0l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490305307,1,34,16,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-12-11T11:22:25.251Z,2022-12-11T11:49:57Z,3940509705,197,9552,3940509707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940509693,30,"dwjgtp47ky7v5as2a2jradihh, 6rcnj96do9ermnza1covi9ujt, 5kg2obqjcypb3d2yt4d4xoo2x, 5x0qvm5o4qbijkh8r8vs2ys45, 2mo6msido3zv2vk24hed9rs9h, eblfqwhpxhw6775m134ov2e0a, 88n7oswbclrfxt277vp6vpgd0, 7h91cdyjl0cpxj5lpzdsto3it, 2pd1juglwcvhspyva4soomyy2, cjgr7t23bk1l43hegrkmtslih, 87fq93e9x1yy4thmeituciycq, 9214qm6nuq4zwnnvzmugrfutx, eihtktc0tfia1tsqydg7pvil1, 664ior41q0qf71vnhq0tp1j9x, bly2raemyl0xp39jiktm4u5sl, ik5uqc55sdiwjjzh28c21byt, ah7sbrjt4lz1t4zww2l4sf1ex, 79u53wc88br80qmqpdumqlct0",3940509697,59,"16, 18, 14, 10, 27, 29, 9, 8, 19, 22, 23, 1, 2, 3, 6, 7, 20, 26",3940509695,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3940509701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3940509703,194,eblfqwhpxhw6775m134ov2e0a,3940509699,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490314189,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-12-11T11:45:57.172Z,2022-12-11T11:45:57Z,3940559515,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490314195,2,32,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-12-11T11:45:57.172Z,2022-12-11T11:45:58Z,3940559537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490314245,3,1,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,49.7,49.9,2022-12-11T11:45:57.272Z,2022-12-11T11:46:02Z,3940559815,213,3.3,3940559817,279,S,3940559803,56,Back,3940559807,140,37.6,3940559811,141,47.0,3940559813,212,12.9,,,,,,,bff3wb6l4epccig9p8zxewx9m,E. Mbakem-Niaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490314255,4,1,1,0,5,2w4xxgpg4t4h5b3yl74egastz,0,37.5,46.7,2022-12-11T11:46:02.355Z,2022-12-11T11:46:03Z,3940559861,56,Left,3940559871,1,,3940559859,155,,3940559863,140,69.7,3940559865,141,83.8,3940559867,212,42.2,3940559869,213,0.6,,,,2by52fw1zojghjkbe3cj1yjmd,D. Škorvánková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490314261,3,1,1,0,6,2gmv49xieg3zee2hx0lhcp17u,0,31.6,16.5,2022-12-11T11:46:03.636Z,2022-12-11T11:46:03Z,3940559899,141,17.9,3940559903,213,0.5,3940559895,56,Back,3940559897,140,33.3,3940559901,212,2.0,,,,,,,,,,6rcnj96do9ermnza1covi9ujt,E. Kouache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490314265,5,61,1,0,8,2w4xxgpg4t4h5b3yl74egastz,1,67.3,82.3,2022-12-11T11:46:05.262Z,2022-12-11T11:46:05Z,3940559927,56,Left,,,,,,,,,,,,,,,,,,,,,,6yh4l888isxggjgd4a6p4ss0l,M. Torrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490314269,4,49,1,0,8,2gmv49xieg3zee2hx0lhcp17u,1,28,25.6,2022-12-11T11:46:05.812Z,2022-12-11T11:46:05Z,,,,,,,,,,,,,,,,,,,,,,,,,2mo6msido3zv2vk24hed9rs9h,K. Gadéa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490314273,5,1,1,0,8,2gmv49xieg3zee2hx0lhcp17u,1,27.9,25.6,2022-12-11T11:46:06.068Z,2022-12-11T11:46:07Z,3940559965,213,5.4,3940559957,56,Back,3940559961,141,6.1,3940559959,140,37.4,3940559963,212,16.6,,,,,,,,,,2mo6msido3zv2vk24hed9rs9h,K. Gadéa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
