id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value
2481596601,1,34,16,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-11-05T11:43:57.927Z,2022-11-05T12:28:54Z,3894815443,30,"77eg5tabeeeyays2pilyq5jo5, ehmzgi988h8g6rgekp3qivkr9, 7add1fkvvxb1v573fobgh1ryt, 1j5u2majmm2vnsgxscl9kjzyt, dz2s92nqmnrw691jia8e6phw5, d7ajth6q3ebg8yrf65uqc8xrd, 53okfybfibe34k6hm6qzm9591, eihksc6tdooqw7ref4nt520a, dp5zny5ls8ys3ml75himru4et, dm9vc2mqtbb982sx6kkd992ax, c7yhj2xdx8l773wfswykl9hat, e7y7c4srymaidxozrurjct71l, 7eq281s0sa083qvx8tfwp7pat, ayu3raszdeuo9vif7i2nfl7md, 1cboloxf323a7iw605eq4yjth, dl1znxod6ohbi1zwq4iiu4qfp, 7oxif0j9hg9lpvrmqj8ocdnmd, 1ps0l5kcm7pfv34szf08j9h7u",3894815455,194,dp5zny5ls8ys3ml75himru4et,3894815451,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3894815445,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3894815449,130,4,3894815447,59,"50, 12, 7, 8, 13, 5, 14, 6, 11, 21, 10, 16, 19, 22, 23, 24, 26, 33",3894815461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3894815457,197,9017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481598129,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-11-05T11:47:07.167Z,2022-11-05T12:32:51Z,3894823631,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3894823635,130,13,3894823629,30,"eysw04bv1brzlph7v3w06sm39, 1iy47sqcjh4x0w7bvvno90xxx, cwudro7behcx3pta4l4na4a5m, 19awb0feelm6k12ooavqb5621, 7n7ebty9p63lyd49l0jcs1z9x, 757os3ykn2cuocj7tr4dqnw89, 4lj04oct1utmn4skdpqmnfn8q, ao9cgwud5le6r07itko3j4y51, 7xb0niqg08hrxk8i2nq8zvfth, eku11vja5c7dk4ijb1kzjjeuh, 2by52fw1zojghjkbe3cj1yjmd, bff3wb6l4epccig9p8zxewx9m, 1n48nxf4v6reoxuyai88haw6i, 6o0xf7vl4enney4rtwerkb5k9, cyobo9opjbd532a2wx1di9aay, eh2jgxy3h28cs4cjv0urp41lg, 9jsgojivfuxkhspaabplv0pw4, kwlrohrhnn0dwmuxhguh3o5w",3894823639,194,1iy47sqcjh4x0w7bvvno90xxx,3894823633,59,"1, 25, 3, 24, 2, 20, 15, 13, 11, 7, 18, 10, 12, 17, 33, 34, 37, 40",3894823641,197,8450,3894823637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3894823643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481627515,2,32,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-11-05T12:30:16.325Z,2022-11-05T12:30:16Z,3894966265,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481627517,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-11-05T12:30:16.325Z,2022-11-05T12:30:18Z,3894966281,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481627533,3,1,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,50,50,2022-11-05T12:30:16.425Z,2022-11-05T12:30:19Z,3894966377,212,10.0,3894966371,56,Back,3894966375,141,58.8,3894966379,213,2.5,3894966373,140,42.4,3894966381,279,S,,,,,,,dp5zny5ls8ys3ml75himru4et,K. Diani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481627587,4,1,1,0,2,ad9ip2f3tijbv4nqaayyqqkee,0,45.1,54.9,2022-11-05T12:30:19.083Z,2022-11-05T12:30:22Z,3894966667,56,Right,3894966673,212,57.4,3894966675,213,5.6,3894966671,141,0.0,3894966677,1,,3894966669,140,86.0,3894966665,155,,,,,53okfybfibe34k6hm6qzm9591,K. Hamraoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481628081,3,5,1,0,6,2w4xxgpg4t4h5b3yl74egastz,1,13,101.4,2022-11-05T12:30:22.668Z,2022-11-05T12:31:08Z,3894969273,233,5,3894969055,56,Back,3894969057,347,,,,,,,,,,,,,,,,,7n7ebty9p63lyd49l0jcs1z9x,L. Gevitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481627597,5,5,1,0,6,ad9ip2f3tijbv4nqaayyqqkee,0,87,-1.4,2022-11-05T12:30:22.668Z,2022-11-05T12:31:08Z,3894969301,233,3,3894966731,347,,3894966729,56,Right,,,,,,,,,,,,,,,,53okfybfibe34k6hm6qzm9591,K. Hamraoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481628127,4,1,1,0,47,2w4xxgpg4t4h5b3yl74egastz,1,12.1,100,2022-11-05T12:31:03.364Z,2022-11-05T12:31:08Z,3894969293,1,,3894969291,213,5.2,3894969287,141,51.5,3894969285,140,30.9,3894969281,107,,3894969289,212,39.4,3894969283,56,Back,,,,cwudro7behcx3pta4l4na4a5m,I. Belloumou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481628133,5,1,1,0,51,2w4xxgpg4t4h5b3yl74egastz,0,32,51.2,2022-11-05T12:31:08.098Z,2022-11-05T12:31:08Z,3894969327,213,5.8,3894969317,157,,3894969321,140,72.6,3894969325,212,48.8,3894969329,1,,3894969319,56,Right,3894969323,141,16.2,,,,4lj04oct1utmn4skdpqmnfn8q,C. Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
