id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2488747901,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-12-03T12:40:17.038Z,2022-12-03T14:42:21Z,3932263117,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3932263133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3932263127,130,10,3932263139,197,12664,3932263143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932263115,30,"cc9j8gbv04g55nbv83rgckf84, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, eaxf4zra7v3sknq7wrdlk7g0l, f3thho84or4rhnubxrhit9zhl, 3yjqr9srzz3p1xjgdgckqvtre, dvd7yfrkq6wl6de389go6r7ro, 4x3fxr67fofstbqjpkoxra7rp, 792nmu21pzzd6eak34jk1qlwq, 7ouo3qztrs5lytmtji95oesph, desenv3bwtw96iiwqb1gnvth, dfcxvz3flh0w54vhso9xpk1d5, eko9p1p9gjg7gxjla6chb6i95, 5rk18n26jpnvcmaavaz2uw7x0, 1z1h7y606nt8pofw0tbupkx78, 79y80xxga3tl4fmfrzt0xu51w, jzfnrsd8aixhycspwias4tii",3932263137,194,2iu88022lwj2uxr1hn0og7qax,3932263123,59,"16, 4, 25, 3, 5, 13, 27, 22, 10, 11, 17, 1, 6, 32, 33, 34, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488754787,1,34,16,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2022-12-03T12:49:41.259Z,2022-12-03T13:37:06Z,3932300237,130,4,3932300245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932300243,197,4764,3932300231,30,"2mgpfhn8c4e7gt4oce452j7x1, 15ueea8j21zale5d23rifkct1, 3x6baiktcpcjxxh258a5uebpx, 6ywkny98b9qzuvhqxwn9l0ogl, cma46vvprpduachdlb2ruakx6, 3bo8lbyohd3djey9pbd08fvf9, b9mxbxkxacng270g0cs3w1jh1, f30p9xqwupzhhiitqubpi79bd, 28yvc8jmyyfavb0hetafjdadx, 3gu9gaz6w7eq79qnaqj3b7jdh, 2fg7mgljmrqedc61uiff36ytx, 8f25wup5nyqxwx27pmtxth51x, d8ypulxmosy9ulp0imw6avo5, 1loi315glota15qd57q6e0xrd, el2jrhon9i915qbjdgi96uru2, e92r83de4v94lcbngexwe2oes, 41gek0vcr4hcrc5hg6zk4am3u, ct4fyrkcvk3i01xiz1wpsyuw9",3932300239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3932300235,59,"40, 23, 5, 26, 21, 3, 10, 4, 17, 20, 24, 1, 2, 11, 18, 25, 27, 28",3932300233,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3932300241,194,3bo8lbyohd3djey9pbd08fvf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779465,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-12-03T13:30:42.146Z,2022-12-03T13:30:43Z,3932433063,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779469,2,32,1,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2022-12-03T13:30:42.146Z,2022-12-03T13:30:42Z,3932433077,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779505,3,1,1,0,0,e5hsx8fzufp57tv4oehbz0qht,1,50.5,49.7,2022-12-03T13:30:42.450Z,2022-12-03T13:30:45Z,3932433273,140,37.2,3932433275,141,55.8,3932433281,279,S,3932433277,212,14.6,3932433271,56,Back,3932433279,213,2.9,,,,,,,2fg7mgljmrqedc61uiff36ytx,S. Bruun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779537,4,1,1,0,2,e5hsx8fzufp57tv4oehbz0qht,1,36.6,53.7,2022-12-03T13:30:45.049Z,2022-12-03T13:30:48Z,3932433477,213,4.2,3932433467,56,Back,3932433471,140,26.7,3932433475,212,22.5,3932433473,141,24.4,,,,,,,,,,3gu9gaz6w7eq79qnaqj3b7jdh,D. Cascarino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779569,5,1,1,0,5,e5hsx8fzufp57tv4oehbz0qht,1,26.7,24.4,2022-12-03T13:30:48.124Z,2022-12-03T13:30:50Z,3932433595,56,Back,3932433601,212,17.8,3932433597,140,36.1,3932433599,141,2.6,3932433603,213,5.3,,,,,,,,,,cma46vvprpduachdlb2ruakx6,V. Gilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779583,6,1,1,0,7,e5hsx8fzufp57tv4oehbz0qht,1,39.3,6.4,2022-12-03T13:30:49.796Z,2022-12-03T13:30:53Z,3932433711,213,0.1,3932433703,56,Right,3932433705,140,61.0,3932433709,212,23.0,3932433707,141,10.9,,,,,,,,,,15ueea8j21zale5d23rifkct1,J. Cayman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779599,7,1,1,0,10,e5hsx8fzufp57tv4oehbz0qht,1,61,10.9,2022-12-03T13:30:52.685Z,2022-12-03T13:30:53Z,3932433787,213,1.8,3932433781,140,59.6,3932433783,141,19.2,3932433785,212,5.8,3932433779,56,Right,,,,,,,,,,3gu9gaz6w7eq79qnaqj3b7jdh,D. Cascarino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488779613,8,1,1,0,11,e5hsx8fzufp57tv4oehbz0qht,1,59.6,19.2,2022-12-03T13:30:53.518Z,2022-12-03T13:30:55Z,3932433861,212,8.7,3932433855,56,Right,3932433857,140,67.9,3932433863,213,6.3,3932433859,141,19.1,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
