id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/8/value,qualifier/11/value,qualifier/13/value,qualifier/9/value,qualifier/10/value
2457569745,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-09-09T18:19:55.071Z,2022-09-09T19:25:45Z,3767316151,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",3767316155,130,13,3767316163,197,8688,3767316149,30,"7iuwrwcupehj978vpf8sep591, ero1axtkr33y6yetn4uti2oyx, 3edubak34lsocvkirgryo8vd, cgk8tqunww8nmk2lefsluxtcl, 9r0t3f2nw0d1a17c9onvjgd05, 2to7qgaomc72knk6y1689ihka, 1vj4sunehr71tbbpu6zsp6dw5, c99gqg4cu9eqy5yu8fga71vit, aeoazf90glk79a2puhpm06pyh, q195fj3dlx9i3r0zno98nhuc, b062pdmskviwqwzf5dckoffmd, es2n7ru62e3o5w19jndi83pxw, 6oxe2vmgkxzl4dfz5cdqbajmd, ds4tjev271co53fycw64y4kfe, 3w9nqzmvm6df5becqtvypo5w5, 5b3esi4e6l86aqvprt9l16uqc, a36nwipwjfluk0rjfjzdiflk9",3767316157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3767316159,194,9r0t3f2nw0d1a17c9onvjgd05,3767316167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767316153,59,"30, 3, 5, 2, 22, 4, 7, 6, 26, 15, 17, 16, 9, 8, 14, 19, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457576153,1,34,16,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-09-09T18:28:42.762Z,2022-09-09T18:59:00Z,3767351711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767351703,59,"16, 12, 7, 6, 13, 5, 8, 18, 10, 11, 22, 4, 17, 19, 21, 23, 26, 40",3767351699,30,"e7y7c4srymaidxozrurjct71l, ehmzgi988h8g6rgekp3qivkr9, 7add1fkvvxb1v573fobgh1ryt, eihksc6tdooqw7ref4nt520a, dz2s92nqmnrw691jia8e6phw5, d7ajth6q3ebg8yrf65uqc8xrd, 1j5u2majmm2vnsgxscl9kjzyt, 1s08dn7n3b5ctyion3u61hisq, c7yhj2xdx8l773wfswykl9hat, dp5zny5ls8ys3ml75himru4et, ayu3raszdeuo9vif7i2nfl7md, dy5kdca1eobf6mzt3719zfvmd, 1gnms5n3jetky1njccmauh785, 7eq281s0sa083qvx8tfwp7pat, dm9vc2mqtbb982sx6kkd992ax, 1cboloxf323a7iw605eq4yjth, 7oxif0j9hg9lpvrmqj8ocdnmd, 36vv52yx75qjgmt3m4robnazu",3767351709,197,9017,3767471285,194,ehmzgi988h8g6rgekp3qivkr9,3767351707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3767351705,130,4,3767351701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598739,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-09-09T19:00:19.145Z,2022-09-09T19:00:21Z,3767473993,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598735,2,32,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-09-09T19:00:19.145Z,2022-09-09T19:00:19Z,3767473981,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598761,3,1,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,50.3,50.3,2022-09-09T19:00:19.245Z,2022-09-09T19:00:21Z,3767474125,212,14.6,3767474121,140,36.4,3767474127,213,3.1,3767474119,56,Back,3767474129,279,S,3767474123,141,50.7,,,,,,,c7yhj2xdx8l773wfswykl9hat,R. Bachmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598781,4,1,1,0,2,ad9ip2f3tijbv4nqaayyqqkee,1,36.4,50.7,2022-09-09T19:00:21.183Z,2022-09-09T19:00:23Z,3767474261,140,32.1,3767474265,212,28.7,3767474267,213,1.7,3767474259,56,Back,3767474263,141,92.4,,,,,,,,,,eihksc6tdooqw7ref4nt520a,O. Jean-François,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598791,5,1,1,0,4,ad9ip2f3tijbv4nqaayyqqkee,1,31.9,90.8,2022-09-09T19:00:23.695Z,2022-09-09T19:00:25Z,3767474321,212,16.5,3767474319,141,75.0,3767474317,140,43.8,3767474323,213,5.6,3767474315,56,Back,,,,,,,,,,7add1fkvvxb1v573fobgh1ryt,S. Karchaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598807,6,1,1,0,5,ad9ip2f3tijbv4nqaayyqqkee,1,43.8,75,2022-09-09T19:00:25.007Z,2022-09-09T19:00:26Z,3767474403,140,34.7,3767474407,212,14.8,3767474409,213,2.3,3767474405,141,91.7,3767474401,56,Back,,,,,,,,,,1s08dn7n3b5ctyion3u61hisq,L. Fazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598821,7,1,1,0,7,ad9ip2f3tijbv4nqaayyqqkee,1,36.5,89.3,2022-09-09T19:00:26.183Z,2022-09-09T19:00:28Z,3767474507,212,13.3,3767474503,140,30.2,3767474501,56,Back,3767474505,141,72.3,3767474509,213,4.2,,,,,,,,,,7add1fkvvxb1v573fobgh1ryt,S. Karchaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598859,8,1,1,0,10,ad9ip2f3tijbv4nqaayyqqkee,1,29.5,67.5,2022-09-09T19:00:29.279Z,2022-09-09T19:00:32Z,3767474679,140,29.9,3767474685,213,4.7,3767474681,141,30.7,3767474683,212,25.0,3767474677,56,Back,,,,,,,,,,d7ajth6q3ebg8yrf65uqc8xrd,É. De Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
