id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2524382837,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2023-03-25T12:01:51.342Z,2023-03-25T12:56:04Z,4122583595,194,2cp4j91pqwjvy7as74ckhc4wl,4122583599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122583591,130,8,4122583587,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4122583597,197,17016,4122583585,30,"dtl2shnzdg739pkag6fplb42y, 6xu7shoi00qiogo7akqo1xsrt, 50ph0tkxvrb3syo76y5bjbcut, 50k8dmb17hvqbq37ae3p90aju, 9mq9unf2aecualxxm9gvnppl, 5es3kc7x38rotmzzcs46kb3hm, bgdtaffohtcawxastd6cy5g16, 2avvvwtcdl6hmzxei5qhjo4ph, dsm8r3i2k45d7vlqkmzaog9w4, 2cp4j91pqwjvy7as74ckhc4wl, 56n1erg5gb7fq7ab8hz42bug9, a27580ah1idvwqjbscx0l4x78, ewogcy2itdu7e8vujgkitc0h6, b0a55g6cu6u3fl9vbuvynx05, 9rab5estxnvvhj8evql7j68rt, 1fcucvr07kupgc9ivux6cf76c, 5orsug2d4b7zzjat6eh9ks2qd, zzdeso5dawmdmq4u5vishhck",4122583589,59,"30, 21, 11, 26, 22, 4, 6, 24, 7, 10, 8, 1, 9, 12, 15, 18, 23, 19",4122583593,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524385277,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-03-25T12:09:42.990Z,2023-03-25T12:38:48Z,4122594113,194,7lqdu42zczlrnowx70hu12sb9,4122594103,30,"dfcxvz3flh0w54vhso9xpk1d5, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, 4x3fxr67fofstbqjpkoxra7rp, eko9p1p9gjg7gxjla6chb6i95, eaxf4zra7v3sknq7wrdlk7g0l, jzfnrsd8aixhycspwias4tii, desenv3bwtw96iiwqb1gnvth, 792nmu21pzzd6eak34jk1qlwq, 7lqdu42zczlrnowx70hu12sb9, 9k4n3testzamjmqoda5g4k3x1, f3thho84or4rhnubxrhit9zhl, dz7lkt8gh069vrkmoflcm0fkl, 7ouo3qztrs5lytmtji95oesph, 3yjqr9srzz3p1xjgdgckqvtre, epgsg9k2x61xgkksj1kzdum6t, 8jc8ndxlodfrhxxao3k1fknbo, 268e2ppfsr38qa55vlwl37a50",4122594115,197,12664,4122594117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122594105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4122594109,130,7,4122594111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4122594107,59,"1, 4, 25, 22, 6, 3, 24, 17, 10, 8, 7, 5, 9, 11, 13, 14, 21, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524392639,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-03-25T12:45:48.321Z,2023-03-25T12:45:50Z,4122626727,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524392637,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2023-03-25T12:45:48.321Z,2023-03-25T12:45:48Z,4122626723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524392653,3,1,1,0,0,9s9jvki6htleffykj88qcpwpy,1,50,50,2023-03-25T12:45:48.421Z,2023-03-25T13:01:34Z,4122626797,140,42.0,4122626803,213,3.1,4122626795,56,Back,4122626805,279,S,4122626799,141,50.1,4122626801,212,8.4,,,,,,,dsm8r3i2k45d7vlqkmzaog9w4,Z. Stiévenart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524392657,4,1,1,0,2,9s9jvki6htleffykj88qcpwpy,0,41.9,50,2023-03-25T12:45:50.709Z,2023-03-25T12:45:52Z,4122626831,155,,4122626839,212,45.0,4122626835,140,76.7,4122626841,213,0.6,4122626843,1,,4122626837,141,88.6,4122626833,56,Left,,,,2cp4j91pqwjvy7as74ckhc4wl,L. Cance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524392671,3,1,1,0,4,axvm5zg0mk4bp06wpec9vw27e,1,29.7,23.6,2023-03-25T12:45:52.508Z,2023-03-25T12:45:55Z,4122626915,3,,4122626923,212,8.5,4122626919,140,33.7,4122626917,56,Back,4122626925,213,1.1,4122626921,141,34.5,,,,,,,2iu88022lwj2uxr1hn0og7qax,L. Goetsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524392675,4,49,1,0,7,axvm5zg0mk4bp06wpec9vw27e,1,33.7,34.5,2023-03-25T12:45:55.565Z,2023-03-25T12:45:55Z,,,,,,,,,,,,,,,,,,,,,,,,,4x3fxr67fofstbqjpkoxra7rp,E. Tyryshkina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524392677,5,50,1,0,7,axvm5zg0mk4bp06wpec9vw27e,1,35.3,30.4,2023-03-25T12:45:56.125Z,2023-03-25T12:45:58Z,4122626941,56,Back,4122626963,233,5,4122626943,286,,,,,,,,,,,,,,,,,4x3fxr67fofstbqjpkoxra7rp,E. Tyryshkina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524392679,5,7,1,0,7,9s9jvki6htleffykj88qcpwpy,1,64.7,69.6,2023-03-25T12:45:56.126Z,2023-03-25T12:45:58Z,4122626959,233,5,4122626951,56,Center,4122626953,285,,,,,,,,,,,,,,,,,2cp4j91pqwjvy7as74ckhc4wl,L. Cance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
