id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/13/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2490065961,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-12-10T12:44:29.894Z,2022-12-10T13:44:00Z,3939242489,130,2,3939242497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939242491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939242483,30,"dfcxvz3flh0w54vhso9xpk1d5, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, 4x3fxr67fofstbqjpkoxra7rp, f3thho84or4rhnubxrhit9zhl, eaxf4zra7v3sknq7wrdlk7g0l, desenv3bwtw96iiwqb1gnvth, eko9p1p9gjg7gxjla6chb6i95, 792nmu21pzzd6eak34jk1qlwq, 7ouo3qztrs5lytmtji95oesph, dvd7yfrkq6wl6de389go6r7ro, 9k4n3testzamjmqoda5g4k3x1, 7lqdu42zczlrnowx70hu12sb9, 3yjqr9srzz3p1xjgdgckqvtre, cc9j8gbv04g55nbv83rgckf84, ujjsxo0eqoad5gi3q52ohogk, 5rk18n26jpnvcmaavaz2uw7x0, jzfnrsd8aixhycspwias4tii",3939242485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3939242493,194,eko9p1p9gjg7gxjla6chb6i95,3939242495,197,12664,3939242487,59,"1, 4, 25, 22, 5, 3, 17, 6, 10, 11, 27, 7, 8, 13, 16, 19, 32, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490066301,1,34,16,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2022-12-10T12:45:09.726Z,2022-12-10T13:51:57Z,3939244467,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3939244473,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939244475,194,dpyv59tmgrenfals4e16d5lre,3939244479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939244477,197,12241,3939244465,30,"1tvu4rv4o96wqjzk836y9bp3p, dpyv59tmgrenfals4e16d5lre, 2o9qsqvvvl3x6oeacd8iugbv8, uspe8sp6q4a5o6kc9n6rnyp6, dvyjggz5eiinhhozhb17s707p, dq65c3jm6mlu3mzug9b0z3ytw, cuy5d1nzj2yd36g3fydirt562, 4rdywd4n4j0cdzfoifpd35ujt, ezhkluh7xo0zv6t8zf5oab0q2, 4jxsimbrhvzfwfc3krnld59wq, aga4leu1tmnv7kibufwr119be, wibn2uli25nw0w4ddbohhnje, aezrukbmz28x3b11eq9c5m0ru, 4p2fapncvvibg0l9ungou0tbe, ehxz768zrgon8drwzlso5k0t0, ccz23lbc4iuxsq4tcplzv37ys, 4tsbzybsipqmnahwgm19uyivo, dxojafbkfxjskl0ek4nucrnpx",3939244469,59,"1, 22, 21, 15, 5, 4, 19, 8, 7, 6, 10, 9, 11, 13, 14, 17, 25, 30",3939244471,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083409,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-12-10T13:30:49.201Z,2022-12-10T13:30:49Z,3939338149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083415,2,32,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2022-12-10T13:30:49.201Z,2022-12-10T13:30:51Z,3939338167,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083425,3,1,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,49.9,50.1,2022-12-10T13:30:49.301Z,2022-12-10T13:31:07Z,3939338207,56,Back,3939338215,213,3.1,3939338213,212,16.7,3939338217,279,S,3939338209,140,34.0,3939338211,141,50.7,,,,,,,7ouo3qztrs5lytmtji95oesph,M. Terchoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083447,4,1,1,0,2,axvm5zg0mk4bp06wpec9vw27e,1,35,48.2,2022-12-10T13:30:51.871Z,2022-12-10T13:30:54Z,3939338339,141,27.4,3939338327,56,Back,3939338343,213,5.2,3939338341,212,15.9,3939338337,140,41.9,,,,,,,,,,eko9p1p9gjg7gxjla6chb6i95,H. Fercocq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083463,5,1,1,0,4,axvm5zg0mk4bp06wpec9vw27e,1,42,24.9,2022-12-10T13:30:54.080Z,2022-12-10T13:30:58Z,3939338433,140,41.4,3939338435,141,7.7,3939338437,212,11.7,3939338431,56,Back,3939338439,213,4.7,,,,,,,,,,f3thho84or4rhnubxrhit9zhl,M. Grec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083467,6,1,1,0,9,axvm5zg0mk4bp06wpec9vw27e,1,36.6,9.2,2022-12-10T13:30:58.320Z,2022-12-10T13:31:00Z,3939338473,213,1.9,3939338467,140,33.4,3939338471,212,10.6,3939338469,141,24.0,3939338465,56,Back,,,,,,,,,,2iu88022lwj2uxr1hn0og7qax,L. Goetsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083477,7,1,1,0,10,axvm5zg0mk4bp06wpec9vw27e,1,33.4,24,2022-12-10T13:31:00.079Z,2022-12-10T13:31:02Z,3939338507,140,23.5,3939338513,213,3.9,3939338505,56,Back,3939338509,141,10.6,3939338511,212,13.8,,,,,,,,,,desenv3bwtw96iiwqb1gnvth,R. Lavaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083519,8,1,1,0,13,axvm5zg0mk4bp06wpec9vw27e,1,24.1,12.5,2022-12-10T13:31:02.575Z,2022-12-10T13:31:08Z,3939338757,56,Back,3939338761,141,59.0,3939338763,212,31.9,3939338765,213,1.7,3939338759,140,19.8,,,,,,,,,,f3thho84or4rhnubxrhit9zhl,M. Grec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
