id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/12/value,qualifier/9/value,qualifier/11/value
2488586283,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-12-02T16:19:05.564Z,2022-12-02T16:19:05Z,3931399027,130,12,3931399029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931399033,197,9452,3931399021,30,"eysw04bv1brzlph7v3w06sm39, 1iy47sqcjh4x0w7bvvno90xxx, cwudro7behcx3pta4l4na4a5m, 19awb0feelm6k12ooavqb5621, 7n7ebty9p63lyd49l0jcs1z9x, 757os3ykn2cuocj7tr4dqnw89, 6yh4l888isxggjgd4a6p4ss0l, ao9cgwud5le6r07itko3j4y51, 7xb0niqg08hrxk8i2nq8zvfth, eku11vja5c7dk4ijb1kzjjeuh, dll89ri6yl7ufipj37pyfmzmd, bff3wb6l4epccig9p8zxewx9m, 1n48nxf4v6reoxuyai88haw6i, 4lj04oct1utmn4skdpqmnfn8q, 6o0xf7vl4enney4rtwerkb5k9, 2by52fw1zojghjkbe3cj1yjmd, a6x0w263q3g772n9qk4u22rc9, cyobo9opjbd532a2wx1di9aay",3931399035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931399031,194,6yh4l888isxggjgd4a6p4ss0l,3931399025,59,"1, 25, 3, 24, 2, 20, 4, 13, 11, 7, 6, 10, 12, 15, 17, 18, 30, 33",3931399023,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488586743,1,34,16,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2022-12-02T16:23:59.625Z,2022-12-02T17:08:57Z,3931401517,194,akldj20vfqfopuvurujsgtsd1,3931401521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931401519,197,8452,3931401511,59,"1, 12, 7, 10, 25, 4, 27, 21, 13, 8, 9, 2, 17, 19, 20, 22, 30, 29",3931401507,30,"7ei82jx0voz3m7g64d9ewmggl, 7mehuya25b282lf1aqllzc3px, ejzz3wi6gxujl6idun7k9wmvp, akldj20vfqfopuvurujsgtsd1, 3taxlkn9lb7otwvgbx9gyo82x, cf88cbpwlbfw6ampeklh3kcbu, 996uvthtn0ho4doic5mcty6z9, 8lqbmqjrc7ikjm0me2fsdej11, 1jlc387u7fdpnnus9nlsb179w, 3o1we6pb4axflmhkn1r0b01xx, 8ls23zdsn7vn3bsx8o3gzwrh0, arw9e50in9zw8e9eoul9x8rje, 53h7svpak7gxkotf27l15ibpx, et3yygjf96h7sgd43lb5t1yj8, 552lzdgzrbb27bech7ow3v9hx, 63atfboq056luh7gzplxooyui, 2zxnm6bkhkjolx1esz593wk45, 9k44thez31exd8pbq7i5wdbs9",3931401515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931401509,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3931401513,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488589753,2,32,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2022-12-02T17:00:21.035Z,2022-12-02T17:00:21Z,3931418529,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488589755,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-12-02T17:00:21.035Z,2022-12-02T17:00:23Z,3931418531,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488589757,3,1,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,49.9,50.7,2022-12-02T17:00:21.135Z,2022-12-02T17:12:08Z,3931418541,213,2.8,3931418539,212,15.2,3931418537,141,59.0,3931418535,140,36.5,3931418543,279,S,3931418533,56,Back,,,,,,,7xb0niqg08hrxk8i2nq8zvfth,N. Mondésir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488589759,4,1,1,0,3,2w4xxgpg4t4h5b3yl74egastz,1,40.4,59.3,2022-12-02T17:00:24.984Z,2022-12-02T17:00:28Z,3931418557,213,2.3,3931418549,56,Back,3931418553,141,76.9,3931418555,212,15.5,3931418551,140,31.0,,,,,,,,,,dll89ri6yl7ufipj37pyfmzmd,C. Bilbault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488589761,5,1,1,0,7,2w4xxgpg4t4h5b3yl74egastz,1,28,77.8,2022-12-02T17:00:28.615Z,2022-12-02T17:00:31Z,3931418563,56,Back,3931418565,140,25.9,3931418571,213,4.6,3931418567,141,49.3,3931418569,212,19.5,,,,,,,,,,19awb0feelm6k12ooavqb5621,O. Deslandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488589763,6,1,1,0,10,2w4xxgpg4t4h5b3yl74egastz,1,27.1,47.9,2022-12-02T17:00:31.480Z,2022-12-02T17:00:34Z,3931418581,212,17.5,3931418575,56,Back,3931418577,140,27.8,3931418579,141,22.2,3931418583,213,4.8,,,,,,,,,,7n7ebty9p63lyd49l0jcs1z9x,L. Gevitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488589765,7,1,1,0,13,2w4xxgpg4t4h5b3yl74egastz,1,27.9,24.9,2022-12-02T17:00:34.712Z,2022-12-02T17:00:40Z,3931418587,56,Back,3931418597,1,,3931418591,141,76.1,3931418589,140,26.7,3931418593,212,34.8,3931418595,213,1.6,,,,,,,757os3ykn2cuocj7tr4dqnw89,M. Lakrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488589767,8,1,1,0,19,2w4xxgpg4t4h5b3yl74egastz,1,35.4,75.7,2022-12-02T17:00:40.792Z,2022-12-02T17:00:43Z,3931418605,141,92.3,3931418603,140,45.7,3931418607,212,15.6,3931418609,213,0.8,3931418601,56,Back,,,,,,,,,,19awb0feelm6k12ooavqb5621,O. Deslandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
