id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2511832573,1,34,16,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2023-02-25T11:59:35.085Z,2023-02-25T14:15:07Z,4053946237,194,jbxmumw5e6sad0zo1hljqnl5,4053946231,59,"16, 17, 13, 7, 8, 19, 20, 9, 11, 23, 14, 1, 5, 15, 18, 22, 26",4053946239,197,8471,4053946235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4053946233,130,5,4053946229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4053946241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4053946227,30,"3dfjmvoka2j9pw4s7z7vac0r9, 5d6w6h4s9rfioy07y1rqrmgyy, 24w5egwdnqme3z091t0e71c2y, 3vpsxb6kzdffwgumf9mfcmms5, 7gisthugglsa8l3wah7gw2klx, eafhhlki76tgbbrwgeof4spyi, 2k7qjez21ghq91378ecc585w5, jbxmumw5e6sad0zo1hljqnl5, 3nahmpoi0glxeu95ip8hx8odm, 1eo54huy053pgofiws2n36s16, 5vvgnuyaxp4x7hvzmgkku3pm2, 3h1cw632st7suexo3fo6aremt, c59ms3k7ezd0x0qgmmq734lqs, 9i6rsrclokuoxbbepiw0xehre, ev3mgnq60hfy9raxynpjhj3mc, 7oqvkyby3x041hlfoxo5bkxlg, osvwpq7pwiy2ixjqcpkp3rbo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511836459,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2023-02-25T12:07:25.235Z,2023-02-25T13:09:51Z,4053963955,59,"1, 20, 24, 6, 12, 2, 25, 4, 15, 13, 3, 30, 33, 34, 35, 37, 38",4053963967,197,8453,4053963969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4053963951,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4053963947,30,"eysw04bv1brzlph7v3w06sm39, 757os3ykn2cuocj7tr4dqnw89, 19awb0feelm6k12ooavqb5621, dll89ri6yl7ufipj37pyfmzmd, 1n48nxf4v6reoxuyai88haw6i, 7n7ebty9p63lyd49l0jcs1z9x, 1iy47sqcjh4x0w7bvvno90xxx, 6yh4l888isxggjgd4a6p4ss0l, 4lj04oct1utmn4skdpqmnfn8q, ao9cgwud5le6r07itko3j4y51, cwudro7behcx3pta4l4na4a5m, a6x0w263q3g772n9qk4u22rc9, cyobo9opjbd532a2wx1di9aay, eh2jgxy3h28cs4cjv0urp41lg, 2wpsh9avzdnm403o0n4gx83ro, 9jsgojivfuxkhspaabplv0pw4, 3x1kbn2xva6oo50vsao0jcic",4053963959,130,8,4053963965,194,6yh4l888isxggjgd4a6p4ss0l,4053963963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511859223,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2023-02-25T12:45:30.659Z,2023-02-25T12:45:31Z,4054075609,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511859217,2,32,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2023-02-25T12:45:30.659Z,2023-02-25T12:45:30Z,4054075581,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511859269,3,1,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,50.2,49.7,2023-02-25T12:45:30.759Z,2023-02-25T12:45:35Z,4054075833,213,2.7,4054075835,279,S,4054075827,140,34.9,4054075829,141,59.9,4054075831,212,17.5,4054075825,56,Back,,,,,,,3nahmpoi0glxeu95ip8hx8odm,A. Péniguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511859285,4,1,1,0,4,drnln5nhp7dqype6j3upkoiqp,1,36.1,49.1,2023-02-25T12:45:35.471Z,2023-02-25T12:45:37Z,4054075947,56,Back,4054075951,141,33.3,4054075949,140,35.6,4054075955,213,4.7,4054075953,212,10.8,,,,,,,,,,1eo54huy053pgofiws2n36s16,N. Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511859329,5,1,1,0,6,drnln5nhp7dqype6j3upkoiqp,1,37.6,29.7,2023-02-25T12:45:37.631Z,2023-02-25T12:45:40Z,4054076095,56,Back,4054076101,212,17.1,4054076097,140,43.2,4054076103,213,5.1,4054076099,141,6.1,,,,,,,,,,jbxmumw5e6sad0zo1hljqnl5,S. Cambot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511859347,6,1,1,0,10,drnln5nhp7dqype6j3upkoiqp,1,38.3,9.2,2023-02-25T12:45:40.711Z,2023-02-25T12:45:42Z,4054076185,56,Back,4054076193,213,2.3,4054076189,141,30.9,4054076187,140,26.2,4054076191,212,19.5,,,,,,,,,,2k7qjez21ghq91378ecc585w5,L. Teinturier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511859381,7,1,1,0,11,drnln5nhp7dqype6j3upkoiqp,1,27.1,38.5,2023-02-25T12:45:42.511Z,2023-02-25T12:45:46Z,4054076409,140,23.8,4054076415,213,1.8,4054076407,56,Back,4054076413,212,17.5,4054076411,141,63.7,,,,,,,,,,7gisthugglsa8l3wah7gw2klx,H. Mansuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511859393,8,1,1,0,15,drnln5nhp7dqype6j3upkoiqp,1,27.3,69.4,2023-02-25T12:45:46.095Z,2023-02-25T12:45:48Z,4054076459,56,Back,4054076465,212,15.5,4054076467,213,1.5,4054076461,140,28.0,4054076463,141,92.1,,,,,,,,,,eafhhlki76tgbbrwgeof4spyi,E. Jézéquel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
