id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2463761587,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-09-24T11:36:58.577Z,2022-09-24T12:32:55Z,3800191075,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3800191069,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3800191067,30,"dtl2shnzdg739pkag6fplb42y, 6xu7shoi00qiogo7akqo1xsrt, 5orsug2d4b7zzjat6eh9ks2qd, 8ra0s724ht9u3luvku2ytnrze, 5es3kc7x38rotmzzcs46kb3hm, 9mq9unf2aecualxxm9gvnppl, 9rab5estxnvvhj8evql7j68rt, 2avvvwtcdl6hmzxei5qhjo4ph, 56n1erg5gb7fq7ab8hz42bug9, b0a55g6cu6u3fl9vbuvynx05, 2cp4j91pqwjvy7as74ckhc4wl, a27580ah1idvwqjbscx0l4x78, 1nyb823fkrzfuu4wczhgog7ah, 8q7yvvg7c3uth4j25m162qq5l, dsm8r3i2k45d7vlqkmzaog9w4, dhmjb5r24tlk47urk93o5kj1m, 1fcucvr07kupgc9ivux6cf76c, 50k8dmb17hvqbq37ae3p90aju",3800191081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3800191079,197,17016,3800191077,194,2cp4j91pqwjvy7as74ckhc4wl,3800191071,59,"30, 21, 23, 14, 4, 22, 15, 24, 8, 12, 10, 1, 20, 6, 7, 13, 18, 26",3800191073,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463763759,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-09-24T11:44:06.659Z,2022-09-24T12:30:03Z,3800200977,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3800200971,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3800200965,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3800200973,194,9r0t3f2nw0d1a17c9onvjgd05,3800200975,197,8429,3800200963,30,"7iuwrwcupehj978vpf8sep591, ero1axtkr33y6yetn4uti2oyx, 3o5f01ay5uqzeb3xunhguvsyy, 2to7qgaomc72knk6y1689ihka, 9r0t3f2nw0d1a17c9onvjgd05, 3edubak34lsocvkirgryo8vd, q195fj3dlx9i3r0zno98nhuc, 3w9nqzmvm6df5becqtvypo5w5, aeoazf90glk79a2puhpm06pyh, b062pdmskviwqwzf5dckoffmd, 1vj4sunehr71tbbpu6zsp6dw5, 58zv1pd350niecmu275p4xyqc, ds4tjev271co53fycw64y4kfe, 6oxe2vmgkxzl4dfz5cdqbajmd, es2n7ru62e3o5w19jndi83pxw, 5b3esi4e6l86aqvprt9l16uqc, e9e2sdrwd5g6m8kfpxpe8ml79, a36nwipwjfluk0rjfjzdiflk9",3800200969,130,10,3800200967,59,"30, 3, 11, 4, 22, 5, 15, 14, 26, 17, 7, 13, 8, 9, 16, 19, 10, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775629,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-09-24T12:31:10.256Z,2022-09-24T12:31:10Z,3800258155,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775633,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-09-24T12:31:10.256Z,2022-09-24T12:31:12Z,3800258169,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775645,3,1,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,49.9,50,2022-09-24T12:31:10.356Z,2022-09-24T12:31:13Z,3800258217,141,61.1,3800258223,279,S,3800258219,212,15.1,3800258213,56,Back,3800258221,213,2.6,3800258215,140,37.4,,,,,,,aeoazf90glk79a2puhpm06pyh,D. Roux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775655,4,1,1,0,3,dgpni8xwxjhgekjmg0m8bb6nv,1,34.2,57,2022-09-24T12:31:13.621Z,2022-09-24T12:31:15Z,3800258271,141,38.6,3800258273,212,13.7,3800258275,213,5.1,3800258269,140,39.6,3800258267,56,Back,,,,,,,,,,3w9nqzmvm6df5becqtvypo5w5,C. Couturier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775661,5,1,1,0,5,dgpni8xwxjhgekjmg0m8bb6nv,1,39.2,35.8,2022-09-24T12:31:15.541Z,2022-09-24T12:31:17Z,3800258309,140,30.4,3800258307,56,Back,3800258315,213,4.1,3800258313,212,15.4,3800258311,141,17.7,,,,,,,,,,b062pdmskviwqwzf5dckoffmd,L. Bourgouin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775663,6,1,1,0,6,dgpni8xwxjhgekjmg0m8bb6nv,0,29,17,2022-09-24T12:31:17.221Z,2022-09-24T12:31:17Z,3800258325,212,7.5,3800258327,213,1.6,3800258321,140,28.8,3800258319,56,Back,3800258323,141,28.0,,,,,,,,,,ero1axtkr33y6yetn4uti2oyx,M. Belkhiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775673,3,61,1,0,9,9s9jvki6htleffykj88qcpwpy,1,68.2,71.4,2022-09-24T12:31:20.033Z,2022-09-24T12:31:20Z,3800258387,56,Center,,,,,,,,,,,,,,,,,,,,,,5orsug2d4b7zzjat6eh9ks2qd,C. Bornes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775681,4,49,1,0,11,9s9jvki6htleffykj88qcpwpy,1,38.3,76,2022-09-24T12:31:21.792Z,2022-09-24T12:31:21Z,,,,,,,,,,,,,,,,,,,,,,,,,5es3kc7x38rotmzzcs46kb3hm,É. Sévenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775709,5,1,1,0,12,9s9jvki6htleffykj88qcpwpy,1,41.4,74.2,2022-09-24T12:31:22.368Z,2022-09-24T12:31:29Z,3800258573,56,Back,3800258581,213,3.6,3800258579,212,13.2,3800258577,141,64.9,3800258575,140,30.4,,,,,,,,,,5es3kc7x38rotmzzcs46kb3hm,É. Sévenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775739,6,1,1,0,19,9s9jvki6htleffykj88qcpwpy,1,24.7,70,2022-09-24T12:31:29.647Z,2022-09-24T12:31:32Z,3800258659,212,18.3,3800258657,141,55.2,3800258655,140,10.1,3800258661,213,3.7,3800258653,56,Back,,,,,,,,,,8ra0s724ht9u3luvku2ytnrze,F. Bogi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775743,7,1,1,0,22,9s9jvki6htleffykj88qcpwpy,1,10.3,55.2,2022-09-24T12:31:32.288Z,2022-09-24T12:31:34Z,3800258693,140,26.8,3800258697,212,25.4,3800258691,56,Back,3800258699,213,5.5,3800258695,141,27.9,,,,,,,,,,dtl2shnzdg739pkag6fplb42y,M. Sieber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
