id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2487721701,1,34,16,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-11-26T12:39:53.115Z,2022-11-26T12:39:53Z,3926831921,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3926831931,197,9552,3926831933,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926831929,194,eblfqwhpxhw6775m134ov2e0a,3926831919,30,"dwjgtp47ky7v5as2a2jradihh, 6rcnj96do9ermnza1covi9ujt, 7h91cdyjl0cpxj5lpzdsto3it, 664ior41q0qf71vnhq0tp1j9x, eblfqwhpxhw6775m134ov2e0a, 2mo6msido3zv2vk24hed9rs9h, cjgr7t23bk1l43hegrkmtslih, ik5uqc55sdiwjjzh28c21byt, 87fq93e9x1yy4thmeituciycq, 88n7oswbclrfxt277vp6vpgd0, bly2raemyl0xp39jiktm4u5sl, 9214qm6nuq4zwnnvzmugrfutx, eihtktc0tfia1tsqydg7pvil1, 5kg2obqjcypb3d2yt4d4xoo2x, 5x0qvm5o4qbijkh8r8vs2ys45, 2pd1juglwcvhspyva4soomyy2, 79u53wc88br80qmqpdumqlct0, 5cu1dzqzd0izl1lp0vy3x8qok",3926831925,130,10,3926831927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3926831923,59,"16, 18, 8, 3, 29, 27, 22, 7, 23, 9, 6, 1, 2, 14, 10, 19, 26, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487722307,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-11-26T12:41:24.652Z,2022-11-26T13:35:08Z,3926835281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3926835291,197,12664,3926835285,130,4,3926835289,194,eko9p1p9gjg7gxjla6chb6i95,3926835293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926835279,30,"dfcxvz3flh0w54vhso9xpk1d5, jzfnrsd8aixhycspwias4tii, e5b9w1hq610saxvevecb6zzl5, 2iu88022lwj2uxr1hn0og7qax, f3thho84or4rhnubxrhit9zhl, eaxf4zra7v3sknq7wrdlk7g0l, eko9p1p9gjg7gxjla6chb6i95, 7ouo3qztrs5lytmtji95oesph, 792nmu21pzzd6eak34jk1qlwq, epgsg9k2x61xgkksj1kzdum6t, 4x3fxr67fofstbqjpkoxra7rp, 3yjqr9srzz3p1xjgdgckqvtre, cc9j8gbv04g55nbv83rgckf84, desenv3bwtw96iiwqb1gnvth, dvd7yfrkq6wl6de389go6r7ro, 5rk18n26jpnvcmaavaz2uw7x0, 1z1h7y606nt8pofw0tbupkx78, 79y80xxga3tl4fmfrzt0xu51w",3926835283,59,"1, 24, 25, 4, 5, 3, 6, 11, 10, 14, 22, 13, 16, 17, 27, 32, 33, 34",3926835287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741879,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-11-26T13:30:40.016Z,2022-11-26T13:37:05Z,3926940039,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741877,2,32,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-11-26T13:30:40.016Z,2022-11-26T13:37:04Z,3926940037,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741971,3,79,1,0,12,axvm5zg0mk4bp06wpec9vw27e,0,0,0,2022-11-26T13:32:16.972Z,2022-11-26T13:32:17Z,3926940537,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742587,4,43,1,1,50,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-11-26T13:33:55.147Z,2022-11-26T13:33:58Z,3926943819,285,0,3926943967,144,74,3926943817,56,Center,,,,,,,,,,,,,,,,792nmu21pzzd6eak34jk1qlwq,M. Roth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487742999,5,79,1,4,17,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-11-26T13:34:57.337Z,2022-11-26T13:34:57Z,3926946127,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487743051,3,27,1,4,22,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-11-26T13:35:02.362Z,2022-11-26T13:48:12Z,3926970661,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487743019,6,27,1,4,22,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-11-26T13:35:02.362Z,2022-11-26T13:48:12Z,3926970679,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487743483,4,28,1,5,46,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-11-26T13:36:26.307Z,2022-11-26T13:36:27Z,3926948603,55,3,3926948639,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
