id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,keyPass,assist,qualifier/15/value,qualifier/17/value,qualifier/16/value
2486636109,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-11-19T12:47:10.893Z,2022-11-19T13:43:23Z,3921110573,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3921110567,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",3921110569,59,"30, 3, 5, 6, 4, 22, 12, 10, 8, 17, 26, 13, 1, 14, 15, 24",3921110575,194,9r0t3f2nw0d1a17c9onvjgd05,3921110565,30,"7iuwrwcupehj978vpf8sep591, ero1axtkr33y6yetn4uti2oyx, 3edubak34lsocvkirgryo8vd, c99gqg4cu9eqy5yu8fga71vit, 2to7qgaomc72knk6y1689ihka, 9r0t3f2nw0d1a17c9onvjgd05, a52izyii7s44qihbp4upbukiy, e9e2sdrwd5g6m8kfpxpe8ml79, ds4tjev271co53fycw64y4kfe, b062pdmskviwqwzf5dckoffmd, aeoazf90glk79a2puhpm06pyh, 58zv1pd350niecmu275p4xyqc, 24ptrmidgqdyq5sryicc2g9hw, 3w9nqzmvm6df5becqtvypo5w5, q195fj3dlx9i3r0zno98nhuc, a36nwipwjfluk0rjfjzdiflk9",3921110571,130,7,3921110577,197,8688,3921110579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486636369,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-11-19T12:48:00.515Z,2022-11-19T13:54:49Z,3921112005,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921112003,130,10,3921111997,30,"eysw04bv1brzlph7v3w06sm39, 1iy47sqcjh4x0w7bvvno90xxx, cwudro7behcx3pta4l4na4a5m, 19awb0feelm6k12ooavqb5621, 757os3ykn2cuocj7tr4dqnw89, 1n48nxf4v6reoxuyai88haw6i, eku11vja5c7dk4ijb1kzjjeuh, 6yh4l888isxggjgd4a6p4ss0l, 7xb0niqg08hrxk8i2nq8zvfth, 4lj04oct1utmn4skdpqmnfn8q, ao9cgwud5le6r07itko3j4y51, 7n7ebty9p63lyd49l0jcs1z9x, dll89ri6yl7ufipj37pyfmzmd, bff3wb6l4epccig9p8zxewx9m, 6o0xf7vl4enney4rtwerkb5k9, 2by52fw1zojghjkbe3cj1yjmd, a6x0w263q3g772n9qk4u22rc9, cyobo9opjbd532a2wx1di9aay",3921111999,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3921112001,59,"1, 25, 3, 24, 20, 12, 7, 4, 11, 15, 13, 2, 6, 10, 17, 18, 30, 33",3921112007,194,6yh4l888isxggjgd4a6p4ss0l,3921112009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3921141637,197,8453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486645633,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-11-19T13:32:14.284Z,2022-11-19T13:35:22Z,3921162579,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486645629,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-11-19T13:32:14.284Z,2022-11-19T13:35:15Z,3921162565,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486645641,3,1,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,0,50,50.3,2022-11-19T13:32:14.384Z,2022-11-19T14:31:23Z,3921162641,56,Back,3921243979,189,,3921162647,212,17.6,3921162649,213,3.2,3921162643,140,33.2,3921162651,279,S,3921162645,141,49.7,,,,b062pdmskviwqwzf5dckoffmd,L. Bourgouin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486645653,4,79,1,0,3,dgpni8xwxjhgekjmg0m8bb6nv,0,0,0,2022-11-19T13:32:17.670Z,2022-11-19T13:32:17Z,3921162685,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486646625,5,79,1,3,12,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-11-19T13:35:26.555Z,2022-11-19T13:35:26Z,3921167689,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486646665,3,1,1,3,21,2w4xxgpg4t4h5b3yl74egastz,0,74.5,17.1,2022-11-19T13:35:35.384Z,2022-11-19T13:35:37Z,3921167907,213,0.8,3921167895,2,,3921167901,140,91.3,3921167903,141,42.4,3921167899,56,Center,3921167897,155,,3921167905,212,24.6,,,,1iy47sqcjh4x0w7bvvno90xxx,F. Robert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486646677,6,12,1,3,23,dgpni8xwxjhgekjmg0m8bb6nv,1,8.2,66.4,2022-11-19T13:35:38.163Z,2022-11-19T13:35:39Z,3921167961,15,,3921167955,213,0.4,3921167947,140,32.5,3921167953,212,27.4,3921167951,141,81.1,3921167943,56,Back,,,,,,,2to7qgaomc72knk6y1689ihka,C. Collin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486646691,7,1,1,3,27,dgpni8xwxjhgekjmg0m8bb6nv,0,32.8,82.1,2022-11-19T13:35:41.802Z,2022-11-19T13:35:42Z,3921168085,212,39.6,3921168077,157,,3921168079,56,Left,3921168083,141,100.0,3921168087,213,0.3,3921168089,1,,3921168081,140,68.2,,,,a52izyii7s44qihbp4upbukiy,J. Jinantuya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
