id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/14/value,qualifier/12/value
2478325853,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-10-28T18:25:13.355Z,2022-10-28T18:58:12Z,3877565439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3877565441,194,1ck8f8510t6ei80haqe2vqbpx,3877565431,30,"2f1e295qn6s9l5d6v1degrizt, dx5okwmzef2p09vgp02i1ucph, ehchjemv9fwcnwomosua92qqd, 7ak0q2t9ex8rcov81012amuad, 8iblvy7aw7kdghvke6s5gisid, 1mhjq24kq1fapaoib7lzb6b4l, 3uxijnhp1ibbqm6e4lfivq8k5, 7l931hwm1tajvf6r717biyw2d, 2n3sv3vt7ano86i5j9j3f8a95, 1ck8f8510t6ei80haqe2vqbpx, 1rsg1y7lx0ruqcwgj6c6oovdh, 8yebzwn5wynngu33kqcsh1fbp, byu5qg9zlu5w1e234xl2058iy, 94pv0j29t5jrfdc36o6791wp, aos03ja9xr5jr2w3e6t20p94a, 1ph6w6q8t75mov5fnnc8hda8k, afbretep8sws6f9hrnpghk416, cg4yqx0lth6d27oxlgwcuvdn9",3877565445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877565437,130,8,3877565443,197,13251,3877565433,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3877565435,59,"16, 27, 23, 18, 10, 19, 11, 22, 9, 17, 21, 1, 2, 7, 15, 24, 25, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478327119,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-10-28T18:27:05.358Z,2022-10-28T18:57:26Z,3877572411,130,12,3877572407,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3877572419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877572405,30,"eysw04bv1brzlph7v3w06sm39, 1iy47sqcjh4x0w7bvvno90xxx, 2by52fw1zojghjkbe3cj1yjmd, 19awb0feelm6k12ooavqb5621, 7n7ebty9p63lyd49l0jcs1z9x, 757os3ykn2cuocj7tr4dqnw89, ao9cgwud5le6r07itko3j4y51, 6yh4l888isxggjgd4a6p4ss0l, 7xb0niqg08hrxk8i2nq8zvfth, bff3wb6l4epccig9p8zxewx9m, eku11vja5c7dk4ijb1kzjjeuh, cwudro7behcx3pta4l4na4a5m, 1n48nxf4v6reoxuyai88haw6i, 4lj04oct1utmn4skdpqmnfn8q, 6o0xf7vl4enney4rtwerkb5k9, cyobo9opjbd532a2wx1di9aay, eh2jgxy3h28cs4cjv0urp41lg, kwlrohrhnn0dwmuxhguh3o5w",3877572409,59,"1, 25, 18, 24, 2, 20, 13, 4, 11, 10, 7, 3, 12, 15, 17, 33, 34, 40",3877572413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3877572415,194,6yh4l888isxggjgd4a6p4ss0l,3877572417,197,9144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349219,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-10-28T19:00:20.504Z,2022-10-28T19:00:20Z,3877690683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349223,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-10-28T19:00:20.504Z,2022-10-28T19:00:22Z,3877690693,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349231,3,1,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,49.7,49.9,2022-10-28T19:00:20.604Z,2022-10-28T19:02:48Z,3877690759,140,40.6,3877690761,141,60.6,3877690767,279,S,3877690757,56,Back,3877690765,213,2.5,3877690763,212,12.0,,,,,,,bff3wb6l4epccig9p8zxewx9m,E. Mbakem-Niaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349275,4,1,1,0,2,2w4xxgpg4t4h5b3yl74egastz,0,40,63.6,2022-10-28T19:00:23.014Z,2022-10-28T19:02:44Z,3877690987,213,5.7,3877690989,1,,3877690977,155,,3877690985,212,44.4,3877690981,140,75.9,3877690979,56,Center,3877690983,141,29.1,,,,eku11vja5c7dk4ijb1kzjjeuh,L. Khelifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349323,3,1,1,0,8,bdfjkux9o0vtsdig5zsbhtysq,1,27.5,71.1,2022-10-28T19:00:28.528Z,2022-10-28T19:00:30Z,3877691239,1,,3877691229,56,Back,3877691231,140,42.4,3877691237,213,0.6,3877691227,157,,3877691233,141,88.4,3877691235,212,19.6,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349325,4,49,1,0,9,bdfjkux9o0vtsdig5zsbhtysq,1,42.4,88.4,2022-10-28T19:00:30.253Z,2022-10-28T19:00:30Z,,,,,,,,,,,,,,,,,,,,,,,,,1rsg1y7lx0ruqcwgj6c6oovdh,O. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349355,5,1,1,0,9,bdfjkux9o0vtsdig5zsbhtysq,1,42.4,88.4,2022-10-28T19:00:30.381Z,2022-10-28T19:00:32Z,3877691381,56,Back,3877691393,213,3.0,3877691387,141,93.0,3877691383,140,25.7,3877691391,212,17.8,,,,,,,,,,1rsg1y7lx0ruqcwgj6c6oovdh,O. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349371,6,1,1,0,12,bdfjkux9o0vtsdig5zsbhtysq,1,25.7,93,2022-10-28T19:00:32.573Z,2022-10-28T19:00:34Z,3877691487,213,0.0,3877691485,212,34.4,3877691479,56,Left,3877691483,141,94.2,3877691489,1,,3877691477,155,,3877691481,140,58.5,,,,ehchjemv9fwcnwomosua92qqd,E. Aigbogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
