id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value
2463763713,1,34,16,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-09-24T11:43:57.849Z,2022-09-24T12:28:48Z,3800200771,130,8,3800200775,194,jbxmumw5e6sad0zo1hljqnl5,3800200765,30,"3h1cw632st7suexo3fo6aremt, 24w5egwdnqme3z091t0e71c2y, 9i6rsrclokuoxbbepiw0xehre, 5d6w6h4s9rfioy07y1rqrmgyy, eafhhlki76tgbbrwgeof4spyi, 7gisthugglsa8l3wah7gw2klx, 2k7qjez21ghq91378ecc585w5, 85cmw667ykiku1pzcj07jreg9, jbxmumw5e6sad0zo1hljqnl5, 7alrgsdv6ycykqgigqizax39x, 5vvgnuyaxp4x7hvzmgkku3pm2, 69myhtj81ne76e2j247op1qms, c59ms3k7ezd0x0qgmmq734lqs, c6wlz59l4w2pe0o5xj6nbks4q, 3nahmpoi0glxeu95ip8hx8odm, 7oqvkyby3x041hlfoxo5bkxlg, 1eo54huy053pgofiws2n36s16, bskf1il58p43z2gv68wwtmivo",3800200779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3800200769,59,"1, 13, 15, 17, 19, 8, 20, 10, 9, 25, 14, 33, 5, 6, 11, 22, 23, 30",3800200773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3800200777,197,13556,3800200767,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463764075,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-09-24T11:44:50.790Z,2022-09-24T12:27:39Z,3800202323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3800202327,130,23,3800202333,197,9974,3800202331,194,eko9p1p9gjg7gxjla6chb6i95,3800202335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3800202329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3800202321,30,"dfcxvz3flh0w54vhso9xpk1d5, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, eko9p1p9gjg7gxjla6chb6i95, f3thho84or4rhnubxrhit9zhl, eaxf4zra7v3sknq7wrdlk7g0l, 7lqdu42zczlrnowx70hu12sb9, 792nmu21pzzd6eak34jk1qlwq, 7ouo3qztrs5lytmtji95oesph, 3ck9n7pb3d1dc8qcdgkxm5m, dvd7yfrkq6wl6de389go6r7ro, 5rk18n26jpnvcmaavaz2uw7x0, dz7lkt8gh069vrkmoflcm0fkl, 3yjqr9srzz3p1xjgdgckqvtre, cc9j8gbv04g55nbv83rgckf84, desenv3bwtw96iiwqb1gnvth, 4x3fxr67fofstbqjpkoxra7rp, jzfnrsd8aixhycspwias4tii",3800202325,59,"1, 4, 25, 6, 5, 3, 8, 10, 11, 23, 27, 32, 9, 13, 16, 17, 22, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775485,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-09-24T12:30:23.047Z,2022-09-24T12:30:35Z,3800257347,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775407,2,43,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-09-24T12:30:23.047Z,2022-09-24T12:30:33Z,3800257311,144,32,3800257081,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775487,3,32,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-09-24T12:30:23.047Z,2022-09-24T12:30:36Z,3800257349,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775507,4,1,1,0,15,drnln5nhp7dqype6j3upkoiqp,1,50.4,49.3,2022-09-24T12:30:38.093Z,2022-09-24T12:30:41Z,3800257469,212,17.3,3800257471,213,2.7,3800257465,140,35.3,3800257463,56,Back,3800257467,141,59.6,,,,,,,,,,jbxmumw5e6sad0zo1hljqnl5,S. Cambot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775513,5,1,1,0,17,drnln5nhp7dqype6j3upkoiqp,0,33.9,58.5,2022-09-24T12:30:40.893Z,2022-09-24T12:30:42Z,3800257503,56,Center,3800257511,213,0.1,3800257507,141,62.7,3800257509,212,54.6,3800257501,155,,3800257505,140,85.8,3800257513,1,,,,,85cmw667ykiku1pzcj07jreg9,S. Daoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775541,3,4,1,0,24,axvm5zg0mk4bp06wpec9vw27e,1,17,35.8,2022-09-24T12:30:47.259Z,2022-09-24T12:31:10Z,3800257647,265,,3800257643,56,Back,3800258147,233,6,3800257649,285,,3800257645,152,,3800257641,13,,,,,,,,dfcxvz3flh0w54vhso9xpk1d5,L. Lichtfus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775601,6,4,1,0,24,drnln5nhp7dqype6j3upkoiqp,0,83,64.2,2022-09-24T12:30:47.260Z,2022-09-24T12:31:10Z,3800257993,265,,3800258151,233,3,3800257995,286,,3800257987,13,,3800257991,152,,3800257989,56,Center,,,,,,,5vvgnuyaxp4x7hvzmgkku3pm2,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775665,4,1,1,0,48,axvm5zg0mk4bp06wpec9vw27e,1,17.8,35.1,2022-09-24T12:31:11.084Z,2022-09-24T12:33:02Z,3800258347,213,0.1,3800258337,152,,3800258343,141,40.4,3800258333,5,,3800258349,1,,3800258339,56,Center,3800258345,212,47.0,3800258335,157,,dfcxvz3flh0w54vhso9xpk1d5,L. Lichtfus,3800258341,140,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
