id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/15/value,qualifier/16/value
2552264867,1,34,16,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2023-05-21T09:59:32.715Z,2023-05-21T10:41:00Z,4296457801,197,13555,4296457803,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296457795,130,8,4296457791,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4296457793,59,"16, 17, 13, 23, 8, 19, 14, 7, 20, 9, 11, 1, 3, 5, 33, 34, 35, 26",4296457797,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4296457799,194,jbxmumw5e6sad0zo1hljqnl5,4296457789,30,"3dfjmvoka2j9pw4s7z7vac0r9, 5d6w6h4s9rfioy07y1rqrmgyy, 24w5egwdnqme3z091t0e71c2y, 1eo54huy053pgofiws2n36s16, 7gisthugglsa8l3wah7gw2klx, eafhhlki76tgbbrwgeof4spyi, 5vvgnuyaxp4x7hvzmgkku3pm2, 3vpsxb6kzdffwgumf9mfcmms5, 2k7qjez21ghq91378ecc585w5, jbxmumw5e6sad0zo1hljqnl5, 3nahmpoi0glxeu95ip8hx8odm, 3h1cw632st7suexo3fo6aremt, 8huvsg62jytwo2odhcz4o1b10, c59ms3k7ezd0x0qgmmq734lqs, 69myhtj81ne76e2j247op1qms, 5689ghiqnts8d1mvwr6unjm6s, cnlp3hbnk2m2e8hizbniyc6j8, osvwpq7pwiy2ixjqcpkp3rbo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552267875,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2023-05-21T10:14:10.864Z,2023-05-21T10:43:24Z,4296475427,59,"30, 21, 11, 4, 26, 22, 24, 8, 15, 12, 10, 1, 20, 7, 9, 18, 23, 19",4296475423,30,"dtl2shnzdg739pkag6fplb42y, 6xu7shoi00qiogo7akqo1xsrt, 50ph0tkxvrb3syo76y5bjbcut, 5es3kc7x38rotmzzcs46kb3hm, 50k8dmb17hvqbq37ae3p90aju, 9mq9unf2aecualxxm9gvnppl, 2avvvwtcdl6hmzxei5qhjo4ph, 56n1erg5gb7fq7ab8hz42bug9, 9rab5estxnvvhj8evql7j68rt, b0a55g6cu6u3fl9vbuvynx05, 2cp4j91pqwjvy7as74ckhc4wl, a27580ah1idvwqjbscx0l4x78, 1nyb823fkrzfuu4wczhgog7ah, dsm8r3i2k45d7vlqkmzaog9w4, ewogcy2itdu7e8vujgkitc0h6, 1fcucvr07kupgc9ivux6cf76c, 5orsug2d4b7zzjat6eh9ks2qd, zzdeso5dawmdmq4u5vishhck",4296475425,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4296475429,130,11,4296475435,197,17016,4296475437,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296475433,194,2cp4j91pqwjvy7as74ckhc4wl,4296475431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271949,2,32,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2023-05-21T10:30:52.034Z,2023-05-21T10:30:54Z,4296495001,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271941,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2023-05-21T10:30:52.034Z,2023-05-21T10:30:52Z,4296494985,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271967,3,1,1,0,0,9s9jvki6htleffykj88qcpwpy,1,50.1,50.1,2023-05-21T10:30:52.134Z,2023-05-21T11:11:26Z,4296495093,213,2.8,4296495091,212,4.4,4296495087,140,46.1,4296495095,279,S,4296495085,56,Back,4296495089,141,52.1,,,,,,,9rab5estxnvvhj8evql7j68rt,O. Saunier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271985,4,1,1,0,2,9s9jvki6htleffykj88qcpwpy,0,46.2,52.1,2023-05-21T10:30:54.526Z,2023-05-21T10:30:57Z,4296495189,213,0.7,4296495187,212,49.9,4296495191,1,,4296495181,56,Left,4296495179,155,,4296495183,140,81.3,4296495185,141,100.0,,,,2cp4j91pqwjvy7as74ckhc4wl,L. Cance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552271991,5,5,1,0,5,9s9jvki6htleffykj88qcpwpy,0,79.6,101.5,2023-05-21T10:30:57.074Z,2023-05-21T10:39:01Z,4296515101,233,103,4296495223,347,,4296495221,56,Left,,,,,,,,,,,,,,,,2cp4j91pqwjvy7as74ckhc4wl,L. Cance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552275611,103,5,1,0,5,drnln5nhp7dqype6j3upkoiqp,1,20.4,-1.5,2023-05-21T10:30:57.074Z,2023-05-21T10:44:27Z,4296515079,233,5,4296515063,56,Back,4296515065,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272055,3,1,1,0,11,drnln5nhp7dqype6j3upkoiqp,1,12.9,0,2023-05-21T10:31:03.154Z,2023-05-21T10:38:42Z,4296495535,212,24.0,4296495537,213,0.2,4296495529,56,Back,4296495533,141,5.8,4296495531,140,35.2,4296514305,1,,4296514303,107,,,,,5d6w6h4s9rfioy07y1rqrmgyy,G. Kazadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272057,4,50,1,0,13,drnln5nhp7dqype6j3upkoiqp,1,34.4,11.8,2023-05-21T10:31:05.316Z,2023-05-21T10:31:10Z,4296495543,286,,4296495541,56,Back,4296495737,233,6,,,,,,,,,,,,,,,,3vpsxb6kzdffwgumf9mfcmms5,A. Lahmari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
