id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2526055155,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2023-03-31T17:57:17.058Z,2023-03-31T19:04:40Z,4150034723,194,dx5okwmzef2p09vgp02i1ucph,4150034727,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4150034721,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4150034717,59,"16, 27, 3, 8, 2, 19, 28, 22, 20, 11, 21, 1, 7, 9, 15, 24, 25, 31",4150034713,30,"2f1e295qn6s9l5d6v1degrizt, dx5okwmzef2p09vgp02i1ucph, ocdptd87q86ed74lanyfdij8, 7d4y77nkrn4w4dht1c4vr28yx, byu5qg9zlu5w1e234xl2058iy, 1mhjq24kq1fapaoib7lzb6b4l, cg4yqx0lth6d27oxlgwcuvdn9, 7l931hwm1tajvf6r717biyw2d, 9qidpdp5vlw8ma2z9synky6ms, 3uxijnhp1ibbqm6e4lfivq8k5, 1rsg1y7lx0ruqcwgj6c6oovdh, 8yebzwn5wynngu33kqcsh1fbp, 94pv0j29t5jrfdc36o6791wp, 2n3sv3vt7ano86i5j9j3f8a95, aos03ja9xr5jr2w3e6t20p94a, 1ph6w6q8t75mov5fnnc8hda8k, afbretep8sws6f9hrnpghk416, 2q1tt2u2h3q1hb3uz28rofzmc",4150034725,197,13251,4150034715,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4150034719,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526061513,1,34,16,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2023-03-31T18:07:57.693Z,2023-03-31T19:12:33Z,4150066987,59,"16, 17, 13, 22, 8, 19, 20, 23, 9, 11, 14, 1, 5, 7, 18, 25, 33, 34",4150066983,30,"3dfjmvoka2j9pw4s7z7vac0r9, 5d6w6h4s9rfioy07y1rqrmgyy, 24w5egwdnqme3z091t0e71c2y, 7oqvkyby3x041hlfoxo5bkxlg, 7gisthugglsa8l3wah7gw2klx, eafhhlki76tgbbrwgeof4spyi, 2k7qjez21ghq91378ecc585w5, 1eo54huy053pgofiws2n36s16, jbxmumw5e6sad0zo1hljqnl5, 3nahmpoi0glxeu95ip8hx8odm, 5vvgnuyaxp4x7hvzmgkku3pm2, 3h1cw632st7suexo3fo6aremt, c59ms3k7ezd0x0qgmmq734lqs, 3vpsxb6kzdffwgumf9mfcmms5, ev3mgnq60hfy9raxynpjhj3mc, 7alrgsdv6ycykqgigqizax39x, 69myhtj81ne76e2j247op1qms, cnlp3hbnk2m2e8hizbniyc6j8",4150066989,130,2,4150066985,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4150066997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4150066993,194,jbxmumw5e6sad0zo1hljqnl5,4150066991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4150066995,197,8471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526098011,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2023-03-31T19:01:23.184Z,2023-03-31T19:01:23Z,4150258459,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526098023,2,32,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2023-03-31T19:01:23.184Z,2023-03-31T19:01:25Z,4150258483,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526098055,3,1,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,50,50,2023-03-31T19:01:23.465Z,2023-03-31T19:02:41Z,4150258651,279,S,4150258643,140,49.6,4150258647,212,2.1,4150258641,56,Back,4150258645,141,46.9,4150258649,213,4.5,,,,,,,9qidpdp5vlw8ma2z9synky6ms,L. Ribadeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526098079,4,1,1,0,2,bdfjkux9o0vtsdig5zsbhtysq,1,49.6,46.9,2023-03-31T19:01:25.764Z,2023-03-31T19:02:37Z,4150258797,140,41.8,4150258795,56,Back,4150258799,141,47.0,4150258801,212,8.2,4150258803,213,3.1,,,,,,,,,,7l931hwm1tajvf6r717biyw2d,S. Vaysse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526098125,5,1,1,0,4,bdfjkux9o0vtsdig5zsbhtysq,0,41.8,47,2023-03-31T19:01:27.542Z,2023-03-31T19:01:31Z,4150259063,213,5.7,4150259051,140,66.8,4150259055,141,23.1,4150259059,212,30.9,4150259045,155,,4150259049,56,Center,,,,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526098101,3,44,1,0,5,drnln5nhp7dqype6j3upkoiqp,1,29.3,81,2023-03-31T19:01:28.642Z,2023-03-31T19:01:31Z,4150258895,56,Back,4150259161,233,6,4150258897,285,,,,,,,,,,,,,,,,,5vvgnuyaxp4x7hvzmgkku3pm2,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526098131,6,44,1,0,5,bdfjkux9o0vtsdig5zsbhtysq,0,70.7,19,2023-03-31T19:01:28.643Z,2023-03-31T19:01:32Z,4150259085,286,,4150259081,56,Right,4150259259,233,3,,,,,,,,,,,,,,,,9qidpdp5vlw8ma2z9synky6ms,L. Ribadeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526098113,4,1,1,0,5,drnln5nhp7dqype6j3upkoiqp,0,25.4,85,2023-03-31T19:01:28.882Z,2023-03-31T19:01:30Z,4150258979,141,100.0,4150258975,56,Back,4150258973,3,,4150258981,212,15.7,4150258977,140,35.8,4150258983,213,0.8,,,,,,,5vvgnuyaxp4x7hvzmgkku3pm2,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
