id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,assist,qualifier/12/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2457862499,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-09-10T11:48:20.068Z,2022-09-10T12:32:13Z,3768864045,194,b0badx1gx15s9wo6ly8z1rl61,3768864037,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3768864039,59,"1, 23, 5, 6, 26, 3, 14, 29, 12, 10, 11, 7, 9, 15, 16, 18, 19, 21",3768864047,197,8449,3768864035,30,"alr6k5xokhqe1xi6a5kdyj7x1, b0badx1gx15s9wo6ly8z1rl61, elbn5tbmbvbk8x7oxl2maia6s, 80dr0hzhre13aaavd0r4udpl, cz9o6yad9c8s2potdvqau5slw, 5mcszf3yuxwxcggl8ds2v1a7d, 84qomd74wlfrd9lpost35p4wk, 9mo419gtk6dy5lhcvatcllkyy, 4y78x1atris45m06oqr7axbzd, 9gugnyggxqnc9fijivw8fvq39, bc1b4tkrsx8xsdqtoj198tg16, dq9w87alliunnaoezwtvn9hp1, en70ces933pdy4dbgq0lgjhsl, aqmo5o52e5mhbbzgdquivsm50, 3eb2tx4nx4etwvuo3bnnl3lk9, af7iolqb3r12ybufawf0mjnys, ae68tqogc2yplitpd1yixky22, c03fkophg1op7oov8hj7egx78",3768864043,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3768864041,130,4,3768864049,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457866987,1,34,16,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-09-10T12:00:18.870Z,2022-09-10T12:26:42Z,3768888627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3768888623,197,9443,3768888601,59,"16, 18, 27, 7, 3, 8, 22, 10, 9, 20, 29, 11, 14, 15, 1, 19, 31, 26",3768888607,130,4,3768888597,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3768888617,194,eblfqwhpxhw6775m134ov2e0a,3768888613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3768888581,30,"dwjgtp47ky7v5as2a2jradihh, 6rcnj96do9ermnza1covi9ujt, 2mo6msido3zv2vk24hed9rs9h, ik5uqc55sdiwjjzh28c21byt, 664ior41q0qf71vnhq0tp1j9x, 7h91cdyjl0cpxj5lpzdsto3it, cjgr7t23bk1l43hegrkmtslih, 5x0qvm5o4qbijkh8r8vs2ys45, 88n7oswbclrfxt277vp6vpgd0, ah7sbrjt4lz1t4zww2l4sf1ex, eblfqwhpxhw6775m134ov2e0a, e3i1n2mnbwqi33q2t541fjy1g, 5kg2obqjcypb3d2yt4d4xoo2x, 30w3iibq6nd3ocidgfkdqv190, 9214qm6nuq4zwnnvzmugrfutx, 2pd1juglwcvhspyva4soomyy2, 876mjy047keegwdf1ri9a6syc, 79u53wc88br80qmqpdumqlct0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457886047,2,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-09-10T12:30:11.949Z,2022-09-10T12:30:13Z,3768991201,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457886043,2,32,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-09-10T12:30:11.949Z,2022-09-10T12:30:12Z,3768991189,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457886069,3,1,1,0,0,114h4h9ekimxmk95iypp478kk,1,50,50,2022-09-10T12:30:12.049Z,2022-09-10T12:30:15Z,3768991319,140,38.6,3768991317,56,Back,3768991325,213,3.0,3768991323,212,12.1,3768991321,141,52.1,3768991327,279,S,,,,,,,bc1b4tkrsx8xsdqtoj198tg16,Amanda Gutierres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457886075,4,1,1,0,3,114h4h9ekimxmk95iypp478kk,0,38.6,52.1,2022-09-10T12:30:15.905Z,2022-09-10T12:30:22Z,3768991361,1,,3768991343,56,Center,3768991349,141,45.8,3768991341,157,,3768991345,140,73.5,3768991357,213,6.2,3768991353,212,36.9,,,,80dr0hzhre13aaavd0r4udpl,E. Palis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457886097,3,43,1,0,5,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2022-09-10T12:30:17.682Z,2022-09-10T12:30:26Z,3768992027,144,49,,,,,,,,,,,,,,,,,,,,,,7h91cdyjl0cpxj5lpzdsto3it,S. Elisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457886103,4,49,1,0,5,2gmv49xieg3zee2hx0lhcp17u,1,26.4,63.6,2022-09-10T12:30:17.827Z,2022-09-10T12:30:18Z,,,,,,,,,,,,,,,,,,,,,,,,,7h91cdyjl0cpxj5lpzdsto3it,S. Elisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457886151,5,1,1,0,6,2gmv49xieg3zee2hx0lhcp17u,1,29,66,2022-09-10T12:30:18.882Z,2022-09-10T12:30:21Z,3768991683,56,Back,3768991689,212,20.5,3768991691,213,1.5,3768991687,141,95.9,3768991685,140,31.2,,,,,,,,,,7h91cdyjl0cpxj5lpzdsto3it,S. Elisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457886169,6,1,1,0,9,2gmv49xieg3zee2hx0lhcp17u,0,31.5,95.7,2022-09-10T12:30:21.018Z,2022-09-10T12:30:22Z,3768991797,213,6.1,3768991791,140,69.1,3768991789,56,Left,3768991793,141,83.0,3768991799,1,,3768991795,212,40.4,,,,,,,2mo6msido3zv2vk24hed9rs9h,K. Gadéa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
