id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2544224703,1,34,16,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2023-05-06T10:40:59.501Z,2023-05-06T11:31:04Z,4253655373,59,"1, 12, 4, 10, 21, 3, 17, 8, 9, 27, 7, 5, 11, 14, 18, 20, 26, 30",4253655369,30,"8f25wup5nyqxwx27pmtxth51x, 8dfe78e3mslilgxw4efeu295, f30p9xqwupzhhiitqubpi79bd, b9mxbxkxacng270g0cs3w1jh1, cma46vvprpduachdlb2ruakx6, 3bo8lbyohd3djey9pbd08fvf9, 28yvc8jmyyfavb0hetafjdadx, 407696aey55f3v0iy9xcr9plh, 7jux9gpb11yfbl8jj32n0zil1, 41gek0vcr4hcrc5hg6zk4am3u, pugk29yysi9369f969l2o1qt, 3x6baiktcpcjxxh258a5uebpx, 1loi315glota15qd57q6e0xrd, 9q17y46tt61m27cpvaxuhknp, el2jrhon9i915qbjdgi96uru2, 3gu9gaz6w7eq79qnaqj3b7jdh, 6ywkny98b9qzuvhqxwn9l0ogl, 2uu2ex1gtt4orcsxbec2u0iz8",4253655375,130,4,4253655383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253655381,197,4764,4253655377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253655371,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4253655379,194,3bo8lbyohd3djey9pbd08fvf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544232141,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-05-06T11:02:33.513Z,2023-05-06T11:12:25Z,4253733347,197,19198,4253696323,59,"1, 4, 25, 10, 5, 6, 17, 8, 9, 7, 32, 13, 16, 22, 24, 27, 33, 34",4253696317,30,"dfcxvz3flh0w54vhso9xpk1d5, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, 792nmu21pzzd6eak34jk1qlwq, f3thho84or4rhnubxrhit9zhl, eko9p1p9gjg7gxjla6chb6i95, desenv3bwtw96iiwqb1gnvth, 7lqdu42zczlrnowx70hu12sb9, dz7lkt8gh069vrkmoflcm0fkl, 9k4n3testzamjmqoda5g4k3x1, 5rk18n26jpnvcmaavaz2uw7x0, 3yjqr9srzz3p1xjgdgckqvtre, cc9j8gbv04g55nbv83rgckf84, 4x3fxr67fofstbqjpkoxra7rp, jzfnrsd8aixhycspwias4tii, dvd7yfrkq6wl6de389go6r7ro, d5qej6x33742typay1d4o5p1w, 44hh7bsdxtdgehzen3r9i39w",4253696325,130,2,4253696321,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4253696331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253696329,194,7lqdu42zczlrnowx70hu12sb9,4253696327,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253007,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-05-06T11:31:34.867Z,2023-05-06T11:31:37Z,4253804735,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253003,2,32,1,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2023-05-06T11:31:34.867Z,2023-05-06T11:31:35Z,4253804697,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253015,3,1,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,50,50.9,2023-05-06T11:31:35.211Z,2023-05-06T11:54:37Z,4253804765,56,Back,4253804767,140,36.5,4253804771,212,14.3,4253804769,141,53.6,4253804773,213,3.0,4253804775,279,S,,,,,,,792nmu21pzzd6eak34jk1qlwq,M. Roth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253121,4,1,1,0,4,axvm5zg0mk4bp06wpec9vw27e,0,44.1,50.4,2023-05-06T11:31:39.820Z,2023-05-06T11:31:43Z,4253805283,212,49.2,4253805285,213,5.5,4253805275,155,,4253805279,140,77.2,4253805287,1,,4253805281,141,0.0,4253805277,56,Right,,,,7lqdu42zczlrnowx70hu12sb9,L. Declercq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253123,3,5,1,0,6,e5hsx8fzufp57tv4oehbz0qht,1,21.1,100.6,2023-05-06T11:31:41.588Z,2023-05-06T11:31:43Z,4253805295,347,,4253805293,56,Back,4253805353,233,5,,,,,,,,,,,,,,,,f30p9xqwupzhhiitqubpi79bd,S. Bacha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253127,5,5,1,0,6,axvm5zg0mk4bp06wpec9vw27e,0,78.9,-0.6,2023-05-06T11:31:41.588Z,2023-05-06T11:41:52Z,4253805311,347,,4253805391,233,3,4253805307,56,Right,,,,,,,,,,,,,,,,7lqdu42zczlrnowx70hu12sb9,L. Declercq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253313,4,1,1,0,17,e5hsx8fzufp57tv4oehbz0qht,1,19.4,100,2023-05-06T11:31:52.351Z,2023-05-06T11:31:55Z,4253806405,56,Back,4253806403,107,,4253806411,212,48.0,4253806415,1,,4253806413,213,4.8,4253806407,140,23.1,4253806427,189,,4253806409,141,31.0,f30p9xqwupzhhiitqubpi79bd,S. Bacha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253343,5,1,1,0,21,e5hsx8fzufp57tv4oehbz0qht,1,23.2,29.5,2023-05-06T11:31:55.935Z,2023-05-06T11:31:57Z,4253806565,212,17.9,4253806563,141,3.8,4253806567,213,4.9,4253806561,140,26.7,4253806559,56,Back,,,,,,,,,,cma46vvprpduachdlb2ruakx6,V. Gilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
