id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/10/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2544220629,1,34,16,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-05-06T10:29:53.796Z,2023-05-06T11:32:54Z,4253632333,130,13,4253632335,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253632339,197,8452,4253632337,194,3taxlkn9lb7otwvgbx9gyo82x,4253632341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253632329,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4253632327,30,"7ei82jx0voz3m7g64d9ewmggl, 7mehuya25b282lf1aqllzc3px, ejzz3wi6gxujl6idun7k9wmvp, cf88cbpwlbfw6ampeklh3kcbu, 53h7svpak7gxkotf27l15ibpx, 3taxlkn9lb7otwvgbx9gyo82x, arw9e50in9zw8e9eoul9x8rje, 8lqbmqjrc7ikjm0me2fsdej11, 3o1we6pb4axflmhkn1r0b01xx, 1jlc387u7fdpnnus9nlsb179w, 996uvthtn0ho4doic5mcty6z9, 7g2yfrxvbhrvf8wgdkyu989ud, 8ls23zdsn7vn3bsx8o3gzwrh0, coj9nvuorcm7rvvotheguc5hx, et3yygjf96h7sgd43lb5t1yj8, 7drwwysuo9wwjrun0u3gp8r85, 9k44thez31exd8pbq7i5wdbs9, 2zxnm6bkhkjolx1esz593wk45",4253632331,59,"1, 12, 7, 4, 17, 25, 2, 21, 8, 13, 27, 11, 9, 14, 19, 26, 29, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544227399,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2023-05-06T10:48:25.288Z,2023-05-06T11:34:42Z,4253669059,59,"30, 4, 3, 20, 2, 12, 6, 13, 22, 25, 11, 15, 24, 33, 34, 35, 37, 40",4253669057,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4253669055,30,"a6x0w263q3g772n9qk4u22rc9, 6yh4l888isxggjgd4a6p4ss0l, cwudro7behcx3pta4l4na4a5m, 757os3ykn2cuocj7tr4dqnw89, 7n7ebty9p63lyd49l0jcs1z9x, 1n48nxf4v6reoxuyai88haw6i, dll89ri6yl7ufipj37pyfmzmd, ao9cgwud5le6r07itko3j4y51, 9gk2t1276n9yt0nvgakzr82c5, 1iy47sqcjh4x0w7bvvno90xxx, 7xb0niqg08hrxk8i2nq8zvfth, 4lj04oct1utmn4skdpqmnfn8q, 19awb0feelm6k12ooavqb5621, cyobo9opjbd532a2wx1di9aay, eh2jgxy3h28cs4cjv0urp41lg, 2wpsh9avzdnm403o0n4gx83ro, 9jsgojivfuxkhspaabplv0pw4, kwlrohrhnn0dwmuxhguh3o5w",4253669061,130,13,4253669063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253669065,194,6yh4l888isxggjgd4a6p4ss0l,4253669067,197,9452,4253669069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253159,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2023-05-06T11:31:45.884Z,2023-05-06T11:31:46Z,4253805529,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253173,2,32,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-05-06T11:31:45.884Z,2023-05-06T11:31:46Z,4253805595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253199,3,1,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,50,50,2023-05-06T11:31:45.984Z,2023-05-06T11:31:49Z,4253805759,213,3.1,4253805757,212,10.7,4253805753,140,39.8,4253805761,279,S,4253805755,141,50.6,4253805751,56,Back,,,,,,,9gk2t1276n9yt0nvgakzr82c5,L. Petermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253227,4,1,1,0,3,2w4xxgpg4t4h5b3yl74egastz,0,44,50.9,2023-05-06T11:31:49.101Z,2023-05-06T11:31:50Z,4253805897,212,39.0,4253805899,213,0.8,4253805889,56,Left,4253805887,155,,4253805893,141,92.3,4253805903,1,,4253805891,140,69.7,,,,dll89ri6yl7ufipj37pyfmzmd,C. Bilbault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253279,3,1,1,0,6,97jxqfbi28yoeedjbbw5xqhyi,0,22.8,8.5,2023-05-06T11:31:52.661Z,2023-05-06T11:31:53Z,4253806237,213,5.5,4253806233,141,0.0,4253806235,212,9.9,4253806225,3,,4253806231,140,29.4,4253806229,56,Back,,,,,,,7mehuya25b282lf1aqllzc3px,C. Meffometou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253291,4,5,1,0,7,97jxqfbi28yoeedjbbw5xqhyi,0,34.1,-2,2023-05-06T11:31:52.928Z,2023-05-06T11:51:30Z,4253806283,56,Back,4253806357,233,5,4253806285,347,,,,,,,,,,,,,,,,,7mehuya25b282lf1aqllzc3px,C. Meffometou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253267,5,5,1,0,7,2w4xxgpg4t4h5b3yl74egastz,1,65.9,102,2023-05-06T11:31:52.928Z,2023-05-06T11:31:54Z,4253806323,233,4,4253806141,347,,4253806139,56,Left,,,,,,,,,,,,,,,,dll89ri6yl7ufipj37pyfmzmd,C. Bilbault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544253411,6,1,1,0,10,2w4xxgpg4t4h5b3yl74egastz,1,62.3,100,2023-05-06T11:31:56.112Z,2023-05-06T11:32:02Z,4253806943,212,33.6,4253806939,141,86.8,4253806949,1,,4253806947,213,6.0,4253806933,140,92.7,4253806923,107,,4253806927,56,Left,,,,cwudro7behcx3pta4l4na4a5m,I. Belloumou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
