id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2497100519,1,34,16,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2023-01-14T11:51:27.951Z,2023-01-14T12:54:30Z,3976440699,30,"dwjgtp47ky7v5as2a2jradihh, 88n7oswbclrfxt277vp6vpgd0, 664ior41q0qf71vnhq0tp1j9x, 5x0qvm5o4qbijkh8r8vs2ys45, eblfqwhpxhw6775m134ov2e0a, 5kg2obqjcypb3d2yt4d4xoo2x, 87fq93e9x1yy4thmeituciycq, 7h91cdyjl0cpxj5lpzdsto3it, 2pd1juglwcvhspyva4soomyy2, cjgr7t23bk1l43hegrkmtslih, 6rcnj96do9ermnza1covi9ujt, 9214qm6nuq4zwnnvzmugrfutx, bly2raemyl0xp39jiktm4u5sl, ik5uqc55sdiwjjzh28c21byt, e3i1n2mnbwqi33q2t541fjy1g, ah7sbrjt4lz1t4zww2l4sf1ex, vbbjswuih75z7771voxd7bbo, 79u53wc88br80qmqpdumqlct0",3976440709,194,eblfqwhpxhw6775m134ov2e0a,3976440713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976440711,197,9038,3976440707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976440701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3976440703,59,"16, 9, 3, 10, 29, 14, 23, 8, 19, 22, 18, 1, 6, 7, 11, 20, 21, 26",3976440705,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497102423,1,34,16,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2023-01-14T11:58:20.192Z,2023-01-14T13:19:39Z,3976451677,30,"3h1cw632st7suexo3fo6aremt, 5d6w6h4s9rfioy07y1rqrmgyy, 24w5egwdnqme3z091t0e71c2y, 85cmw667ykiku1pzcj07jreg9, 7gisthugglsa8l3wah7gw2klx, eafhhlki76tgbbrwgeof4spyi, 2k7qjez21ghq91378ecc585w5, 1eo54huy053pgofiws2n36s16, 5vvgnuyaxp4x7hvzmgkku3pm2, jbxmumw5e6sad0zo1hljqnl5, 7alrgsdv6ycykqgigqizax39x, c6wlz59l4w2pe0o5xj6nbks4q, 3vpsxb6kzdffwgumf9mfcmms5, 3nahmpoi0glxeu95ip8hx8odm, ev3mgnq60hfy9raxynpjhj3mc, 7oqvkyby3x041hlfoxo5bkxlg, bskf1il58p43z2gv68wwtmivo",3976451679,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",3976451691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976451685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3976451689,197,13556,3976451683,130,8,3976451687,194,jbxmumw5e6sad0zo1hljqnl5,3976451681,59,"1, 17, 13, 10, 8, 19, 20, 23, 14, 9, 25, 6, 7, 11, 18, 22, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120375,2,32,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2023-01-14T12:45:15.924Z,2023-01-14T12:45:16Z,3976547203,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120371,2,32,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2023-01-14T12:45:15.924Z,2023-01-14T12:45:16Z,3976547189,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120423,3,1,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,50.2,50.6,2023-01-14T12:45:16.024Z,2023-01-14T12:45:19Z,3976547395,212,12.9,3976547389,56,Back,3976547393,141,45.5,3976547397,213,3.4,3976547391,140,38.4,3976547399,279,S,,,,,,,5vvgnuyaxp4x7hvzmgkku3pm2,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120465,4,1,1,0,3,drnln5nhp7dqype6j3upkoiqp,1,33.7,30,2023-01-14T12:45:19.089Z,2023-01-14T12:46:03Z,3976547635,212,15.2,3976547637,213,4.7,3976547631,140,33.8,3976547629,56,Back,3976547633,141,7.6,,,,,,,,,,85cmw667ykiku1pzcj07jreg9,S. Daoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120477,5,1,1,0,7,drnln5nhp7dqype6j3upkoiqp,0,32.1,6.1,2023-01-14T12:45:23.169Z,2023-01-14T12:45:24Z,3976547677,56,Right,3976547685,213,0.1,3976547679,140,64.8,3976547675,155,,3976547687,1,,3976547681,141,11.7,3976547683,212,34.5,,,,5d6w6h4s9rfioy07y1rqrmgyy,G. Kazadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120487,3,1,1,0,8,2gmv49xieg3zee2hx0lhcp17u,0,30.2,92,2023-01-14T12:45:24.624Z,2023-01-14T12:45:25Z,3976547735,140,42.0,3976547739,212,12.4,3976547733,56,Back,3976547741,213,0.0,3976547731,3,,3976547737,141,92.1,,,,,,,664ior41q0qf71vnhq0tp1j9x,F. Hoarau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120527,6,1,1,0,11,drnln5nhp7dqype6j3upkoiqp,1,55.2,10.9,2023-01-14T12:45:27.041Z,2023-01-14T12:45:29Z,3976547891,141,14.6,3976547893,212,14.3,3976547889,140,68.6,3976547895,213,0.2,3976547887,56,Right,,,,,,,,,,5d6w6h4s9rfioy07y1rqrmgyy,G. Kazadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497120533,7,1,1,0,13,drnln5nhp7dqype6j3upkoiqp,0,68.6,14.6,2023-01-14T12:45:29.377Z,2023-01-14T12:46:35Z,3976547931,212,23.6,3976547929,141,0.0,3976547933,213,5.8,3976547925,56,Right,3976547927,140,88.4,,,,,,,,,,jbxmumw5e6sad0zo1hljqnl5,S. Cambot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
