id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2544225225,1,34,16,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2023-05-06T10:42:06.557Z,2023-05-06T11:52:42Z,4253657873,197,8447,4253657861,30,"dxojafbkfxjskl0ek4nucrnpx, dpyv59tmgrenfals4e16d5lre, ehxz768zrgon8drwzlso5k0t0, uspe8sp6q4a5o6kc9n6rnyp6, dvyjggz5eiinhhozhb17s707p, ccz23lbc4iuxsq4tcplzv37ys, aga4leu1tmnv7kibufwr119be, 4rdywd4n4j0cdzfoifpd35ujt, 4jxsimbrhvzfwfc3krnld59wq, 4p2fapncvvibg0l9ungou0tbe, 4tsbzybsipqmnahwgm19uyivo, c7ybrnt131jx4z31cfo6bx4a, dq65c3jm6mlu3mzug9b0z3ytw, ezhkluh7xo0zv6t8zf5oab0q2, wibn2uli25nw0w4ddbohhnje, 38gaf1qjazayc2lo9wvly9tzo, 2168n6jdba2sc828wvye3uyok, at0pdugp67r1o06eo8sgpl53o",4253657869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253657867,130,4,4253657865,59,"30, 22, 14, 15, 5, 17, 10, 8, 6, 13, 25, 3, 4, 7, 9, 18, 33, 40",4253657871,194,dpyv59tmgrenfals4e16d5lre,4253657863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4253657875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544225675,1,34,16,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2023-05-06T10:43:28.492Z,2023-05-06T11:29:32Z,4253660149,130,2,4253660151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253660145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4253660157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253660155,197,9552,4253660147,59,"16, 18, 14, 8, 29, 27, 22, 10, 19, 23, 6, 1, 3, 7, 9, 11, 21, 26",4253660153,194,eblfqwhpxhw6775m134ov2e0a,4253660143,30,"dwjgtp47ky7v5as2a2jradihh, 6rcnj96do9ermnza1covi9ujt, 5kg2obqjcypb3d2yt4d4xoo2x, 7h91cdyjl0cpxj5lpzdsto3it, eblfqwhpxhw6775m134ov2e0a, 2mo6msido3zv2vk24hed9rs9h, cjgr7t23bk1l43hegrkmtslih, 5x0qvm5o4qbijkh8r8vs2ys45, 2pd1juglwcvhspyva4soomyy2, 87fq93e9x1yy4thmeituciycq, bly2raemyl0xp39jiktm4u5sl, 9214qm6nuq4zwnnvzmugrfutx, 664ior41q0qf71vnhq0tp1j9x, ik5uqc55sdiwjjzh28c21byt, 88n7oswbclrfxt277vp6vpgd0, e3i1n2mnbwqi33q2t541fjy1g, vbbjswuih75z7771voxd7bbo, 79u53wc88br80qmqpdumqlct0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544252713,2,32,1,0,0,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2023-05-06T11:31:08.659Z,2023-05-06T11:31:08Z,4253803209,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544252717,2,32,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2023-05-06T11:31:08.659Z,2023-05-06T11:31:10Z,4253803213,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544252731,3,1,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,50,50.3,2023-05-06T11:31:08.815Z,2023-05-06T11:57:49Z,4253803273,56,Back,4253803283,279,S,4253803281,213,3.3,4253803279,212,15.6,4253803277,141,47.4,4253803275,140,35.3,,,,,,,4jxsimbrhvzfwfc3krnld59wq,M. Dumornay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544252773,4,1,1,0,2,86c88s72zckr0kdwv0mu7kn3d,1,32.2,41.5,2023-05-06T11:31:11.456Z,2023-05-06T12:14:28Z,4253803483,141,14.9,4253803481,140,28.7,4253803479,56,Back,4253803485,212,18.5,4253803487,213,4.5,,,,,,,,,,uspe8sp6q4a5o6kc9n6rnyp6,L. Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544252785,5,1,1,0,4,86c88s72zckr0kdwv0mu7kn3d,1,29.1,17.4,2023-05-06T11:31:12.815Z,2023-05-06T11:31:14Z,4253803565,56,Back,4253803567,140,36.8,4253803573,213,0.6,4253803569,141,26.4,4253803571,212,10.1,,,,,,,,,,dvyjggz5eiinhhozhb17s707p,J. Pasquereau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544252803,6,1,1,0,5,86c88s72zckr0kdwv0mu7kn3d,1,38.9,25.8,2023-05-06T11:31:14.399Z,2023-05-06T11:31:17Z,4253803677,56,Back,4253803685,213,1.1,4253803679,140,46.5,4253803683,212,18.7,4253803681,141,50.7,,,,,,,,,,4rdywd4n4j0cdzfoifpd35ujt,S. Ouchène,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544252823,7,1,1,0,8,86c88s72zckr0kdwv0mu7kn3d,0,46,50.9,2023-05-06T11:31:17.135Z,2023-05-06T12:18:03Z,4253803765,140,37.0,4253803767,141,66.4,4253803769,212,14.2,4253803763,56,Back,4253803771,213,2.3,,,,,,,,,,aga4leu1tmnv7kibufwr119be,R. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544252819,3,43,1,0,9,2gmv49xieg3zee2hx0lhcp17u,1,0,0,2023-05-06T11:31:18.480Z,2023-05-06T11:31:25Z,4253803739,56,Center,4253804163,144,61,,,,,,,,,,,,,,,,,,,eblfqwhpxhw6775m134ov2e0a,D. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
