id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2552259281,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2023-05-21T09:23:58.560Z,2023-05-21T10:28:05Z,4296422133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296422131,197,13251,4296422119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4296422127,194,1ck8f8510t6ei80haqe2vqbpx,4296422125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4296422121,59,"16, 27, 23, 17, 10, 19, 22, 8, 21, 11, 28, 1, 2, 7, 9, 15, 20, 24",4296422117,30,"2f1e295qn6s9l5d6v1degrizt, dx5okwmzef2p09vgp02i1ucph, ehchjemv9fwcnwomosua92qqd, 1ck8f8510t6ei80haqe2vqbpx, 8iblvy7aw7kdghvke6s5gisid, 1mhjq24kq1fapaoib7lzb6b4l, 7l931hwm1tajvf6r717biyw2d, 7d4y77nkrn4w4dht1c4vr28yx, 1rsg1y7lx0ruqcwgj6c6oovdh, 3uxijnhp1ibbqm6e4lfivq8k5, cg4yqx0lth6d27oxlgwcuvdn9, 8yebzwn5wynngu33kqcsh1fbp, byu5qg9zlu5w1e234xl2058iy, 94pv0j29t5jrfdc36o6791wp, 2n3sv3vt7ano86i5j9j3f8a95, aos03ja9xr5jr2w3e6t20p94a, 9qidpdp5vlw8ma2z9synky6ms, 1ph6w6q8t75mov5fnnc8hda8k",4296422123,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552263013,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2023-05-21T09:45:18.623Z,2023-05-21T10:43:34Z,4296443951,59,"30, 14, 11, 10, 4, 22, 8, 7, 3, 17, 26, 1, 5, 13, 15",4296443953,130,6,4296443949,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5",4296443957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0",4296443947,30,"7iuwrwcupehj978vpf8sep591, 3w9nqzmvm6df5becqtvypo5w5, 3o5f01ay5uqzeb3xunhguvsyy, e9e2sdrwd5g6m8kfpxpe8ml79, 2to7qgaomc72knk6y1689ihka, 9r0t3f2nw0d1a17c9onvjgd05, ds4tjev271co53fycw64y4kfe, 1vj4sunehr71tbbpu6zsp6dw5, ero1axtkr33y6yetn4uti2oyx, b062pdmskviwqwzf5dckoffmd, aeoazf90glk79a2puhpm06pyh, 24ptrmidgqdyq5sryicc2g9hw, 3edubak34lsocvkirgryo8vd, 58zv1pd350niecmu275p4xyqc, q195fj3dlx9i3r0zno98nhuc",4296443961,197,8688,4296443959,194,9r0t3f2nw0d1a17c9onvjgd05,4296443963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272093,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2023-05-21T10:31:09.491Z,2023-05-21T10:31:09Z,4296495683,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272099,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2023-05-21T10:31:09.491Z,2023-05-21T10:31:11Z,4296495695,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272121,3,1,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,50,50.1,2023-05-21T10:31:09.591Z,2023-05-21T10:43:11Z,4296495795,56,Back,4296495807,279,S,4296495797,140,40.3,4296495801,212,13.0,4296495803,213,2.5,4296495799,141,62.0,,,,,,,1ck8f8510t6ei80haqe2vqbpx,G. Thiney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272157,4,1,1,0,3,bdfjkux9o0vtsdig5zsbhtysq,0,40.2,58.7,2023-05-21T10:31:12.592Z,2023-05-21T10:31:16Z,4296495995,56,Right,4296495999,141,0.0,4296495997,140,87.9,4296496005,1,,4296495993,196,,4296496001,212,64.9,4296496003,213,5.6,4296495991,155,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272283,3,5,1,0,6,dgpni8xwxjhgekjmg0m8bb6nv,1,14.1,101.6,2023-05-21T10:31:15.932Z,2023-05-21T10:47:45Z,4296537823,233,5,4296496635,56,Back,4296496637,347,,,,,,,,,,,,,,,,,3o5f01ay5uqzeb3xunhguvsyy,L. Pinot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272163,5,5,1,0,6,bdfjkux9o0vtsdig5zsbhtysq,0,85.9,-1.6,2023-05-21T10:31:15.932Z,2023-05-21T10:47:46Z,4296496025,347,,4296496023,56,Right,4296537863,233,3,,,,,,,,,,,,,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272299,4,1,1,0,24,dgpni8xwxjhgekjmg0m8bb6nv,1,20.1,100,2023-05-21T10:31:33.777Z,2023-05-21T10:31:36Z,4296496703,212,8.9,4296496701,141,95.9,4296496695,107,,4296496697,56,Back,4296496705,213,5.9,4296496699,140,28.0,,,,,,,3o5f01ay5uqzeb3xunhguvsyy,L. Pinot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552272305,5,61,1,0,25,dgpni8xwxjhgekjmg0m8bb6nv,0,28,95.9,2023-05-21T10:31:35.002Z,2023-05-21T10:43:22Z,4296496723,56,Back,,,,,,,,,,,,,,,,,,,,,,1vj4sunehr71tbbpu6zsp6dw5,A. Clérac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
