id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/11/value,assist,qualifier/13/value
2457861773,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-09-10T11:47:02.276Z,2022-09-10T13:47:36Z,3768860427,130,4,3768860433,197,9441,3768860431,194,1ck8f8510t6ei80haqe2vqbpx,3768860429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3768860421,30,"2f1e295qn6s9l5d6v1degrizt, dx5okwmzef2p09vgp02i1ucph, cg4yqx0lth6d27oxlgwcuvdn9, 7l931hwm1tajvf6r717biyw2d, 8iblvy7aw7kdghvke6s5gisid, 1mhjq24kq1fapaoib7lzb6b4l, 94pv0j29t5jrfdc36o6791wp, aos03ja9xr5jr2w3e6t20p94a, 1rsg1y7lx0ruqcwgj6c6oovdh, 3uxijnhp1ibbqm6e4lfivq8k5, 1ck8f8510t6ei80haqe2vqbpx, 2q1tt2u2h3q1hb3uz28rofzmc, 8yebzwn5wynngu33kqcsh1fbp, 7d4y77nkrn4w4dht1c4vr28yx, 7ak0q2t9ex8rcov81012amuad, ehchjemv9fwcnwomosua92qqd, 1ph6w6q8t75mov5fnnc8hda8k, 2n3sv3vt7ano86i5j9j3f8a95",3768860423,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3768860425,59,"16, 27, 28, 22, 10, 19, 7, 15, 21, 11, 17, 31, 1, 8, 18, 23, 24, 9",3768860435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457865105,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-09-10T11:53:43.210Z,2022-09-10T12:15:44Z,3768878239,59,"30, 23, 14, 21, 22, 4, 12, 24, 10, 8, 15, 1, 20, 6, 7, 13, 18, 26",3768878245,194,2cp4j91pqwjvy7as74ckhc4wl,3768878237,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3768878243,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3768878241,130,4,3768878249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3768878247,197,14268,3768878235,30,"dtl2shnzdg739pkag6fplb42y, 5orsug2d4b7zzjat6eh9ks2qd, 8ra0s724ht9u3luvku2ytnrze, 6xu7shoi00qiogo7akqo1xsrt, 9mq9unf2aecualxxm9gvnppl, 5es3kc7x38rotmzzcs46kb3hm, b0a55g6cu6u3fl9vbuvynx05, 2avvvwtcdl6hmzxei5qhjo4ph, 2cp4j91pqwjvy7as74ckhc4wl, 56n1erg5gb7fq7ab8hz42bug9, 9rab5estxnvvhj8evql7j68rt, a27580ah1idvwqjbscx0l4x78, 1nyb823fkrzfuu4wczhgog7ah, 8q7yvvg7c3uth4j25m162qq5l, dsm8r3i2k45d7vlqkmzaog9w4, dhmjb5r24tlk47urk93o5kj1m, 1fcucvr07kupgc9ivux6cf76c, 50k8dmb17hvqbq37ae3p90aju",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457888221,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-09-10T12:32:49.642Z,2022-09-10T12:32:49Z,3769002659,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457888237,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-09-10T12:32:49.642Z,2022-09-10T12:32:50Z,3769002729,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457888343,3,1,1,0,4,bdfjkux9o0vtsdig5zsbhtysq,1,50.4,49.9,2022-09-10T12:32:53.870Z,2022-09-10T13:31:19Z,3769242487,279,S,3769003285,140,55.8,3769003287,141,55.8,3769003291,213,0.6,3769003283,56,Center,3769003289,212,6.9,,,,,,,1rsg1y7lx0ruqcwgj6c6oovdh,O. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457888347,4,43,1,0,7,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-09-10T12:32:57.364Z,2022-09-10T12:33:04Z,3769003819,144,49,,,,,,,,,,,,,,,,,,,,,,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457888367,5,1,1,0,8,bdfjkux9o0vtsdig5zsbhtysq,0,55.8,55.8,2022-09-10T12:32:58.060Z,2022-09-10T12:32:58Z,3769003391,140,63.6,3769003393,141,13.8,3769003389,56,Right,3769003397,213,5.0,3769003387,155,,3769003395,212,29.7,,,,,,,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457888373,3,49,1,0,9,9s9jvki6htleffykj88qcpwpy,1,39.6,82.3,2022-09-10T12:32:58.921Z,2022-09-10T12:32:59Z,,,,,,,,,,,,,,,,,,,,,,,,,2avvvwtcdl6hmzxei5qhjo4ph,S. Barbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457888391,4,1,1,0,9,9s9jvki6htleffykj88qcpwpy,0,40.1,82.4,2022-09-10T12:32:59.446Z,2022-09-10T12:33:00Z,3769003517,213,5.2,3769003513,141,69.1,3769003511,140,44.8,3769003515,212,10.3,3769003509,56,Back,,,,,,,,,,2avvvwtcdl6hmzxei5qhjo4ph,S. Barbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457888525,6,1,1,0,16,bdfjkux9o0vtsdig5zsbhtysq,0,92.1,7.4,2022-09-10T12:33:05.940Z,2022-09-10T12:33:08Z,3769004181,140,94.2,3769004183,141,47.5,3769004175,2,,3769004187,213,1.5,3769004179,56,Center,3769004177,155,,3769004185,212,27.4,,,,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
