id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2526016749,1,34,16,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2023-03-31T15:37:39.695Z,2023-03-31T16:40:02Z,4149839527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4149839529,194,dpyv59tmgrenfals4e16d5lre,4149839533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149839521,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4149839531,197,12241,4149839519,30,"dxojafbkfxjskl0ek4nucrnpx, dpyv59tmgrenfals4e16d5lre, c7ybrnt131jx4z31cfo6bx4a, uspe8sp6q4a5o6kc9n6rnyp6, dvyjggz5eiinhhozhb17s707p, dq65c3jm6mlu3mzug9b0z3ytw, 4p2fapncvvibg0l9ungou0tbe, aga4leu1tmnv7kibufwr119be, 4jxsimbrhvzfwfc3krnld59wq, ezhkluh7xo0zv6t8zf5oab0q2, cuy5d1nzj2yd36g3fydirt562, 1tvu4rv4o96wqjzk836y9bp3p, 6rlmvqkrg0ulgmu80k21584bt, ehxz768zrgon8drwzlso5k0t0, ccz23lbc4iuxsq4tcplzv37ys, 38gaf1qjazayc2lo9wvly9tzo, 4tsbzybsipqmnahwgm19uyivo, 2168n6jdba2sc828wvye3uyok",4149839525,130,8,4149839523,59,"30, 22, 3, 15, 5, 4, 13, 10, 6, 7, 19, 1, 2, 14, 17, 18, 25, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526017071,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2023-03-31T15:42:23.765Z,2023-03-31T16:29:37Z,4149841375,30,"dtl2shnzdg739pkag6fplb42y, 6xu7shoi00qiogo7akqo1xsrt, 50ph0tkxvrb3syo76y5bjbcut, 50k8dmb17hvqbq37ae3p90aju, 9mq9unf2aecualxxm9gvnppl, 5es3kc7x38rotmzzcs46kb3hm, dsm8r3i2k45d7vlqkmzaog9w4, 2avvvwtcdl6hmzxei5qhjo4ph, ewogcy2itdu7e8vujgkitc0h6, 2cp4j91pqwjvy7as74ckhc4wl, 56n1erg5gb7fq7ab8hz42bug9, bgdtaffohtcawxastd6cy5g16, a27580ah1idvwqjbscx0l4x78, 1nyb823fkrzfuu4wczhgog7ah, 9rab5estxnvvhj8evql7j68rt, 1fcucvr07kupgc9ivux6cf76c, 5orsug2d4b7zzjat6eh9ks2qd, zzdeso5dawmdmq4u5vishhck",4149841379,59,"30, 21, 11, 26, 22, 4, 7, 24, 9, 10, 8, 6, 1, 20, 15, 18, 23, 19",4149841387,197,14734,4149841389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149841377,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4149841381,130,8,4149841385,194,2cp4j91pqwjvy7as74ckhc4wl,4149841383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023467,2,32,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2023-03-31T16:33:14.823Z,2023-03-31T16:33:15Z,4149876571,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023471,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2023-03-31T16:33:14.823Z,2023-03-31T16:33:16Z,4149876573,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023491,3,1,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,49.9,50.6,2023-03-31T16:33:14.923Z,2023-03-31T16:33:18Z,4149876657,140,32.2,4149876661,212,20.7,4149876663,213,3.6,4149876665,279,S,4149876655,56,Back,4149876659,141,37.3,,,,,,,4jxsimbrhvzfwfc3krnld59wq,M. Dumornay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023507,4,1,1,0,3,86c88s72zckr0kdwv0mu7kn3d,1,32.1,40.7,2023-03-31T16:33:18.032Z,2023-03-31T16:33:20Z,4149876747,140,24.1,4149876753,213,2.1,4149876751,212,18.1,4149876745,56,Back,4149876749,141,64.3,,,,,,,,,,uspe8sp6q4a5o6kc9n6rnyp6,L. Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023539,5,1,1,0,5,86c88s72zckr0kdwv0mu7kn3d,1,23.2,60.8,2023-03-31T16:33:20.632Z,2023-03-31T16:33:25Z,4149876885,140,24.7,4149876883,56,Back,4149876887,141,32.5,4149876891,213,4.8,4149876889,212,19.3,,,,,,,,,,dq65c3jm6mlu3mzug9b0z3ytw,O. Demehin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023547,6,1,1,0,10,86c88s72zckr0kdwv0mu7kn3d,0,30.4,23.7,2023-03-31T16:33:24.953Z,2023-03-31T16:33:26Z,4149876921,1,,4149876919,213,0.3,4149876917,212,36.5,4149876915,141,38.0,4149876909,155,,4149876913,140,63.9,4149876911,56,Center,,,,dvyjggz5eiinhhozhb17s707p,J. Pasquereau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023585,3,49,1,0,15,9s9jvki6htleffykj88qcpwpy,1,34.7,59.6,2023-03-31T16:33:30.353Z,2023-03-31T16:36:08Z,,,,,,,,,,,,,,,,,,,,,,,,,9mq9unf2aecualxxm9gvnppl,S. Guellati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023611,4,1,1,0,15,9s9jvki6htleffykj88qcpwpy,1,34,55.4,2023-03-31T16:33:30.775Z,2023-03-31T16:33:34Z,4149877251,213,5.2,4149877247,141,26.7,4149877249,212,22.6,4149877243,56,Back,4149877245,140,44.8,,,,,,,,,,9mq9unf2aecualxxm9gvnppl,S. Guellati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526023615,5,61,1,0,19,9s9jvki6htleffykj88qcpwpy,1,41.4,18.8,2023-03-31T16:33:34.737Z,2023-03-31T16:33:35Z,4149877271,56,Back,,,,,,,,,,,,,,,,,,,,,,dsm8r3i2k45d7vlqkmzaog9w4,Z. Stiévenart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
