id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2467058939,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-10-03T18:49:43.371Z,2022-10-03T18:54:30Z,3817686199,130,2,3817686203,197,13251,3817686195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3817686205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3817686193,30,"2f1e295qn6s9l5d6v1degrizt, 94pv0j29t5jrfdc36o6791wp, dx5okwmzef2p09vgp02i1ucph, 7l931hwm1tajvf6r717biyw2d, byu5qg9zlu5w1e234xl2058iy, 1mhjq24kq1fapaoib7lzb6b4l, ehchjemv9fwcnwomosua92qqd, 7ak0q2t9ex8rcov81012amuad, 1ck8f8510t6ei80haqe2vqbpx, 2n3sv3vt7ano86i5j9j3f8a95, cg4yqx0lth6d27oxlgwcuvdn9, 8yebzwn5wynngu33kqcsh1fbp, 3uxijnhp1ibbqm6e4lfivq8k5, 1rsg1y7lx0ruqcwgj6c6oovdh, 1ph6w6q8t75mov5fnnc8hda8k, afbretep8sws6f9hrnpghk416, 2q1tt2u2h3q1hb3uz28rofzmc, ecdfiqeahhsajtpg9eh2b2tqs",3817696481,194,1ck8f8510t6ei80haqe2vqbpx,3817686197,59,"16, 7, 27, 22, 2, 19, 23, 18, 17, 9, 28, 1, 11, 21, 24, 25, 31, 32",3817686201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467062829,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-10-03T19:00:57.469Z,2022-10-03T20:36:55Z,3817707521,59,"1, 4, 25, 6, 13, 5, 14, 27, 10, 9, 11, 7, 16, 17, 19, 22, 23, 34",3817707519,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3817707525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3817707529,197,12664,3817707531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3817707517,30,"dfcxvz3flh0w54vhso9xpk1d5, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, eko9p1p9gjg7gxjla6chb6i95, 3yjqr9srzz3p1xjgdgckqvtre, f3thho84or4rhnubxrhit9zhl, epgsg9k2x61xgkksj1kzdum6t, dvd7yfrkq6wl6de389go6r7ro, 792nmu21pzzd6eak34jk1qlwq, dz7lkt8gh069vrkmoflcm0fkl, 7ouo3qztrs5lytmtji95oesph, 9k4n3testzamjmqoda5g4k3x1, cc9j8gbv04g55nbv83rgckf84, desenv3bwtw96iiwqb1gnvth, ujjsxo0eqoad5gi3q52ohogk, 4x3fxr67fofstbqjpkoxra7rp, 3ck9n7pb3d1dc8qcdgkxm5m, jzfnrsd8aixhycspwias4tii",3817707527,194,eko9p1p9gjg7gxjla6chb6i95,3817707523,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467063213,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-10-03T19:01:47.209Z,2022-10-03T19:01:47Z,3817709535,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467063235,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2022-10-03T19:01:47.209Z,2022-10-03T19:01:50Z,3817709659,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467063249,3,1,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,49.7,50,2022-10-03T19:01:47.309Z,2022-10-03T19:01:53Z,3817709741,279,S,3817709731,56,Center,3817709735,141,46.7,3817709739,213,5.4,3817709737,212,3.0,3817709743,278,,3817709733,140,51.6,,,,2n3sv3vt7ano86i5j9j3f8a95,M. Bourdieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467063257,4,1,1,0,5,bdfjkux9o0vtsdig5zsbhtysq,1,51.6,46.7,2022-10-03T19:01:52.903Z,2022-10-03T19:01:54Z,3817709779,140,63.6,3817709785,213,0.4,3817709781,141,55.5,3817709783,212,13.9,3817709777,56,Center,,,,,,,,,,1ck8f8510t6ei80haqe2vqbpx,G. Thiney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467063259,5,43,1,0,6,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-10-03T19:01:54.055Z,2022-10-03T19:01:58Z,3817709851,144,3,3817709791,286,0,3817709789,56,Center,,,,,,,,,,,,,,,,2n3sv3vt7ano86i5j9j3f8a95,M. Bourdieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467063271,6,4,1,0,8,bdfjkux9o0vtsdig5zsbhtysq,1,69.4,60.4,2022-10-03T19:01:55.784Z,2022-10-03T19:02:00Z,3817709843,265,,3817709837,13,,3817709839,56,Center,3817709845,286,,3817710005,233,3,3817709841,152,,,,,,,,2n3sv3vt7ano86i5j9j3f8a95,M. Bourdieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467063289,3,4,1,0,8,axvm5zg0mk4bp06wpec9vw27e,0,30.6,39.6,2022-10-03T19:01:55.785Z,2022-10-03T19:02:00Z,3817709951,13,,3817710009,233,6,3817709959,285,,3817709955,152,,3817709957,265,,3817709953,56,Back,,,,,,,dvd7yfrkq6wl6de389go6r7ro,O. Hurtré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467063387,7,1,1,0,26,bdfjkux9o0vtsdig5zsbhtysq,0,69,66.1,2022-10-03T19:02:13.624Z,2022-10-03T20:07:19Z,3817710575,212,27.4,3817710567,152,,3817710571,140,90.9,3817710563,5,,3817710573,141,44.2,3817710565,155,,3817710577,213,5.7,3817710569,56,Center,1ck8f8510t6ei80haqe2vqbpx,G. Thiney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
