id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/11/value,qualifier/14/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2489032533,1,34,16,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-12-04T11:16:55.448Z,2022-12-04T11:59:19Z,3933762197,197,14711,3933762189,59,"50, 12, 7, 8, 13, 5, 6, 14, 11, 21, 24, 16, 18, 19, 22, 25, 26, 29",3933762195,194,dp5zny5ls8ys3ml75himru4et,3933762185,30,"77eg5tabeeeyays2pilyq5jo5, ehmzgi988h8g6rgekp3qivkr9, 7add1fkvvxb1v573fobgh1ryt, 1j5u2majmm2vnsgxscl9kjzyt, dz2s92nqmnrw691jia8e6phw5, d7ajth6q3ebg8yrf65uqc8xrd, eihksc6tdooqw7ref4nt520a, 53okfybfibe34k6hm6qzm9591, dp5zny5ls8ys3ml75himru4et, dm9vc2mqtbb982sx6kkd992ax, dl1znxod6ohbi1zwq4iiu4qfp, e7y7c4srymaidxozrurjct71l, 1s08dn7n3b5ctyion3u61hisq, 7eq281s0sa083qvx8tfwp7pat, ayu3raszdeuo9vif7i2nfl7md, aeflx5i3gxg18wch6cjj7nw9g, 7oxif0j9hg9lpvrmqj8ocdnmd, 1ps0l5kcm7pfv34szf08j9h7u",3933762191,130,4,3933762199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3933762187,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3933762193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489032705,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-12-04T11:17:44.503Z,2022-12-04T11:45:21Z,3933763083,194,1ck8f8510t6ei80haqe2vqbpx,3933763077,130,8,3933763081,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3933763085,197,9145,3933763067,30,"2f1e295qn6s9l5d6v1degrizt, dx5okwmzef2p09vgp02i1ucph, ehchjemv9fwcnwomosua92qqd, 7d4y77nkrn4w4dht1c4vr28yx, 8iblvy7aw7kdghvke6s5gisid, 1mhjq24kq1fapaoib7lzb6b4l, 3uxijnhp1ibbqm6e4lfivq8k5, 7l931hwm1tajvf6r717biyw2d, 2n3sv3vt7ano86i5j9j3f8a95, 1ck8f8510t6ei80haqe2vqbpx, 1rsg1y7lx0ruqcwgj6c6oovdh, 8yebzwn5wynngu33kqcsh1fbp, byu5qg9zlu5w1e234xl2058iy, 94pv0j29t5jrfdc36o6791wp, 7ak0q2t9ex8rcov81012amuad, 1ph6w6q8t75mov5fnnc8hda8k, afbretep8sws6f9hrnpghk416, cg4yqx0lth6d27oxlgwcuvdn9",3933763073,59,"16, 27, 23, 8, 10, 19, 11, 22, 9, 17, 21, 1, 2, 7, 18, 24, 25, 28",3933763071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3933763087,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046675,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-12-04T12:00:18.834Z,2022-12-04T12:00:19Z,3933839381,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046679,2,32,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-12-04T12:00:18.834Z,2022-12-04T12:00:21Z,3933839397,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046687,3,1,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,50,50.1,2022-12-04T12:00:18.934Z,2022-12-04T12:03:10Z,3933839451,279,S,3933839449,213,2.9,3933839443,141,55.3,3933839439,140,37.9,3933839437,56,Back,3933839447,212,13.2,,,,,,,dp5zny5ls8ys3ml75himru4et,K. Diani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046715,4,1,1,0,3,ad9ip2f3tijbv4nqaayyqqkee,1,35.7,42.7,2022-12-04T12:00:22.622Z,2022-12-04T12:00:24Z,3933839623,213,3.7,3933839617,141,36.3,3933839611,56,Back,3933839621,212,8.2,3933839615,140,29.1,,,,,,,,,,53okfybfibe34k6hm6qzm9591,K. Hamraoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046719,5,1,1,0,5,ad9ip2f3tijbv4nqaayyqqkee,1,28.3,37.6,2022-12-04T12:00:24.833Z,2022-12-04T12:00:27Z,3933839645,212,15.4,3933839639,56,Back,3933839643,141,60.0,3933839647,213,1.4,3933839641,140,30.4,,,,,,,,,,dz2s92nqmnrw691jia8e6phw5,A. Ilestedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046737,6,1,1,0,8,ad9ip2f3tijbv4nqaayyqqkee,1,31.2,62.3,2022-12-04T12:00:27.090Z,2022-12-04T12:00:30Z,3933839747,141,37.1,3933839745,140,31.2,3933839751,213,4.7,3933839749,212,17.1,3933839743,56,Back,,,,,,,,,,d7ajth6q3ebg8yrf65uqc8xrd,É. De Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046759,7,1,1,0,11,ad9ip2f3tijbv4nqaayyqqkee,1,32.9,35.2,2022-12-04T12:00:30.208Z,2022-12-04T12:00:34Z,3933839923,212,18.1,3933839921,141,61.7,3933839919,140,31.7,3933839925,213,1.6,3933839917,56,Back,,,,,,,,,,dz2s92nqmnrw691jia8e6phw5,A. Ilestedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046767,8,1,1,0,15,ad9ip2f3tijbv4nqaayyqqkee,1,36.7,63,2022-12-04T12:00:34.769Z,2022-12-04T12:00:37Z,3933839967,212,15.4,3933839965,141,42.5,3933839961,56,Back,3933839969,213,4.3,3933839963,140,30.4,,,,,,,,,,d7ajth6q3ebg8yrf65uqc8xrd,É. De Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046793,9,1,1,0,18,ad9ip2f3tijbv4nqaayyqqkee,1,30.2,38.5,2022-12-04T12:00:37.138Z,2022-12-04T12:00:43Z,3933840151,212,15.5,3933840147,140,19.7,3933840145,56,Back,3933840149,141,54.6,3933840153,213,2.4,,,,,,,,,,dz2s92nqmnrw691jia8e6phw5,A. Ilestedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046799,10,1,1,0,24,ad9ip2f3tijbv4nqaayyqqkee,0,24.4,51.6,2022-12-04T12:00:43.218Z,2022-12-04T12:01:05Z,3933840201,213,0.3,3933840197,141,70.3,3933840195,140,63.8,3933840203,1,,3933840191,155,,3933840199,212,43.3,3933840193,56,Center,,,,77eg5tabeeeyays2pilyq5jo5,S. Bouhaddi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046807,3,43,1,0,27,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-12-04T12:00:46.807Z,2022-12-04T12:01:03Z,3933840245,56,Back,3933840815,144,44,3933840247,285,0,,,,,,,,,,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046843,4,1,1,0,28,bdfjkux9o0vtsdig5zsbhtysq,1,37.3,31.8,2022-12-04T12:00:47.255Z,2022-12-04T12:00:51Z,3933840411,56,Center,3933840413,140,61.6,3933840419,213,6.1,3933840417,212,26.1,3933840409,3,,3933840415,141,23.7,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046845,5,49,1,0,32,bdfjkux9o0vtsdig5zsbhtysq,1,58.7,15.8,2022-12-04T12:00:51.161Z,2022-12-04T12:00:51Z,,,,,,,,,,,,,,,,,,,,,,,,,2n3sv3vt7ano86i5j9j3f8a95,M. Bourdieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046891,6,1,1,0,36,bdfjkux9o0vtsdig5zsbhtysq,0,64,17.3,2022-12-04T12:00:55.735Z,2022-12-04T12:00:57Z,3933840681,140,57.0,3933840687,213,3.8,3933840679,56,Right,3933840685,212,9.1,3933840683,141,9.4,,,,,,,,,,2n3sv3vt7ano86i5j9j3f8a95,M. Bourdieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046903,7,45,1,0,40,bdfjkux9o0vtsdig5zsbhtysq,0,57.6,11,2022-12-04T12:00:58.977Z,2022-12-04T12:01:02Z,3933840745,285,,3933840743,56,Right,3933840791,233,11,,,,,,,,,,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046911,11,3,1,0,40,ad9ip2f3tijbv4nqaayyqqkee,1,42.4,89,2022-12-04T12:00:58.977Z,2022-12-04T12:01:01Z,3933840777,286,,3933840775,56,Back,3933840785,233,7,,,,,,,,,,,,,,,,dl1znxod6ohbi1zwq4iiu4qfp,J. Groenen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046915,12,49,1,0,42,ad9ip2f3tijbv4nqaayyqqkee,1,41.9,88.9,2022-12-04T12:01:01.138Z,2022-12-04T12:01:01Z,,,,,,,,,,,,,,,,,,,,,,,,,dl1znxod6ohbi1zwq4iiu4qfp,J. Groenen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046917,13,1,1,0,42,ad9ip2f3tijbv4nqaayyqqkee,1,41.9,88.9,2022-12-04T12:01:01.313Z,2022-12-04T12:01:02Z,3933840795,140,54.6,3933840801,213,5.7,3933840797,141,77.0,3933840799,212,15.6,3933840793,56,Center,,,,,,,,,,dl1znxod6ohbi1zwq4iiu4qfp,J. Groenen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046919,14,1,1,0,43,ad9ip2f3tijbv4nqaayyqqkee,0,54.6,77,2022-12-04T12:01:02.370Z,2022-12-04T12:01:03Z,3933840805,56,Left,3933840809,141,88.9,3933840811,212,8.4,3933840813,213,1.8,3933840807,140,52.5,,,,,,,,,,dp5zny5ls8ys3ml75himru4et,K. Diani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046925,8,49,1,0,45,bdfjkux9o0vtsdig5zsbhtysq,1,44.4,10.4,2022-12-04T12:01:04.487Z,2022-12-04T12:01:04Z,,,,,,,,,,,,,,,,,,,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046927,9,1,1,0,45,bdfjkux9o0vtsdig5zsbhtysq,1,44.4,10.4,2022-12-04T12:01:04.664Z,2022-12-04T12:01:05Z,3933840853,213,6.1,3933840849,141,5.9,3933840845,56,Right,3933840847,140,57.4,3933840851,212,14.0,,,,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046933,10,1,1,0,47,bdfjkux9o0vtsdig5zsbhtysq,0,61.1,4.9,2022-12-04T12:01:05.863Z,2022-12-04T12:01:07Z,3933840887,141,21.5,3933840889,212,18.0,3933840891,213,0.7,3933840883,56,Center,3933840885,140,74.5,,,,,,,,,,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046955,15,49,1,0,52,ad9ip2f3tijbv4nqaayyqqkee,1,21.8,65.4,2022-12-04T12:01:11.426Z,2022-12-04T12:03:15Z,,,,,,,,,,,,,,,,,,,,,,,,,77eg5tabeeeyays2pilyq5jo5,S. Bouhaddi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046967,16,1,1,0,52,ad9ip2f3tijbv4nqaayyqqkee,1,21.8,63.6,2022-12-04T12:01:11.810Z,2022-12-04T12:03:17Z,3933841055,141,36.0,3933841053,140,28.4,3933841059,213,5.1,3933841057,212,20.0,3933841051,56,Back,,,,,,,,,,77eg5tabeeeyays2pilyq5jo5,S. Bouhaddi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489046983,17,1,1,0,57,ad9ip2f3tijbv4nqaayyqqkee,1,33.4,31.5,2022-12-04T12:01:15.873Z,2022-12-04T12:01:21Z,3933841177,141,6.4,3933841181,213,5.2,3933841175,140,41.5,3933841179,212,19.1,3933841173,56,Back,,,,,,,,,,dz2s92nqmnrw691jia8e6phw5,A. Ilestedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
