id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2518170343,1,34,16,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-03-11T11:48:52.658Z,2023-03-11T12:42:32Z,4087478779,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",4087478781,59,"1, 4, 25, 22, 5, 21, 17, 8, 10, 7, 11, 3, 6, 9, 13, 16, 24",4087478785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4087478783,130,4,4087478787,194,7lqdu42zczlrnowx70hu12sb9,4087478791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087478789,197,9974,4087478777,30,"dfcxvz3flh0w54vhso9xpk1d5, 2iu88022lwj2uxr1hn0og7qax, e5b9w1hq610saxvevecb6zzl5, 4x3fxr67fofstbqjpkoxra7rp, f3thho84or4rhnubxrhit9zhl, 8jc8ndxlodfrhxxao3k1fknbo, desenv3bwtw96iiwqb1gnvth, 7lqdu42zczlrnowx70hu12sb9, 792nmu21pzzd6eak34jk1qlwq, 9k4n3testzamjmqoda5g4k3x1, 7ouo3qztrs5lytmtji95oesph, eaxf4zra7v3sknq7wrdlk7g0l, eko9p1p9gjg7gxjla6chb6i95, dz7lkt8gh069vrkmoflcm0fkl, 3yjqr9srzz3p1xjgdgckqvtre, cc9j8gbv04g55nbv83rgckf84, jzfnrsd8aixhycspwias4tii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518172039,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2023-03-11T11:57:46.782Z,2023-03-11T12:56:37Z,4087488413,197,8429,4087488415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087488409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4087488411,194,9r0t3f2nw0d1a17c9onvjgd05,4087488401,30,"7iuwrwcupehj978vpf8sep591, ero1axtkr33y6yetn4uti2oyx, 3edubak34lsocvkirgryo8vd, 3w9nqzmvm6df5becqtvypo5w5, 2to7qgaomc72knk6y1689ihka, 9r0t3f2nw0d1a17c9onvjgd05, e9e2sdrwd5g6m8kfpxpe8ml79, 6oxe2vmgkxzl4dfz5cdqbajmd, aeoazf90glk79a2puhpm06pyh, b062pdmskviwqwzf5dckoffmd, 3o5f01ay5uqzeb3xunhguvsyy, 24ptrmidgqdyq5sryicc2g9hw, 1vj4sunehr71tbbpu6zsp6dw5, ds4tjev271co53fycw64y4kfe, 58zv1pd350niecmu275p4xyqc, q195fj3dlx9i3r0zno98nhuc, a36nwipwjfluk0rjfjzdiflk9",4087488405,59,"30, 3, 5, 14, 4, 22, 10, 9, 26, 17, 11, 1, 7, 8, 13, 15, 24",4087488403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4087488407,130,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518201501,2,32,1,0,0,axvm5zg0mk4bp06wpec9vw27e,1,0,0,2023-03-11T12:45:53.999Z,2023-03-11T12:45:56Z,4087629117,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518201491,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2023-03-11T12:45:53.999Z,2023-03-11T12:45:54Z,4087629081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518201531,3,1,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,49.9,50,2023-03-11T12:45:54.099Z,2023-03-11T12:45:57Z,4087629295,56,Back,4087629299,141,35.4,4087629297,140,39.4,4087629303,213,3.9,4087629305,279,S,4087629301,212,14.8,,,,,,,6oxe2vmgkxzl4dfz5cdqbajmd,E. Avital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518201565,4,1,1,0,3,dgpni8xwxjhgekjmg0m8bb6nv,1,40.2,36.4,2023-03-11T12:45:57.195Z,2023-03-11T12:45:59Z,4087629505,1,,4087629497,212,38.4,4087629501,213,0.6,4087629487,56,Center,4087629491,140,70.1,4087629495,141,69.0,4087629483,155,,,,,3w9nqzmvm6df5becqtvypo5w5,C. Couturier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518201645,5,1,1,0,5,dgpni8xwxjhgekjmg0m8bb6nv,1,69.8,68.8,2023-03-11T12:45:59.675Z,2023-03-11T12:46:04Z,4087629859,140,73.2,4087629865,213,5.1,4087629863,212,8.5,4087629857,56,Center,4087629861,141,57.5,,,,,,,,,,3o5f01ay5uqzeb3xunhguvsyy,L. Pinot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518201647,6,50,1,0,9,dgpni8xwxjhgekjmg0m8bb6nv,1,77.6,69,2023-03-11T12:46:03.659Z,2023-03-11T12:46:06Z,4087629877,56,Center,4087629879,286,,4087629965,233,3,,,,,,,,,,,,,,,,b062pdmskviwqwzf5dckoffmd,L. Bourgouin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518201651,3,7,1,0,9,axvm5zg0mk4bp06wpec9vw27e,0,22.4,31,2023-03-11T12:46:03.660Z,2023-03-11T12:46:16Z,4087629889,285,,4087629959,233,6,4087629887,56,Back,4087629885,167,,,,,,,,,,,,,,f3thho84or4rhnubxrhit9zhl,M. Grec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518201797,8,61,1,0,10,dgpni8xwxjhgekjmg0m8bb6nv,1,78,71.1,2023-03-11T12:46:04.609Z,2023-03-11T12:46:21Z,4087630605,56,Center,,,,,,,,,,,,,,,,,,,,,,b062pdmskviwqwzf5dckoffmd,L. Bourgouin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
