id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,assist
2460920101,1,34,16,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2022-09-17T11:49:53.365Z,2022-09-17T11:59:28Z,3785139305,130,4,3785139311,197,9818,3785139301,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3785139309,194,dpyv59tmgrenfals4e16d5lre,3785139313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785139303,59,"1, 22, 21, 15, 5, 17, 9, 10, 13, 18, 19, 11, 28, 30, 34, 33, 35, 36",3785139299,30,"1tvu4rv4o96wqjzk836y9bp3p, dpyv59tmgrenfals4e16d5lre, 2o9qsqvvvl3x6oeacd8iugbv8, uspe8sp6q4a5o6kc9n6rnyp6, dvyjggz5eiinhhozhb17s707p, ccz23lbc4iuxsq4tcplzv37ys, wibn2uli25nw0w4ddbohhnje, aga4leu1tmnv7kibufwr119be, 4p2fapncvvibg0l9ungou0tbe, 38gaf1qjazayc2lo9wvly9tzo, cuy5d1nzj2yd36g3fydirt562, aezrukbmz28x3b11eq9c5m0ru, 50n0y7qp9ofpbqgjy8odjwavo, dxojafbkfxjskl0ek4nucrnpx, 8u07022ya717vwhyttayv6hp0, 2168n6jdba2sc828wvye3uyok, 141ticz9klbkqqva307vjhlhw, 8cc6jtlry6w8g52jml1m628lw",3785139307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460922925,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-09-17T11:54:46.195Z,2022-09-17T12:27:12Z,3785153455,30,"eysw04bv1brzlph7v3w06sm39, 1iy47sqcjh4x0w7bvvno90xxx, ao9cgwud5le6r07itko3j4y51, 19awb0feelm6k12ooavqb5621, 7n7ebty9p63lyd49l0jcs1z9x, 757os3ykn2cuocj7tr4dqnw89, dll89ri6yl7ufipj37pyfmzmd, 2by52fw1zojghjkbe3cj1yjmd, 7xb0niqg08hrxk8i2nq8zvfth, eku11vja5c7dk4ijb1kzjjeuh, 6yh4l888isxggjgd4a6p4ss0l, cwudro7behcx3pta4l4na4a5m, bff3wb6l4epccig9p8zxewx9m, 1n48nxf4v6reoxuyai88haw6i, 4lj04oct1utmn4skdpqmnfn8q, a6x0w263q3g772n9qk4u22rc9, cyobo9opjbd532a2wx1di9aay, eh2jgxy3h28cs4cjv0urp41lg",3785153465,194,6yh4l888isxggjgd4a6p4ss0l,3785153461,130,10,3785153459,59,"1, 25, 13, 24, 2, 20, 6, 18, 11, 7, 4, 3, 10, 12, 15, 30, 33, 34",3785153469,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785153463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3785153467,197,9452,3785153457,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460956441,2,32,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2022-09-17T12:31:08.527Z,2022-09-17T12:31:09Z,3785314109,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460956421,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-09-17T12:31:08.527Z,2022-09-17T12:31:08Z,3785314011,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460956499,3,1,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,50,50,2022-09-17T12:31:08.627Z,2022-09-17T12:31:58Z,3785314413,213,2.7,3785314409,141,54.6,3785314407,140,44.0,3785314415,279,S,3785314405,56,Back,3785314411,212,7.0,,,,,,,7xb0niqg08hrxk8i2nq8zvfth,N. Mondésir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460956519,4,1,1,0,4,2w4xxgpg4t4h5b3yl74egastz,0,44,54.6,2022-09-17T12:31:13.149Z,2022-09-17T12:31:14Z,3785314511,140,70.5,3785314515,212,30.3,3785314517,213,5.9,3785314507,155,,3785314509,56,Center,3785314513,141,36.9,,,,,,,2by52fw1zojghjkbe3cj1yjmd,D. Škorvánková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460956563,3,1,1,0,6,86c88s72zckr0kdwv0mu7kn3d,1,21.8,57,2022-09-17T12:31:15.200Z,2022-09-17T12:31:16Z,3785314715,56,Back,3785314723,213,5.8,3785314719,141,50.7,3785314721,212,9.4,3785314717,140,29.8,,,,,,,,,,ccz23lbc4iuxsq4tcplzv37ys,J. Rastocle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460956573,4,49,1,0,8,86c88s72zckr0kdwv0mu7kn3d,1,29.8,50.7,2022-09-17T12:31:16.687Z,2022-09-17T12:31:17Z,,,,,,,,,,,,,,,,,,,,,,,,,uspe8sp6q4a5o6kc9n6rnyp6,L. Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460956603,5,1,1,0,8,86c88s72zckr0kdwv0mu7kn3d,1,29.8,50.7,2022-09-17T12:31:16.944Z,2022-09-17T12:31:19Z,3785314901,212,19.9,3785314895,56,Back,3785314899,141,80.0,3785314903,213,1.6,3785314897,140,30.1,,,,,,,,,,uspe8sp6q4a5o6kc9n6rnyp6,L. Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460956651,6,1,1,0,10,86c88s72zckr0kdwv0mu7kn3d,1,29.9,76.1,2022-09-17T12:31:19.359Z,2022-09-17T12:31:21Z,3785315105,140,12.2,3785315111,213,3.7,3785315109,212,22.4,3785315103,56,Back,3785315107,141,57.8,,,,,,,,,,cuy5d1nzj2yd36g3fydirt562,K. Bussy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
