id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/13/value
2463763255,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-09-24T11:42:33.471Z,2022-09-24T12:50:15Z,3800198637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3800198643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3800198631,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3800198641,197,8449,3800198633,59,"16, 23, 26, 6, 5, 3, 7, 14, 9, 10, 12, 1, 4, 11, 13, 21, 25, 29",3800198639,194,b0badx1gx15s9wo6ly8z1rl61,3800198635,130,2,3800198629,30,"3eb2tx4nx4etwvuo3bnnl3lk9, b0badx1gx15s9wo6ly8z1rl61, cz9o6yad9c8s2potdvqau5slw, 80dr0hzhre13aaavd0r4udpl, elbn5tbmbvbk8x7oxl2maia6s, 5mcszf3yuxwxcggl8ds2v1a7d, dq9w87alliunnaoezwtvn9hp1, 84qomd74wlfrd9lpost35p4wk, en70ces933pdy4dbgq0lgjhsl, 9gugnyggxqnc9fijivw8fvq39, 4y78x1atris45m06oqr7axbzd, alr6k5xokhqe1xi6a5kdyj7x1, 3semwmw78lk7vz6ieaxy486w9, bc1b4tkrsx8xsdqtoj198tg16, 1ekzotehyunn1wrvfrwckrr4k, c03fkophg1op7oov8hj7egx78, 38jzj5l4s56u8pbiutq2qa7f8, 9mo419gtk6dy5lhcvatcllkyy",,,,,,,,,,,,,,,,,,,,,,,,,,,
2463764535,1,34,16,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2022-09-24T11:46:00.427Z,2022-09-24T12:29:37Z,3800204233,194,dpyv59tmgrenfals4e16d5lre,3800204227,59,"1, 22, 21, 14, 5, 17, 10, 8, 9, 13, 19, 11, 15, 18, 20, 28, 30, 33",3800204231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3800204235,197,9442,3800204229,130,4,3800204225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3800204237,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3800204223,30,"1tvu4rv4o96wqjzk836y9bp3p, dpyv59tmgrenfals4e16d5lre, 2o9qsqvvvl3x6oeacd8iugbv8, ehxz768zrgon8drwzlso5k0t0, dvyjggz5eiinhhozhb17s707p, ccz23lbc4iuxsq4tcplzv37ys, aga4leu1tmnv7kibufwr119be, 4rdywd4n4j0cdzfoifpd35ujt, wibn2uli25nw0w4ddbohhnje, 4p2fapncvvibg0l9ungou0tbe, cuy5d1nzj2yd36g3fydirt562, aezrukbmz28x3b11eq9c5m0ru, uspe8sp6q4a5o6kc9n6rnyp6, 38gaf1qjazayc2lo9wvly9tzo, 4bi0bbqibnjbaipy4ud9zlqwa, 50n0y7qp9ofpbqgjy8odjwavo, dxojafbkfxjskl0ek4nucrnpx, 8u07022ya717vwhyttayv6hp0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775391,2,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-09-24T12:30:19.694Z,2022-09-24T12:30:19Z,3800257031,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775393,2,32,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2022-09-24T12:30:19.694Z,2022-09-24T12:30:21Z,3800257033,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463775413,3,1,1,0,0,114h4h9ekimxmk95iypp478kk,1,49.8,49.6,2022-09-24T12:30:20.280Z,2022-09-24T12:30:24Z,3800257107,141,67.8,3800257109,212,18.3,3800257105,140,36.9,3800257103,56,Back,3800257113,279,S,3800257111,213,2.4,,,,,,,en70ces933pdy4dbgq0lgjhsl,Mélissa Gomes,,,,,,,,,,,,,,,,,,,,,,,,,
2463775423,4,1,1,0,4,114h4h9ekimxmk95iypp478kk,1,37.3,70.2,2022-09-24T12:30:24.116Z,2022-09-24T12:30:27Z,3800257167,140,36.8,3800257165,56,Back,3800257169,141,93.6,3800257173,213,1.6,3800257171,212,15.9,,,,,,,,,,80dr0hzhre13aaavd0r4udpl,E. Palis,,,,,,,,,,,,,,,,,,,,,,,,,
2463775445,5,1,1,0,7,114h4h9ekimxmk95iypp478kk,1,36.3,94.4,2022-09-24T12:30:27.020Z,2022-09-24T12:30:31Z,3800257263,140,24.1,3800257261,56,Back,3800257269,213,4.0,3800257265,141,72.0,3800257267,212,19.9,,,,,,,,,,cz9o6yad9c8s2potdvqau5slw,F. Liaigre,,,,,,,,,,,,,,,,,,,,,,,,,
2463775461,6,1,1,0,11,114h4h9ekimxmk95iypp478kk,1,24,64.5,2022-09-24T12:30:30.948Z,2022-09-24T12:30:34Z,3800257321,213,5.0,3800257315,140,28.5,3800257319,212,17.5,3800257313,56,Back,3800257317,141,39.7,,,,,,,,,,5mcszf3yuxwxcggl8ds2v1a7d,J. Thibaud,,,,,,,,,,,,,,,,,,,,,,,,,
2463775491,7,1,1,0,14,114h4h9ekimxmk95iypp478kk,1,28.6,37,2022-09-24T12:30:33.987Z,2022-09-24T12:30:37Z,3800257371,56,Back,3800257373,140,28.4,3800257379,213,4.7,3800257375,141,23.0,3800257377,212,9.5,,,,,,,,,,cz9o6yad9c8s2potdvqau5slw,F. Liaigre,,,,,,,,,,,,,,,,,,,,,,,,,
2463775503,8,1,1,0,17,114h4h9ekimxmk95iypp478kk,1,28.4,23,2022-09-24T12:30:37.067Z,2022-09-24T12:30:40Z,3800257439,140,13.4,3800257445,213,2.3,3800257443,212,23.3,3800257441,141,48.2,3800257437,56,Back,,,,,,,,,,elbn5tbmbvbk8x7oxl2maia6s,M. Haelewyn,,,,,,,,,,,,,,,,,,,,,,,,,
