id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2487721175,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-11-26T12:38:23.930Z,2022-11-26T13:43:57Z,3926829015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926829007,130,4,3926829013,197,9264,3926829001,30,"alr6k5xokhqe1xi6a5kdyj7x1, cz9o6yad9c8s2potdvqau5slw, bgywqsemj5lsfro2hc77q532t, b0badx1gx15s9wo6ly8z1rl61, elbn5tbmbvbk8x7oxl2maia6s, 5mcszf3yuxwxcggl8ds2v1a7d, 80dr0hzhre13aaavd0r4udpl, 9mo419gtk6dy5lhcvatcllkyy, 9gugnyggxqnc9fijivw8fvq39, ae68tqogc2yplitpd1yixky22, bc1b4tkrsx8xsdqtoj198tg16, jpx6k0db4qnb9akskhcwco2d, en70ces933pdy4dbgq0lgjhsl, 1ekzotehyunn1wrvfrwckrr4k, 84qomd74wlfrd9lpost35p4wk, aqmo5o52e5mhbbzgdquivsm50, 38jzj5l4s56u8pbiutq2qa7f8, 2j31jm5dsj1v91eofxzdzpa1g",3926829003,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3926829005,59,"1, 26, 17, 23, 5, 3, 6, 29, 10, 19, 11, 8, 9, 13, 14, 15, 25, 30",3926829011,194,b0badx1gx15s9wo6ly8z1rl61,3926829009,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487721923,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-11-26T12:40:30.116Z,2022-11-26T13:29:18Z,3926833147,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3926833141,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3926833153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3926833145,130,7,3926833143,59,"30, 3, 5, 6, 4, 22, 12, 15, 8, 17, 26, 13, 1, 9, 14, 19, 10, 24",3926833151,197,8429,3926833139,30,"7iuwrwcupehj978vpf8sep591, ero1axtkr33y6yetn4uti2oyx, 3edubak34lsocvkirgryo8vd, c99gqg4cu9eqy5yu8fga71vit, 2to7qgaomc72knk6y1689ihka, 9r0t3f2nw0d1a17c9onvjgd05, a52izyii7s44qihbp4upbukiy, q195fj3dlx9i3r0zno98nhuc, ds4tjev271co53fycw64y4kfe, b062pdmskviwqwzf5dckoffmd, aeoazf90glk79a2puhpm06pyh, 58zv1pd350niecmu275p4xyqc, 24ptrmidgqdyq5sryicc2g9hw, 6oxe2vmgkxzl4dfz5cdqbajmd, 3w9nqzmvm6df5becqtvypo5w5, 5b3esi4e6l86aqvprt9l16uqc, e9e2sdrwd5g6m8kfpxpe8ml79, a36nwipwjfluk0rjfjzdiflk9",3926833149,194,9r0t3f2nw0d1a17c9onvjgd05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741317,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-11-26T13:30:41.160Z,2022-11-26T13:30:41Z,3926937153,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741327,3,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-11-26T13:30:41.160Z,2022-11-26T13:30:42Z,3926937211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741343,3,1,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,49.9,50.1,2022-11-26T13:30:41.260Z,2022-11-26T13:30:45Z,3926937303,56,Back,3926937305,140,31.8,3926937309,212,21.3,3926937311,213,2.7,3926937307,141,64.2,3926937313,279,S,,,,,,,ds4tjev271co53fycw64y4kfe,F. Komé,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741349,4,1,1,0,3,dgpni8xwxjhgekjmg0m8bb6nv,0,31.7,64.2,2022-11-26T13:30:45.142Z,2022-11-26T13:30:46Z,3926937345,141,83.8,3926937343,140,42.1,3926937347,212,17.2,3926937341,56,Back,3926937349,213,0.9,,,,,,,,,,b062pdmskviwqwzf5dckoffmd,L. Bourgouin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741367,4,49,1,0,7,114h4h9ekimxmk95iypp478kk,1,64.3,10.1,2022-11-26T13:30:48.553Z,2022-11-26T13:30:48Z,,,,,,,,,,,,,,,,,,,,,,,,,ae68tqogc2yplitpd1yixky22,J. Karličić,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741369,5,45,1,0,8,dgpni8xwxjhgekjmg0m8bb6nv,0,37.4,85.1,2022-11-26T13:30:49.229Z,2022-11-26T13:30:51Z,3926937413,56,Back,3926937517,233,5,3926937417,285,,,,,,,,,,,,,,,,,3edubak34lsocvkirgryo8vd,İ. Kaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741381,5,3,1,0,8,114h4h9ekimxmk95iypp478kk,1,62.6,14.9,2022-11-26T13:30:49.229Z,2022-11-26T13:30:51Z,3926937511,233,5,3926937487,56,Right,3926937489,286,,,,,,,,,,,,,,,,,ae68tqogc2yplitpd1yixky22,J. Karličić,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741395,6,1,1,0,9,114h4h9ekimxmk95iypp478kk,1,63.7,17.1,2022-11-26T13:30:50.808Z,2022-11-26T13:30:53Z,3926937557,213,2.3,3926937549,56,Center,3926937553,141,34.9,3926937555,212,16.7,3926937551,140,52.7,,,,,,,,,,ae68tqogc2yplitpd1yixky22,J. Karličić,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741419,7,1,1,0,12,114h4h9ekimxmk95iypp478kk,1,47.9,46.6,2022-11-26T13:30:53.656Z,2022-11-26T13:30:56Z,3926937655,56,Back,3926937663,213,2.5,3926937659,141,68.1,3926937657,140,29.4,3926937661,212,24.3,,,,,,,,,,80dr0hzhre13aaavd0r4udpl,E. Palis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487741425,8,1,1,0,15,114h4h9ekimxmk95iypp478kk,1,29.9,60.5,2022-11-26T13:30:56.761Z,2022-11-26T13:30:59Z,3926937691,140,33.8,3926937693,141,25.9,3926937695,212,23.9,3926937689,56,Back,3926937697,213,4.9,,,,,,,,,,elbn5tbmbvbk8x7oxl2maia6s,M. Haelewyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
