id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/12/value,qualifier/15/value,qualifier/13/value,qualifier/16/value,assist
2533475673,1,34,16,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-04-15T11:07:25.052Z,2023-04-15T12:58:50Z,4189487949,30,"7ei82jx0voz3m7g64d9ewmggl, 9k44thez31exd8pbq7i5wdbs9, ejzz3wi6gxujl6idun7k9wmvp, akldj20vfqfopuvurujsgtsd1, 53h7svpak7gxkotf27l15ibpx, cf88cbpwlbfw6ampeklh3kcbu, 996uvthtn0ho4doic5mcty6z9, arw9e50in9zw8e9eoul9x8rje, 3taxlkn9lb7otwvgbx9gyo82x, 3o1we6pb4axflmhkn1r0b01xx, 7mehuya25b282lf1aqllzc3px, 7g2yfrxvbhrvf8wgdkyu989ud, 8ls23zdsn7vn3bsx8o3gzwrh0, 1jlc387u7fdpnnus9nlsb179w, coj9nvuorcm7rvvotheguc5hx, 11249ix42zyb89ipxrymbb2tw, 7drwwysuo9wwjrun0u3gp8r85, 2zxnm6bkhkjolx1esz593wk45",4189487955,130,8,4189487953,59,"1, 29, 7, 10, 17, 4, 27, 2, 25, 8, 12, 11, 9, 13, 14, 18, 26, 30",4189487951,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4189487957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4189487963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189487961,197,8452,4189487959,194,akldj20vfqfopuvurujsgtsd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533475785,1,34,16,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2023-04-15T11:07:32.988Z,2023-04-15T11:51:13Z,4189488415,59,"30, 22, 14, 8, 5, 4, 7, 15, 6, 10, 13, 2, 17, 18, 20, 33, 34, 16",4189488421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4189488407,30,"dxojafbkfxjskl0ek4nucrnpx, dpyv59tmgrenfals4e16d5lre, ehxz768zrgon8drwzlso5k0t0, 4rdywd4n4j0cdzfoifpd35ujt, dvyjggz5eiinhhozhb17s707p, dq65c3jm6mlu3mzug9b0z3ytw, ezhkluh7xo0zv6t8zf5oab0q2, uspe8sp6q4a5o6kc9n6rnyp6, 4jxsimbrhvzfwfc3krnld59wq, aga4leu1tmnv7kibufwr119be, 4p2fapncvvibg0l9ungou0tbe, 6rlmvqkrg0ulgmu80k21584bt, ccz23lbc4iuxsq4tcplzv37ys, 38gaf1qjazayc2lo9wvly9tzo, 4bi0bbqibnjbaipy4ud9zlqwa, 8u07022ya717vwhyttayv6hp0, 2168n6jdba2sc828wvye3uyok, at0pdugp67r1o06eo8sgpl53o",4189488431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189488425,194,dpyv59tmgrenfals4e16d5lre,4189488411,44,"1, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5",4189488417,130,22,4189488427,197,9818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533506177,2,32,1,0,0,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2023-04-15T11:47:20.560Z,2023-04-15T11:47:22Z,4189638195,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533506165,2,32,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2023-04-15T11:47:20.560Z,2023-04-15T11:47:20Z,4189638121,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533506203,3,1,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,50,50,2023-04-15T11:47:20.660Z,2023-04-15T11:50:58Z,4189638319,213,3.2,4189638311,56,Back,4189638321,279,S,4189638315,141,48.4,4189638313,140,31.3,4189638317,212,19.7,,,,,,,3o1we6pb4axflmhkn1r0b01xx,E. Kamczyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533506263,4,1,1,0,4,97jxqfbi28yoeedjbbw5xqhyi,1,31.5,49.7,2023-04-15T11:47:24.731Z,2023-04-15T11:51:18Z,4189638603,212,29.9,4189638605,213,1.1,4189638599,140,45.1,4189638597,56,Back,4189638601,141,88.4,,,,,,,,,,3taxlkn9lb7otwvgbx9gyo82x,J. Piga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533506311,5,1,1,0,9,97jxqfbi28yoeedjbbw5xqhyi,1,44.3,89.1,2023-04-15T11:47:30.472Z,2023-04-15T11:47:32Z,4189638845,213,3.7,4189638839,140,26.4,4189638843,212,22.5,4189638837,56,Back,4189638841,141,70.8,,,,,,,,,,ejzz3wi6gxujl6idun7k9wmvp,M. Levasseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533506339,6,1,1,0,12,97jxqfbi28yoeedjbbw5xqhyi,1,25.7,66.7,2023-04-15T11:47:32.771Z,2023-04-15T11:47:34Z,4189638999,141,41.5,4189639001,212,17.1,4189639003,213,4.7,4189638997,140,25.2,4189638995,56,Back,,,,,,,,,,cf88cbpwlbfw6ampeklh3kcbu,C. Swaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533506375,7,1,1,0,14,97jxqfbi28yoeedjbbw5xqhyi,1,25.1,37.4,2023-04-15T11:47:34.580Z,2023-04-15T11:51:35Z,4189639211,56,Back,4189639219,141,12.2,4189639225,212,20.0,4189639229,213,5.3,4189639215,140,34.9,,,,,,,,,,53h7svpak7gxkotf27l15ibpx,J. Debever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533506405,8,1,1,0,16,97jxqfbi28yoeedjbbw5xqhyi,1,35.1,12.2,2023-04-15T11:47:36.995Z,2023-04-15T11:54:28Z,4189639357,213,2.4,4189639351,140,24.0,4189639353,141,27.6,4189639355,212,15.7,4189639349,56,Back,,,,,,,,,,9k44thez31exd8pbq7i5wdbs9,M. Diakité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
