id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/13/value,qualifier/15/value
2472745357,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-10-16T09:45:30.141Z,2022-10-16T10:43:27Z,3848108865,194,b0badx1gx15s9wo6ly8z1rl61,3848108857,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",3848108869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848108863,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3848108859,59,"1, 19, 29, 3, 21, 23, 14, 6, 10, 12, 9, 4, 11, 13, 15, 16, 25",3848108867,197,9264,3848108855,30,"alr6k5xokhqe1xi6a5kdyj7x1, ae68tqogc2yplitpd1yixky22, 9mo419gtk6dy5lhcvatcllkyy, 5mcszf3yuxwxcggl8ds2v1a7d, c03fkophg1op7oov8hj7egx78, b0badx1gx15s9wo6ly8z1rl61, 84qomd74wlfrd9lpost35p4wk, 80dr0hzhre13aaavd0r4udpl, 9gugnyggxqnc9fijivw8fvq39, 4y78x1atris45m06oqr7axbzd, en70ces933pdy4dbgq0lgjhsl, 3semwmw78lk7vz6ieaxy486w9, bc1b4tkrsx8xsdqtoj198tg16, 1ekzotehyunn1wrvfrwckrr4k, aqmo5o52e5mhbbzgdquivsm50, 3eb2tx4nx4etwvuo3bnnl3lk9, 38jzj5l4s56u8pbiutq2qa7f8",3848108861,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472749695,1,34,16,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2022-10-16T10:03:43.807Z,2022-10-16T10:43:15Z,3848129963,59,"1, 2, 4, 6, 18, 3, 27, 17, 9, 26, 28, 11, 23, 24, 25, 31, 19, 40",3848129965,130,7,3848129971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848129959,30,"8f25wup5nyqxwx27pmtxth51x, d8ypulxmosy9ulp0imw6avo5, f30p9xqwupzhhiitqubpi79bd, 3c765kc3b4cmgie0qf84jh1hx, el2jrhon9i915qbjdgi96uru2, 3bo8lbyohd3djey9pbd08fvf9, 41gek0vcr4hcrc5hg6zk4am3u, 28yvc8jmyyfavb0hetafjdadx, 7jux9gpb11yfbl8jj32n0zil1, 6ywkny98b9qzuvhqxwn9l0ogl, ct4fyrkcvk3i01xiz1wpsyuw9, 1loi315glota15qd57q6e0xrd, 15ueea8j21zale5d23rifkct1, 2fg7mgljmrqedc61uiff36ytx, e92r83de4v94lcbngexwe2oes, eps1e3sedewu4dfqnpbrpyuxg, 8jc8ndxlodfrhxxao3k1fknbo, 2mgpfhn8c4e7gt4oce452j7x1",3848129961,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3848129967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3848129969,194,3bo8lbyohd3djey9pbd08fvf9,3848132805,197,4764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769383,2,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-10-16T10:44:40.653Z,2022-10-16T10:44:42Z,3848228925,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769377,2,32,1,0,0,e5hsx8fzufp57tv4oehbz0qht,1,0,0,2022-10-16T10:44:40.653Z,2022-10-16T10:44:43Z,3848228867,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769391,3,1,1,0,0,e5hsx8fzufp57tv4oehbz0qht,1,50,50,2022-10-16T10:44:41.623Z,2022-10-16T10:44:48Z,3848228955,212,7.8,3848228949,56,Back,3848228959,279,S,3848228953,141,53.6,3848228951,140,42.9,3848228957,213,2.8,,,,,,,7jux9gpb11yfbl8jj32n0zil1,E. Le Sommer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769437,4,1,1,0,3,e5hsx8fzufp57tv4oehbz0qht,1,43.4,48.2,2022-10-16T10:44:44.207Z,2022-10-16T10:44:48Z,3848229213,56,Back,3848229217,141,26.5,3848229215,140,30.9,3848229221,213,4.0,3848229219,212,19.7,,,,,,,,,,3c765kc3b4cmgie0qf84jh1hx,A. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769461,5,1,1,0,8,e5hsx8fzufp57tv4oehbz0qht,1,29,29.7,2022-10-16T10:44:48.815Z,2022-10-16T10:44:49Z,3848229327,140,28.0,3848229331,212,25.7,3848229325,56,Back,3848229333,213,1.6,3848229329,141,67.5,,,,,,,,,,el2jrhon9i915qbjdgi96uru2,A. Sombath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769489,6,1,1,0,9,e5hsx8fzufp57tv4oehbz0qht,1,29.7,71.7,2022-10-16T10:44:49.871Z,2022-10-16T10:44:52Z,3848229469,141,93.3,3848229473,213,0.7,3848229471,212,22.7,3848229465,56,Back,3848229467,140,46.2,,,,,,,,,,3bo8lbyohd3djey9pbd08fvf9,W. Renard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769537,7,1,1,0,11,e5hsx8fzufp57tv4oehbz0qht,1,46.7,92.6,2022-10-16T10:44:52.543Z,2022-10-16T10:44:56Z,3848229693,212,16.4,3848229691,141,75.1,3848229689,140,35.9,3848229695,213,4.0,3848229687,56,Back,,,,,,,,,,f30p9xqwupzhhiitqubpi79bd,S. Bacha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769571,8,1,1,0,16,e5hsx8fzufp57tv4oehbz0qht,1,40,66.1,2022-10-16T10:44:56.744Z,2022-10-16T10:44:59Z,3848229841,141,95.7,3848229837,56,Left,3848229843,212,25.5,3848229839,140,54.9,3848229845,213,0.9,,,,,,,,,,3bo8lbyohd3djey9pbd08fvf9,W. Renard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769595,9,1,1,0,18,e5hsx8fzufp57tv4oehbz0qht,1,57.9,95.7,2022-10-16T10:44:59.224Z,2022-10-16T10:45:02Z,3848229949,213,5.8,3848229947,212,19.9,3848229941,56,Left,3848229945,141,81.7,3848229943,140,74.5,,,,,,,,,,f30p9xqwupzhhiitqubpi79bd,S. Bacha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769617,10,1,1,0,21,e5hsx8fzufp57tv4oehbz0qht,1,74.8,81.4,2022-10-16T10:45:02.176Z,2022-10-16T10:45:04Z,3848230077,213,0.5,3848230071,141,89.1,3848230069,140,84.4,3848230073,212,11.4,3848230067,56,Left,,,,,,,,,,6ywkny98b9qzuvhqxwn9l0ogl,L. Horan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769635,11,1,1,0,23,e5hsx8fzufp57tv4oehbz0qht,0,86.1,85.6,2022-10-16T10:45:04.304Z,2022-10-16T10:45:05Z,3848230153,213,5.1,3848230145,56,Center,3848230149,141,58.4,3848230151,212,20.0,3848230147,140,93.3,,,,,,,,,,ct4fyrkcvk3i01xiz1wpsyuw9,M. Malard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769653,3,52,1,0,25,114h4h9ekimxmk95iypp478kk,1,7.9,46.3,2022-10-16T10:45:05.825Z,2022-10-16T10:45:07Z,,,,,,,,,,,,,,,,,,,,,,,,,alr6k5xokhqe1xi6a5kdyj7x1,M. Chavas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472769789,4,80,1,0,38,114h4h9ekimxmk95iypp478kk,0,11.8,61.1,2022-10-16T10:45:19.516Z,2022-10-16T10:45:21Z,,,,,,,,,,,,,,,,,,,,,,,,,alr6k5xokhqe1xi6a5kdyj7x1,M. Chavas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
