id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2467059265,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-10-03T18:50:33.511Z,2022-10-03T18:50:33Z,3817687961,59,"30, 3, 11, 5, 22, 4, 7, 15, 26, 17, 14, 13, 1, 8, 9, 19, 10, 24",3817687969,197,8429,3817687957,30,"7iuwrwcupehj978vpf8sep591, ero1axtkr33y6yetn4uti2oyx, 3o5f01ay5uqzeb3xunhguvsyy, 3edubak34lsocvkirgryo8vd, 9r0t3f2nw0d1a17c9onvjgd05, 2to7qgaomc72knk6y1689ihka, 1vj4sunehr71tbbpu6zsp6dw5, q195fj3dlx9i3r0zno98nhuc, aeoazf90glk79a2puhpm06pyh, b062pdmskviwqwzf5dckoffmd, 3w9nqzmvm6df5becqtvypo5w5, 58zv1pd350niecmu275p4xyqc, 24ptrmidgqdyq5sryicc2g9hw, ds4tjev271co53fycw64y4kfe, 6oxe2vmgkxzl4dfz5cdqbajmd, 5b3esi4e6l86aqvprt9l16uqc, e9e2sdrwd5g6m8kfpxpe8ml79, a36nwipwjfluk0rjfjzdiflk9",3817687963,130,12,3817687971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3817687959,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3817687965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3817687967,194,9r0t3f2nw0d1a17c9onvjgd05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467061045,1,34,16,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2022-10-03T18:55:16.885Z,2022-10-03T18:55:17Z,3817697621,197,8452,3817697623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3817697619,194,3taxlkn9lb7otwvgbx9gyo82x,3817697613,59,"1, 20, 7, 25, 29, 4, 8, 5, 27, 14, 13, 2, 9, 16, 18, 19, 21, 22",3817697611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3817697617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3817697615,130,7,3817697609,30,"7ei82jx0voz3m7g64d9ewmggl, 552lzdgzrbb27bech7ow3v9hx, ejzz3wi6gxujl6idun7k9wmvp, 3taxlkn9lb7otwvgbx9gyo82x, 9k44thez31exd8pbq7i5wdbs9, cf88cbpwlbfw6ampeklh3kcbu, 3o1we6pb4axflmhkn1r0b01xx, 7nogrzsn8zm4vsomb6ontb4k5, 996uvthtn0ho4doic5mcty6z9, coj9nvuorcm7rvvotheguc5hx, 1jlc387u7fdpnnus9nlsb179w, arw9e50in9zw8e9eoul9x8rje, 8ls23zdsn7vn3bsx8o3gzwrh0, 6lv8fv1zdz9wt9l485nmz9otl, 11249ix42zyb89ipxrymbb2tw, et3yygjf96h7sgd43lb5t1yj8, 8lqbmqjrc7ikjm0me2fsdej11, 63atfboq056luh7gzplxooyui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467061891,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-10-03T18:58:27.892Z,2022-10-03T18:58:29Z,3817702295,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467061889,2,32,1,0,0,97jxqfbi28yoeedjbbw5xqhyi,1,0,0,2022-10-03T18:58:27.892Z,2022-10-03T18:58:28Z,3817702267,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467061903,3,1,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,51.1,48.5,2022-10-03T18:58:27.992Z,2022-10-03T18:59:43Z,3817702381,279,S,3817702379,213,2.8,3817702373,140,39.0,3817702371,56,Back,3817702375,141,54.2,3817702377,212,13.3,,,,,,,aeoazf90glk79a2puhpm06pyh,D. Roux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467061909,4,1,1,0,3,dgpni8xwxjhgekjmg0m8bb6nv,1,38.1,54,2022-10-03T18:58:30.981Z,2022-10-03T18:59:46Z,3817702423,212,24.9,3817702421,141,18.5,3817702419,140,32.1,3817702417,56,Back,3817702425,213,4.5,,,,,,,,,,b062pdmskviwqwzf5dckoffmd,L. Bourgouin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467061921,5,1,1,0,5,dgpni8xwxjhgekjmg0m8bb6nv,1,31.1,17.1,2022-10-03T18:58:33.270Z,2022-10-03T18:58:36Z,3817702571,140,40.7,3817702569,56,Back,3817702573,141,6.8,3817702575,212,12.3,3817702577,213,5.7,,,,,,,,,,2to7qgaomc72knk6y1689ihka,C. Collin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467061923,6,1,1,0,8,dgpni8xwxjhgekjmg0m8bb6nv,0,41,6.8,2022-10-03T18:58:36.822Z,2022-10-03T18:58:37Z,3817702593,141,13.2,3817702591,140,50.2,3817702597,213,0.4,3817702595,212,10.6,3817702589,56,Right,,,,,,,,,,ero1axtkr33y6yetn4uti2oyx,M. Belkhiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467061925,3,8,1,0,9,97jxqfbi28yoeedjbbw5xqhyi,1,55.3,90.4,2022-10-03T18:58:37.772Z,2022-10-03T18:58:37Z,3817702599,56,Left,,,,,,,,,,,,,,,,,,,,,,coj9nvuorcm7rvvotheguc5hx,D. Grabowska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467061929,4,49,1,0,10,97jxqfbi28yoeedjbbw5xqhyi,1,55.3,90.4,2022-10-03T18:58:38.280Z,2022-10-03T18:58:38Z,,,,,,,,,,,,,,,,,,,,,,,,,coj9nvuorcm7rvvotheguc5hx,D. Grabowska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
