id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value
2465119565,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-09-30T17:50:36.073Z,2022-09-30T19:30:29Z,3807377117,30,"alr6k5xokhqe1xi6a5kdyj7x1, 9mo419gtk6dy5lhcvatcllkyy, cz9o6yad9c8s2potdvqau5slw, 5mcszf3yuxwxcggl8ds2v1a7d, b0badx1gx15s9wo6ly8z1rl61, elbn5tbmbvbk8x7oxl2maia6s, 84qomd74wlfrd9lpost35p4wk, 80dr0hzhre13aaavd0r4udpl, 4y78x1atris45m06oqr7axbzd, 9gugnyggxqnc9fijivw8fvq39, bc1b4tkrsx8xsdqtoj198tg16, 3semwmw78lk7vz6ieaxy486w9, dq9w87alliunnaoezwtvn9hp1, en70ces933pdy4dbgq0lgjhsl, aqmo5o52e5mhbbzgdquivsm50, 3eb2tx4nx4etwvuo3bnnl3lk9, ae68tqogc2yplitpd1yixky22, 38jzj5l4s56u8pbiutq2qa7f8",3807377119,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3807377129,197,9264,3807377131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807377127,194,b0badx1gx15s9wo6ly8z1rl61,3807377125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3807377123,130,13,3807377121,59,"1, 29, 26, 3, 23, 5, 14, 6, 12, 10, 11, 4, 7, 9, 15, 16, 19, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,
2465120715,1,34,16,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-09-30T17:54:54.852Z,2022-09-30T18:58:51Z,3807383039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3807383045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807383037,130,12,3807383043,197,8453,3807383041,194,6yh4l888isxggjgd4a6p4ss0l,3807383035,59,"1, 18, 3, 24, 2, 20, 4, 13, 11, 25, 6, 10, 12, 15, 17, 30, 33, 37",3807383033,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3807383031,30,"eysw04bv1brzlph7v3w06sm39, 2by52fw1zojghjkbe3cj1yjmd, cwudro7behcx3pta4l4na4a5m, 19awb0feelm6k12ooavqb5621, 7n7ebty9p63lyd49l0jcs1z9x, 757os3ykn2cuocj7tr4dqnw89, 6yh4l888isxggjgd4a6p4ss0l, ao9cgwud5le6r07itko3j4y51, 7xb0niqg08hrxk8i2nq8zvfth, 1iy47sqcjh4x0w7bvvno90xxx, dll89ri6yl7ufipj37pyfmzmd, bff3wb6l4epccig9p8zxewx9m, 1n48nxf4v6reoxuyai88haw6i, 4lj04oct1utmn4skdpqmnfn8q, 6o0xf7vl4enney4rtwerkb5k9, a6x0w263q3g772n9qk4u22rc9, cyobo9opjbd532a2wx1di9aay, 9jsgojivfuxkhspaabplv0pw4",,,,,,,,,,,,,,,,,,,,,,,,,,,
2465164569,2,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-09-30T19:00:19.180Z,2022-09-30T19:00:21Z,3807618973,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465164565,2,32,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-09-30T19:00:19.180Z,2022-09-30T19:00:19Z,3807618955,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465164605,3,1,1,0,0,2w4xxgpg4t4h5b3yl74egastz,1,50,50,2022-09-30T19:00:19.280Z,2022-09-30T19:01:31Z,3807619153,279,S,3807619151,213,3.5,3807619149,212,9.2,3807619147,141,45.8,3807619143,56,Back,3807619145,140,41.7,,,,,,,6yh4l888isxggjgd4a6p4ss0l,M. Torrent,,,,,,,,,,,,,,,,,,,,,,,,,
2465164625,4,1,1,0,3,2w4xxgpg4t4h5b3yl74egastz,0,40.6,50.7,2022-09-30T19:00:22.665Z,2022-09-30T19:00:24Z,3807619227,155,,3807619235,212,37.4,3807619229,56,Right,3807619231,140,70.4,3807619233,141,20.7,3807619239,1,,3807619237,213,5.7,,,,dll89ri6yl7ufipj37pyfmzmd,C. Bilbault,,,,,,,,,,,,,,,,,,,,,,,,,
2465164673,3,1,1,0,6,114h4h9ekimxmk95iypp478kk,0,24.9,90.3,2022-09-30T19:00:26.016Z,2022-09-30T19:00:26Z,3807619417,140,34.7,3807619419,141,100.0,3807619421,212,13.0,3807619423,213,0.7,3807619413,3,,3807619415,56,Back,,,,,,,cz9o6yad9c8s2potdvqau5slw,F. Liaigre,,,,,,,,,,,,,,,,,,,,,,,,,
2465164679,4,5,1,0,7,114h4h9ekimxmk95iypp478kk,0,36,101.9,2022-09-30T19:00:26.671Z,2022-09-30T19:00:28Z,3807619451,347,,3807619449,56,Back,3807619577,233,5,,,,,,,,,,,,,,,,cz9o6yad9c8s2potdvqau5slw,F. Liaigre,,,,,,,,,,,,,,,,,,,,,,,,,
2465164695,5,5,1,0,7,2w4xxgpg4t4h5b3yl74egastz,1,64,-1.9,2022-09-30T19:00:26.671Z,2022-09-30T19:24:22Z,3807619567,233,4,3807619541,347,,3807619539,56,Right,,,,,,,,,,,,,,,,dll89ri6yl7ufipj37pyfmzmd,C. Bilbault,,,,,,,,,,,,,,,,,,,,,,,,,
2465164717,6,1,1,0,10,2w4xxgpg4t4h5b3yl74egastz,1,62.7,0,2022-09-30T19:00:29.353Z,2022-09-30T19:00:30Z,3807619665,107,,3807619675,213,1.4,3807619673,212,17.3,3807619671,141,23.1,3807619669,140,65.8,3807619667,56,Center,,,,,,,2by52fw1zojghjkbe3cj1yjmd,D. Škorvánková,,,,,,,,,,,,,,,,,,,,,,,,,
