id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value
2480189563,1,34,16,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-11-01T06:28:47.630Z,2022-11-01T06:28:47Z,3887493859,194,b0badx1gx15s9wo6ly8z1rl61,3887493853,59,"1, 23, 26, 6, 5, 3, 14, 10, 12, 11, 29, 9, 13, 15, 16, 19, 21, 25",3887493849,30,"alr6k5xokhqe1xi6a5kdyj7x1, b0badx1gx15s9wo6ly8z1rl61, cz9o6yad9c8s2potdvqau5slw, 80dr0hzhre13aaavd0r4udpl, elbn5tbmbvbk8x7oxl2maia6s, 5mcszf3yuxwxcggl8ds2v1a7d, 84qomd74wlfrd9lpost35p4wk, 9gugnyggxqnc9fijivw8fvq39, 4y78x1atris45m06oqr7axbzd, bc1b4tkrsx8xsdqtoj198tg16, 9mo419gtk6dy5lhcvatcllkyy, en70ces933pdy4dbgq0lgjhsl, 1ekzotehyunn1wrvfrwckrr4k, aqmo5o52e5mhbbzgdquivsm50, 3eb2tx4nx4etwvuo3bnnl3lk9, ae68tqogc2yplitpd1yixky22, c03fkophg1op7oov8hj7egx78, 38jzj5l4s56u8pbiutq2qa7f8",3887493863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887493855,130,23,3887493857,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3887493861,197,8449,3887493851,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480189815,1,34,16,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-11-01T06:30:40.315Z,2022-11-01T06:37:00Z,3887494931,130,4,3887494929,59,"1, 8, 15, 9, 17, 19, 7, 10, 11, 14, 25, 6, 13, 20, 22, 23, 26, 30",3887494925,30,"3h1cw632st7suexo3fo6aremt, 7gisthugglsa8l3wah7gw2klx, 9i6rsrclokuoxbbepiw0xehre, jbxmumw5e6sad0zo1hljqnl5, 5d6w6h4s9rfioy07y1rqrmgyy, eafhhlki76tgbbrwgeof4spyi, 3vpsxb6kzdffwgumf9mfcmms5, 85cmw667ykiku1pzcj07jreg9, 3nahmpoi0glxeu95ip8hx8odm, 5vvgnuyaxp4x7hvzmgkku3pm2, 7alrgsdv6ycykqgigqizax39x, c6wlz59l4w2pe0o5xj6nbks4q, 24w5egwdnqme3z091t0e71c2y, 2k7qjez21ghq91378ecc585w5, 7oqvkyby3x041hlfoxo5bkxlg, 1eo54huy053pgofiws2n36s16, osvwpq7pwiy2ixjqcpkp3rbo, bskf1il58p43z2gv68wwtmivo",3887494927,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3887494937,197,8471,3887494935,194,jbxmumw5e6sad0zo1hljqnl5,3887494933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3887494939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190459,2,32,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-11-01T06:34:48.126Z,2022-11-01T06:34:48Z,3887497869,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190463,2,32,1,0,0,114h4h9ekimxmk95iypp478kk,1,0,0,2022-11-01T06:34:48.126Z,2022-11-01T06:34:48Z,3887497879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190467,3,1,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,49.8,50.3,2022-11-01T06:34:48.226Z,2022-11-01T06:59:23Z,3887497901,141,50.9,3887497897,56,Back,3887497907,213,3.1,3887497905,212,7.8,3887497899,140,42.4,3887497909,279,S,,,,,,,3nahmpoi0glxeu95ip8hx8odm,A. Péniguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190473,4,1,1,0,2,drnln5nhp7dqype6j3upkoiqp,1,42.4,50.9,2022-11-01T06:34:50.497Z,2022-11-01T06:34:52Z,3887497941,140,43.5,3887497949,213,1.4,3887497943,141,61.1,3887497939,56,Back,3887497945,212,7.0,,,,,,,,,,3vpsxb6kzdffwgumf9mfcmms5,A. Lahmari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190479,5,1,1,0,4,drnln5nhp7dqype6j3upkoiqp,0,41.3,60.9,2022-11-01T06:34:52.613Z,2022-11-01T06:34:54Z,3887497969,140,37.5,3887497973,212,22.3,3887497975,213,4.5,3887497967,56,Back,3887497971,141,28.6,,,,,,,,,,jbxmumw5e6sad0zo1hljqnl5,S. Cambot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190483,3,49,1,0,6,114h4h9ekimxmk95iypp478kk,1,65.9,74.1,2022-11-01T06:34:54.329Z,2022-11-01T06:34:54Z,,,,,,,,,,,,,,,,,,,,,,,,,9mo419gtk6dy5lhcvatcllkyy,J. Dufour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190493,4,1,1,0,7,114h4h9ekimxmk95iypp478kk,1,66.1,77.5,2022-11-01T06:34:55.895Z,2022-11-01T06:34:58Z,3887498041,141,71.1,3887498037,56,Center,3887498043,212,11.8,3887498039,140,55.7,3887498045,213,3.5,,,,,,,,,,9mo419gtk6dy5lhcvatcllkyy,J. Dufour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190505,5,1,1,0,10,114h4h9ekimxmk95iypp478kk,0,56.2,71.4,2022-11-01T06:34:58.484Z,2022-11-01T06:35:00Z,3887498091,140,80.9,3887498087,155,,3887498089,56,Left,3887498095,212,29.5,3887498097,213,0.5,3887498093,141,92.1,,,,,,,80dr0hzhre13aaavd0r4udpl,E. Palis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190509,6,49,1,0,13,drnln5nhp7dqype6j3upkoiqp,1,19,2.9,2022-11-01T06:35:01.282Z,2022-11-01T06:35:01Z,,,,,,,,,,,,,,,,,,,,,,,,,7gisthugglsa8l3wah7gw2klx,H. Mansuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190519,7,1,1,0,14,drnln5nhp7dqype6j3upkoiqp,1,17.8,7.1,2022-11-01T06:35:02.532Z,2022-11-01T06:35:04Z,3887498167,140,28.9,3887498165,56,Back,3887498169,141,18.3,3887498173,213,0.6,3887498171,212,13.9,,,,,,,,,,7gisthugglsa8l3wah7gw2klx,H. Mansuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190529,8,1,1,0,16,drnln5nhp7dqype6j3upkoiqp,1,25.1,14.6,2022-11-01T06:35:04.325Z,2022-11-01T06:35:07Z,3887498203,56,Back,3887498209,212,10.1,3887498207,141,3.7,3887498205,140,31.6,3887498211,213,5.5,,,,,,,,,,85cmw667ykiku1pzcj07jreg9,S. Daoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190531,9,3,1,0,18,drnln5nhp7dqype6j3upkoiqp,0,33.4,3.4,2022-11-01T06:35:06.917Z,2022-11-01T06:35:10Z,3887498297,233,6,3887498221,286,,3887498219,56,Back,,,,,,,,,,,,,,,,3vpsxb6kzdffwgumf9mfcmms5,A. Lahmari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190539,6,7,1,0,18,114h4h9ekimxmk95iypp478kk,1,66.6,96.6,2022-11-01T06:35:06.918Z,2022-11-01T06:35:09Z,3887498257,167,,3887498281,285,,3887498277,233,9,3887498259,56,Left,,,,,,,,,,,,,80dr0hzhre13aaavd0r4udpl,E. Palis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190543,7,5,1,0,20,114h4h9ekimxmk95iypp478kk,0,66.4,101.8,2022-11-01T06:35:08.570Z,2022-11-01T06:57:51Z,3887498275,347,,3887498299,233,10,3887498273,56,Left,,,,,,,,,,,,,,,,80dr0hzhre13aaavd0r4udpl,E. Palis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480190541,10,5,1,0,20,drnln5nhp7dqype6j3upkoiqp,1,33.6,-1.8,2022-11-01T06:35:08.570Z,2022-11-01T06:35:09Z,3887498265,347,,3887498283,233,7,3887498263,56,Back,,,,,,,,,,,,,,,,3vpsxb6kzdffwgumf9mfcmms5,A. Lahmari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
