id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId
2460915777,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-09-17T11:44:41.585Z,2022-09-17T12:57:15Z,3785117789,30,"dtl2shnzdg739pkag6fplb42y, 5orsug2d4b7zzjat6eh9ks2qd, 8q7yvvg7c3uth4j25m162qq5l, 2avvvwtcdl6hmzxei5qhjo4ph, 9mq9unf2aecualxxm9gvnppl, 5es3kc7x38rotmzzcs46kb3hm, 9rab5estxnvvhj8evql7j68rt, 8ra0s724ht9u3luvku2ytnrze, 2cp4j91pqwjvy7as74ckhc4wl, b0a55g6cu6u3fl9vbuvynx05, 56n1erg5gb7fq7ab8hz42bug9, a27580ah1idvwqjbscx0l4x78, 1nyb823fkrzfuu4wczhgog7ah, dsm8r3i2k45d7vlqkmzaog9w4, dhmjb5r24tlk47urk93o5kj1m, 1fcucvr07kupgc9ivux6cf76c, 6xu7shoi00qiogo7akqo1xsrt, 50k8dmb17hvqbq37ae3p90aju",3785117795,130,4,3785117793,59,"30, 23, 6, 24, 22, 4, 15, 14, 10, 12, 8, 1, 20, 7, 13, 18, 21, 26",3785117791,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3785117799,194,2cp4j91pqwjvy7as74ckhc4wl,3785117797,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3785117803,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785117801,197,14734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460917177,1,34,16,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-09-17T11:46:11.908Z,2022-09-17T12:27:18Z,3785124833,197,14711,3785124831,194,dp5zny5ls8ys3ml75himru4et,3785124829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3785124835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785124827,130,4,3785124821,30,"88k3tmpcg5ov13cd8b9rxyggl, ehmzgi988h8g6rgekp3qivkr9, 7add1fkvvxb1v573fobgh1ryt, eihksc6tdooqw7ref4nt520a, dz2s92nqmnrw691jia8e6phw5, dy5kdca1eobf6mzt3719zfvmd, 1j5u2majmm2vnsgxscl9kjzyt, 1s08dn7n3b5ctyion3u61hisq, c7yhj2xdx8l773wfswykl9hat, dp5zny5ls8ys3ml75himru4et, ayu3raszdeuo9vif7i2nfl7md, d7ajth6q3ebg8yrf65uqc8xrd, e7y7c4srymaidxozrurjct71l, 1gnms5n3jetky1njccmauh785, 7eq281s0sa083qvx8tfwp7pat, dm9vc2mqtbb982sx6kkd992ax, aeflx5i3gxg18wch6cjj7nw9g, 7oxif0j9hg9lpvrmqj8ocdnmd",3785124823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3785124825,59,"1, 12, 7, 6, 13, 4, 8, 18, 10, 11, 22, 5, 16, 17, 19, 21, 25, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460955657,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-09-17T12:30:17.790Z,2022-09-17T12:30:19Z,3785310147,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460955647,2,32,1,0,0,ad9ip2f3tijbv4nqaayyqqkee,1,0,0,2022-09-17T12:30:17.790Z,2022-09-17T12:30:17Z,3785310095,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460955705,3,1,1,0,0,9s9jvki6htleffykj88qcpwpy,1,50.1,49.9,2022-09-17T12:30:17.890Z,2022-09-17T12:30:20Z,3785310353,56,Back,3785310355,140,36.3,3785310361,213,3.0,3785310363,279,S,3785310357,141,53.7,3785310359,212,14.7,,,,,,,56n1erg5gb7fq7ab8hz42bug9,A. Lamontagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460955739,4,1,1,0,2,9s9jvki6htleffykj88qcpwpy,1,36.3,53.7,2022-09-17T12:30:20.237Z,2022-09-17T12:30:22Z,3785310525,56,Back,3785310529,141,70.6,3785310531,212,16.2,3785310533,213,2.4,3785310527,140,25.4,,,,,,,,,,2cp4j91pqwjvy7as74ckhc4wl,L. Cance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460955779,5,1,1,0,4,9s9jvki6htleffykj88qcpwpy,1,26,70.3,2022-09-17T12:30:22.221Z,2022-09-17T12:30:25Z,3785310735,140,21.6,3785310733,56,Back,3785310739,212,12.8,3785310737,141,52.7,3785310741,213,4.3,,,,,,,,,,5es3kc7x38rotmzzcs46kb3hm,É. Sévenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460955797,6,1,1,0,7,9s9jvki6htleffykj88qcpwpy,0,22.6,56.1,2022-09-17T12:30:24.893Z,2022-09-17T12:30:25Z,3785310831,213,1.4,3785310829,212,20.0,3785310821,155,,3785310823,56,Back,3785310825,140,26.1,3785310827,141,85.0,,,,,,,9mq9unf2aecualxxm9gvnppl,S. Guellati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460955861,7,1,1,0,11,9s9jvki6htleffykj88qcpwpy,1,35.7,95.3,2022-09-17T12:30:28.845Z,2022-09-17T12:36:44Z,3785311231,140,39.1,3785311233,141,85.1,3785311229,56,Back,3785311237,213,5.2,3785311235,212,7.8,,,,,,,,,,8ra0s724ht9u3luvku2ytnrze,F. Bogi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460955865,8,3,1,0,14,9s9jvki6htleffykj88qcpwpy,0,43,85.3,2022-09-17T12:30:32.013Z,2022-09-17T12:30:32Z,3785311305,211,,3785311257,56,Back,3785311259,286,,,,,,,,,,,,,,,,,2avvvwtcdl6hmzxei5qhjo4ph,S. Barbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
