id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/value,keyPass,qualifier/14/value
2490060195,1,34,16,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-12-10T12:33:45.260Z,2022-12-10T13:32:56Z,3939211215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939211211,130,2,3939211205,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3939211219,194,jbxmumw5e6sad0zo1hljqnl5,3939211201,30,"3h1cw632st7suexo3fo6aremt, 5d6w6h4s9rfioy07y1rqrmgyy, 24w5egwdnqme3z091t0e71c2y, 85cmw667ykiku1pzcj07jreg9, 7gisthugglsa8l3wah7gw2klx, eafhhlki76tgbbrwgeof4spyi, 2k7qjez21ghq91378ecc585w5, 1eo54huy053pgofiws2n36s16, 5vvgnuyaxp4x7hvzmgkku3pm2, jbxmumw5e6sad0zo1hljqnl5, 7alrgsdv6ycykqgigqizax39x, c59ms3k7ezd0x0qgmmq734lqs, c6wlz59l4w2pe0o5xj6nbks4q, 3nahmpoi0glxeu95ip8hx8odm, 7oqvkyby3x041hlfoxo5bkxlg, osvwpq7pwiy2ixjqcpkp3rbo, bskf1il58p43z2gv68wwtmivo, 69myhtj81ne76e2j247op1qms",3939211223,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939211207,59,"1, 17, 13, 10, 8, 19, 20, 23, 14, 9, 25, 5, 6, 11, 22, 26, 30, 33",3939211221,197,8471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490061213,1,34,16,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-12-10T12:35:38.490Z,2022-12-10T12:35:38Z,3939216663,30,"dtl2shnzdg739pkag6fplb42y, 1fcucvr07kupgc9ivux6cf76c, 5orsug2d4b7zzjat6eh9ks2qd, 50k8dmb17hvqbq37ae3p90aju, 8ra0s724ht9u3luvku2ytnrze, 5es3kc7x38rotmzzcs46kb3hm, 9mq9unf2aecualxxm9gvnppl, 2cp4j91pqwjvy7as74ckhc4wl, ewogcy2itdu7e8vujgkitc0h6, 56n1erg5gb7fq7ab8hz42bug9, 2avvvwtcdl6hmzxei5qhjo4ph, 50ph0tkxvrb3syo76y5bjbcut, a27580ah1idvwqjbscx0l4x78, 1nyb823fkrzfuu4wczhgog7ah, dsm8r3i2k45d7vlqkmzaog9w4, b0a55g6cu6u3fl9vbuvynx05, dhmjb5r24tlk47urk93o5kj1m, 9rab5estxnvvhj8evql7j68rt",3939216669,130,2,3939216665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3939216677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939216671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939216667,59,"30, 18, 23, 26, 14, 4, 22, 10, 9, 8, 24, 11, 1, 20, 7, 12, 13, 15",3939216675,197,14734,3939216673,194,2cp4j91pqwjvy7as74ckhc4wl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083515,2,32,1,0,0,9s9jvki6htleffykj88qcpwpy,1,0,0,2022-12-10T13:31:08.260Z,2022-12-10T13:31:08Z,3939338741,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083531,2,32,1,0,0,drnln5nhp7dqype6j3upkoiqp,1,0,0,2022-12-10T13:31:08.260Z,2022-12-10T13:31:10Z,3939338829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083545,3,1,1,0,0,9s9jvki6htleffykj88qcpwpy,1,50,50,2022-12-10T13:31:08.360Z,2022-12-10T14:19:25Z,3939338897,212,5.3,3939338887,56,Back,3939338893,141,49.4,3939338901,279,S,3939338899,213,3.2,3939338889,140,45.0,,,,,,,ewogcy2itdu7e8vujgkitc0h6,I. Barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083563,4,1,1,0,4,9s9jvki6htleffykj88qcpwpy,1,42.4,51,2022-12-10T13:31:12.538Z,2022-12-10T13:31:15Z,3939338997,213,2.5,3939338993,141,67.3,3939338989,56,Back,3939338995,212,18.4,3939338991,140,28.4,,,,,,,,,,56n1erg5gb7fq7ab8hz42bug9,A. Lamontagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083573,5,1,1,0,6,9s9jvki6htleffykj88qcpwpy,0,29.2,67.3,2022-12-10T13:31:15.115Z,2022-12-10T13:31:15Z,3939339047,213,0.5,3939339037,155,,3939339043,141,91.1,3939339041,140,55.2,3939339045,212,31.7,3939339039,56,Left,,,,,,,5es3kc7x38rotmzzcs46kb3hm,É. Sévenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083585,3,49,1,0,8,drnln5nhp7dqype6j3upkoiqp,1,32.9,7.9,2022-12-10T13:31:17.066Z,2022-12-10T13:31:17Z,,,,,,,,,,,,,,,,,,,,,,,,,5d6w6h4s9rfioy07y1rqrmgyy,G. Kazadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083591,4,1,1,0,9,drnln5nhp7dqype6j3upkoiqp,1,32.9,7.9,2022-12-10T13:31:17.367Z,2022-12-10T13:31:18Z,3939339141,141,17.9,3939339137,56,Back,3939339145,213,0.5,3939339139,140,45.8,3939339143,212,15.2,,,,,,,,,,5d6w6h4s9rfioy07y1rqrmgyy,G. Kazadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083611,5,1,1,0,10,drnln5nhp7dqype6j3upkoiqp,0,45.8,17.9,2022-12-10T13:31:18.424Z,2022-12-10T13:31:19Z,3939339239,213,5.9,3939339233,140,59.1,3939339237,212,14.8,3939339231,56,Right,3939339235,141,10.7,,,,,,,,,,85cmw667ykiku1pzcj07jreg9,S. Daoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
