id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value
2543546131,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0,0,2023-05-04T16:10:27.968Z,2023-05-05T14:39:19Z,4250041999,30,"4ilvnv8fsq1smurtjl81od7th, 2s011oynto4q5ta4nwws4spn9, 8ebx705t6jvq53z6tjk0ke1d6, 6vy0wrnn1jz4tjp9ofxr9qesq, 9s3boszvqn3fzsx0r1xswqyqy, 1o38o018n6lidbvrmxotyjgx6, 1olk78ihxbzyq1kxcgdp78woa, 2rvopmj69lbwtn0eevmn8cn9x, 30117qloj2vhnxq4djfktp7u1, cpamr0c0qq5lf5u6de1cbvgx6, 5gzobg231vp6fnjrrh6k49qz9, 9jszz4regvdvl0v4i8s41jbah, 4w8yuib6lrya8ucle0j9maxka, 37ugegawhu80qktxkp12mwoa1, cx25wp1s7ql07ga2yu1975ka1, 7t6lyj5pvvgzfscj775acuqc5, 2pabub1t3k8v88ue8y7w3vpat, 8wz2m0yj4f0ci90m0wjftnoid, 82h0pn6m1ma6jzh5fefmdpjo5, 9eaa74frc7sjli4e48cey3r4k",4250042011,197,15124,4250042007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4250042003,59,"1, 4, 24, 18, 25, 33, 7, 9, 10, 11, 14, 3, 5, 6, 8, 19, 21, 22, 30, 32",4250042009,194,2rvopmj69lbwtn0eevmn8cn9x,4250042005,130,4,4250042001,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4250042013,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543546233,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0,0,2023-05-04T16:10:39.960Z,2023-05-04T17:03:33Z,4250042579,59,"20, 3, 23, 13, 4, 26, 17, 15, 9, 7, 6, 1, 2, 8, 10, 19, 21, 24",4250042587,197,5164,4250042583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4250042575,30,"4ztjiy8n0724xy818ophfp4ic, 950x9v0qx1pqgkc67e6hnbpt6, e1ogqatdx34wgtmvvq28ft39x, 4w4fnup47fnga68td9bu83sut, sxahqo62pj3wu3yfeah4fiay, btkupfjt9isuywcwqcbl1pgid, d83agzjsghnwbm4mq9b3x8dbe, eq9x5pboy1dehdauroonsw3c9, 48ffxxjaqagvfy72i4qvuvdnt, 9vyizhfym4y8vc07xrvba7skq, 1zy10ymkyg5dz4edlg8pdcxcl, 9hf3cqj9cd6m2x4sb05e0n1t5, 5gf24ds4ejjztxyj8b5rs3tnt, a50t6mmm9lljdt0b9vp1w7vu1, 972sdfy32aqsh3liqmn6chnf9, 472gtgjd61tmky6j73s10rkt0, bmj66ols6rtul44h9c6obmi95, c9qk8n9d4130okk9go1brzskq",4250042585,194,1zy10ymkyg5dz4edlg8pdcxcl,4250042577,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4250042589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4250042581,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560515,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0,0,2023-05-04T17:00:55.062Z,2023-05-05T13:54:21Z,4250122733,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560511,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0,0,2023-05-04T17:00:55.062Z,2023-05-04T17:00:55Z,4250122725,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560531,3,1,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,49.9,49.7,2023-05-04T17:00:55.162Z,2023-05-04T17:00:59Z,4250122855,213,2.9,4250122849,140,32.8,4250122851,141,55.1,4250122857,279,S,4250122853,212,18.3,4250122847,56,Back,,,,,,,9vyizhfym4y8vc07xrvba7skq,O. Pettersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560543,4,1,1,0,4,ac8jow4mdkvnsv5s0och4qqm,0,32.8,55.1,2023-05-04T17:00:59.652Z,2023-05-04T17:01:22Z,4250122917,141,63.4,4250122913,56,Center,4250122923,1,,4250122915,140,64.3,4250122919,212,33.6,4250122911,155,,4250122921,213,0.2,,,,eq9x5pboy1dehdauroonsw3c9,S. Leach Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560563,3,1,1,0,7,durq4oppf7c08tnbzrlebt0uz,0,26.9,24,2023-05-04T17:01:02.306Z,2023-05-04T17:01:06Z,4250123033,212,11.4,4250123025,3,,4250123029,140,35.9,4250123035,213,5.7,4250123031,141,14.6,4250123027,56,Back,,,,,,,1o38o018n6lidbvrmxotyjgx6,Bernardo Vilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560557,5,44,1,0,9,ac8jow4mdkvnsv5s0och4qqm,1,61.6,77.8,2023-05-04T17:01:04.516Z,2023-05-04T17:01:07Z,4250122999,286,,4250122997,56,Center,4250123055,233,4,,,,,,,,,,,,,,,,e1ogqatdx34wgtmvvq28ft39x,T. Waker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560567,4,44,1,0,9,durq4oppf7c08tnbzrlebt0uz,0,38.4,22.2,2023-05-04T17:01:04.517Z,2023-05-04T17:58:51Z,4250123049,56,Back,4250123051,285,,4250123071,233,5,,,,,,,,,,,,,,,,1olk78ihxbzyq1kxcgdp78woa,C. Vindehall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560561,6,1,1,0,9,ac8jow4mdkvnsv5s0och4qqm,0,59.1,70.2,2023-05-04T17:01:04.883Z,2023-05-04T17:01:05Z,4250123013,3,,4250123017,140,67.7,4250123023,213,0.4,4250123015,56,Center,4250123019,141,76.6,4250123021,212,10.0,,,,,,,e1ogqatdx34wgtmvvq28ft39x,T. Waker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560573,5,49,1,0,12,durq4oppf7c08tnbzrlebt0uz,1,35,24,2023-05-04T17:01:07.728Z,2023-05-04T17:01:07Z,,,,,,,,,,,,,,,,,,,,,,,,,6vy0wrnn1jz4tjp9ofxr9qesq,Wenderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560591,6,1,1,0,12,durq4oppf7c08tnbzrlebt0uz,1,35,24,2023-05-04T17:01:07.785Z,2023-05-04T17:03:37Z,4250123191,213,1.0,4250123185,140,44.0,4250123187,141,43.6,4250123183,56,Back,4250123189,212,16.3,,,,,,,,,,6vy0wrnn1jz4tjp9ofxr9qesq,Wenderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543561255,34,61,1,0,13,durq4oppf7c08tnbzrlebt0uz,0,37.5,49.7,2023-05-04T17:01:08.320Z,2023-05-05T14:26:19Z,4250127485,56,Back,,,,,,,,,,,,,,,,,,,,,,30117qloj2vhnxq4djfktp7u1,A. Zeljkovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543561263,20,49,1,0,14,ac8jow4mdkvnsv5s0och4qqm,1,24,16.8,2023-05-04T17:01:09.141Z,2023-05-04T18:01:33Z,,,,,,,,,,,,,,,,,,,,,,,,,9vyizhfym4y8vc07xrvba7skq,O. Pettersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
