id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2533518897,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0,0,2023-04-15T12:06:17.067Z,2023-04-15T13:03:25Z,4189704013,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4189704019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189704017,197,5164,4189704015,194,1zy10ymkyg5dz4edlg8pdcxcl,4189704011,130,12,4189704005,30,"9hf3cqj9cd6m2x4sb05e0n1t5, d83agzjsghnwbm4mq9b3x8dbe, e1ogqatdx34wgtmvvq28ft39x, btkupfjt9isuywcwqcbl1pgid, sxahqo62pj3wu3yfeah4fiay, 950x9v0qx1pqgkc67e6hnbpt6, c9qk8n9d4130okk9go1brzskq, eq9x5pboy1dehdauroonsw3c9, 48ffxxjaqagvfy72i4qvuvdnt, 9vyizhfym4y8vc07xrvba7skq, 1zy10ymkyg5dz4edlg8pdcxcl, 972sdfy32aqsh3liqmn6chnf9, 4w4fnup47fnga68td9bu83sut, 6pepyzak4dixdnxbegfg8etqs, 472gtgjd61tmky6j73s10rkt0, 4ztjiy8n0724xy818ophfp4ic, bmj66ols6rtul44h9c6obmi95",4189704007,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4189704009,59,"1, 17, 23, 26, 4, 3, 24, 15, 9, 7, 6, 10, 13, 14, 19, 20, 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533520115,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0,0,2023-04-15T12:07:16.854Z,2023-04-15T12:07:17Z,4189709693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189709699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189709697,197,5166,4189709695,194,18m0hkgbsvq0axzflltkyylsl,4189709685,30,"9hl2v867qfg6nzsdadb8wu7e1, 18m0hkgbsvq0axzflltkyylsl, 2d1dh619cfgvel4bv7tpfxjo5, 8hdi3uu3sc1pxstxh2w50qo6h, 6legryh9z8lvc4bq4s456m09h, 94e7xh7d38gbt8zw2u4clb4ve, bb1x3kz4wsx5pjpymhw5mmve2, 2mawaijd9czgtd5jh9myk434l, eyn7izezzer5izneismz7dm8l, 7sz8doeyg28ddueulae0phisq, 4s3dvpdloqr1hpl9svn8rk222, 6on1coqb8yeebnwqyazkooa1, xctg7y5ks41cjjnerqkia38p, 3ohbqdzgocvaipgik7plvzpwp, 5h0by2ot7i2z6daqdqj6nyiqy, 2hismnis73ehqkk5hv0pd7wq2, 21abg7evjtjt6kzisu43jckmi, 32bvga34o0hleev3duw2342ui, 85mzxov9sqq8gec4e0wwt8h78, 2trecv075gi4o78mfuyh4xiol",4189709687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189709689,59,"30, 13, 23, 26, 8, 2, 12, 6, 17, 10, 7, 4, 11, 19, 21, 25, 27, 28, 29, 31",4189709691,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533568715,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0,0,2023-04-15T13:01:40.127Z,2023-04-15T13:01:40Z,4189962117,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533568723,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0,0,2023-04-15T13:01:40.127Z,2023-04-16T09:29:28Z,4189962145,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533568745,3,1,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,49.9,49.9,2023-04-15T13:01:40.227Z,2023-04-15T13:01:43Z,4189962297,140,32.6,4189962299,141,42.7,4189962295,56,Back,4189962305,279,S,4189962303,213,3.4,4189962301,212,18.8,,,,,,,eq9x5pboy1dehdauroonsw3c9,S. Leach Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533568813,4,1,1,0,3,ac8jow4mdkvnsv5s0och4qqm,0,29.9,42.2,2023-04-15T13:01:43.267Z,2023-04-15T13:01:52Z,4189962681,56,Right,4189962679,155,,4189962683,140,65.8,4189962691,1,,4189962687,212,43.1,4189962689,213,5.8,4189962685,141,11.6,,,,sxahqo62pj3wu3yfeah4fiay,A. Sögaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533568787,3,43,1,0,6,1939bnru25svvgv15k2c7tw2y,1,0,0,2023-04-15T13:01:46.838Z,2023-04-16T10:17:39Z,4189962543,56,Back,4194429293,144,44,4189962545,285,0,,,,,,,,,,,,,,,,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533568819,5,43,1,0,6,ac8jow4mdkvnsv5s0och4qqm,1,0,0,2023-04-15T13:01:46.839Z,2023-04-16T10:17:37Z,4189962859,233,3,4189962719,286,0,4189962717,56,Right,4194429245,144,44,,,,,,,,,,,,,d83agzjsghnwbm4mq9b3x8dbe,A. Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533568823,4,1,1,0,7,1939bnru25svvgv15k2c7tw2y,0,24.9,90.8,2023-04-15T13:01:47.333Z,2023-04-16T10:18:42Z,4189962725,56,Back,4189962729,141,97.8,4189962727,140,30.2,4189962723,3,,4189962731,212,7.3,4189962733,213,0.7,,,,,,,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533568867,6,44,1,0,8,ac8jow4mdkvnsv5s0och4qqm,1,65.6,4.4,2023-04-15T13:01:48.503Z,2023-04-16T11:58:54Z,4189962991,56,Right,4189962993,286,,4189963085,233,5,,,,,,,,,,,,,,,,1zy10ymkyg5dz4edlg8pdcxcl,G. Sandberg Magnusson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
